afsosnak,افسوسناڪ
ranbo,رنبو
jhapati,جهپٽي
waqat,وقت
alfaham,الفهم
fareda,فريدا
sciencedan,سائنسدان
losesh,لوسيش
qonvia,قونويءَ
rehwasi,رهواسي
chahh,چاهه
barqaraqar,برقراقر
luteendaran,لُٽيندڙن
bhaeto,ڀائيٽو
jodharam,جوڌارام
traansporat,ٽرانسپورٽ
pusin,پسن
bugati,بگٽي
paneen,پاڻين
hulko,حلقو
maarkat,مارڪٽ
bardaria,برداريءَ
bhawaetan,ڀوائتن
bandran,بندرن
mekaooli,ميڪائولي
disjeen,ڏسجين
aggaay,اڳئي
fasil,فاصل
naensakh,نئنسخ
nasulan,نسلن
alshahristani,الشهرستاني
sarwania,سرواڻيءَ
maitan,مائٽن
hethyan,هيٺين
nekal,نيڪال
almuqadmajal,المقدمجل
wi,واءِ
ghulno,گهلڻو
diplo,ڊپلو
adawatee,اڏاوتي
zimzim,زمزم
sarnaman,سرنامن
folad,فولاد
bharindo,ڀريندو
nebhau,نڀاءُ
istaqbali,استقبالي
koniyal,ڪونيل
bekanwar,بيڪانور
kothaeen,ڪوٺائين
survey,سروي
apsar,اپسر
khandana,کنڊن
kaimrah,ڪئمرا
jaloseer,جلوسير
warashat,وراثت
tahqeekar,تحقيڪار
bhonaro,ڀونئرو
ghasal,غسل
gil,ڳل
ourya,اوريا
blockon,بلاڪن
aanola,آنولا
girgejan,گرگيجن
gunbriyoon,گنبڙيون
haqim,حڪيم
badtareen,بدترين
silkiyoon,سلڪيون
raenaee,رعنائي
kanbhat,ڪنڀٽ
wagharbi,وغربي
abjad,ابجد
chhapoon,ڇپون
alnoreen,النورين
mukhee,مُکي
cousins,ڪزنس
utay,اتي
newtrenoin,نيوٽرينوئن
tangan,ٽنگن
thahandar,ٺهندڙ
umliyoon,عمليون
mazakiran,مذاڪرن
style,اسٽائل
zamendaria,زمينداريءَ
perandee,پيراندي
yaqinan,يقينن
sidhayo,سڌايو
dispute,ڊسپيوٽ
boundry,بائونڊري
rizwi,رضوي
baashindaa,باشندا
inteda,انتدا
mathanhoon,مٿانهون
lulo,للو
fatehyabi,فتحيابي
advard,ايڊورڊ
qaradad,قراداد
qaid,قائد
broklin,بروڪلن
fareedoon,فريدون
daawatoon,دعوتون
tejan,تيجن
sebeto,سيبتو
tape,تپي
mutaedi,متعدي
cardif,ڪارڊف
bakha,باکا
langhae,لنگهائي
amerin,اميرن
sadaeen,سڏائڻ
khaebo,کائبو
oadanhen,اوڏانهين
sanosi,سنوسي
aggtay,اڳتي
pujanan,پڄاڻان
bukejani,بڪيجاڻي
fabrori,فبروري
gheransani,غيرانساني
dekharano,ڏيکارڻو
laarkaannwe,لاڙڪاڻوي
beckin,بيڪن
aiki,ايڪي
mahlool,محلول
disjan,ڏسجن
hafizwa,حافظوا
prest,پريسٽ
khoshnoodi,خوشنودي
golhan,ڳولهڻ
machinan,مشينن
mewaram,ميوارام
mahwari,محوري
mahboobi,محبوبي
universitya,يونيورسٽيءَ
vichitrata,وچترتا
chotki,چوٽڪي
sanfon,صنفون
pukhti,پختي
bajmait,باجماعت
mapoon,ماپون
shaho,شاھو
neecholas,نڪولس
nania,نانيا
edyan,ايڏين
jeetamadee,جيتامڙي
munohardas,منوهرداس
jhalaen,جهلائڻ
jhang,جهنگ
nashinal,نئشنل
ekplorations,ايڪپلوريشنس
yooniyoon,يونيون
dekharjan,ڏيکاريان
oonga,اونگا
jabooti,جبوتي
ghatjan,گهٽجن
mesjing,ميسجنگ
gherabad,غيرآباد
kamary,ڪماري
narali,نرالي
communistan,ڪميونسٽن
rooplo,روپلو
mazmal,مزمل
talbanan,طالبانن
walniswan,والنسوان
zarian,ذريعن
rotis,روٽس
telvision,ٽيلويزن
rahnumaun,رهنمائن
koklatash,ڪوڪلتاش
haditon,ھدايتون
sabootan,ثبوتن
shahrja,شهرجا
ganeno,ڳڻڻو
jadehen,جڏھين
sesh,سيش
jokhaete,جوکائتي
sahebzadi,صاحبزادي
dahari,دهري
ismaileen,اسماعيلين
badhayes,ٻڌايس
alghazal,الغزل
mukk,مڪ
bhenia,ڀيڻيءَ
tinling,ٽنلنگ
majbooriyen,مجبورين
alsalamiah,السلاميه
lofar,لوفر
kavignar,ڪويگنر
unbari,عنبري
waqain,واقعن
qalandaran,قلندرن
orbharo,اورڀرو
dhhoendar,ڍوئيندڙ
karporet,ڪارپوريٽ
fislo,فصلو
misodo,مسودو
leaf,ليف
shahrah,شاهراھ
warokiran,وروڪڙن
coching,ڪوچڪ
biskani,بسڪاني
peengh,پينگھ
sagjhi,سگجهي
nazreye,نظرئي
gulshen,گلشن
shanhwaz,شانهواز
peryo,پريو
giram,گرام
khilol,کلول
maulood,مولود
sujag,سجاڳ
nibataat,نباتات
mubaahisaa,مباحثا
wihayaeen,وهايائين
sadraendo,سڏرائيندو
dhayani,ڌياڻي
baqayajat,بقاياجات
parodyo,پروڙيو
kahania,ڪهاڻيءَ
tyaryoon,تياريون
leoni,ليوني
khatandar,کٽندڙ
munafay,منافعي
khuwah,خواه
kalh,ڪالھ
waprayo,واپرايو
aqrab,اقرب
saaein,سانئڻ
puphia,پڦيءَ
phhundi,ڦندي
ishori,اشوري
meharband,مهربند
panchan,پنچن
chhadbiyoon,ڇڏبيون
dewraj,ديوراج
khksayon,ڪهڪشائون
pasgirdea,پسگردائيءَ
paraey,پرائي
ahlkar,اھلڪار
olivia,اوليويا
gunjaan,گنجان
samora,سمورا
pistia,پستيءَ
chodhoon,چوڏهون
mulaka,ملاڪا
afarka,آفرڪا
chalati,چلاتي
jawahirdar,جواهردار
ramaswamchi,رامسوامچي
ahdaydare,عھديدار
pulra,پلڙا
muamool,معمول
hajweri,ھجويري
ibdaal,ابدال
alarabia,العربيءَ
laraiyoon,لڙائيون
bahroz,بهروز
janjee,جنجي
hazaria,حاضريءَ
fabrication,فيبريڪيشن
sadakut,صداقت
hofeen,هوفين
banarsi,بنارسي
kemakeza,ڪيماڪيزا
aggvaannana,اڳواڻن
vorker,ورڪر
harobhoro,هروڀرو
liberary,لئبرري
ranoon,رانون
matlia,ماتليءَ
jotee,جوتي
raagiyan,راڳين
benisbat,بنسبت
khalefa,خليفه
langhno,لنگھڻو
sosah,سوسه
bunayaeen,بنايائين
gonma,گونما
manzili,منزلي
kathiyan,ڪاٺين
wareenda,واريندا
mebal,ميبل
julbanie,جلباڻي
veli,ويلي
phhirheeyoon,ڦرهيون
firaght,فراغت
samoro,سمورو
fidvia,فدويءَ
guarnity,گارنٽي
nelopher,نيلوفر
astaefaoon,استعيفائون
wendyo,وينديو
daatar,داتار
marhiyaeen,مڙهيائين
laaloo,لالو
halaeno,ھلائڻو
rachh,رڇ
pohar,پوهر
mazlom,مظلوم
banikari,بانيڪاري
pashtaan,پشتان
kaiber,خيبر
samondi,سامونڊي
rop,روپ
hamjoli,ھمجولي
gurohh,گروهه
kujhee,ڪجهي
fotbern,فوٽبرن
janbee,جنبي
sheki,شيڪي
bajara,باجارا
ghernamiyati,غيرنامياتي
maust,موسٽ
ghazea,غازيءَ
clash,ڪلاش
rohega,روهيگا
pakheriya,پکيڙيا
tafheem,تفهيم
kalbi,ڪلبي
khandrat,کنڊرات
latigilia,ليٽيگيليا
gajan,گجن
takhsees,تخصيص
sardariyoon,سرداريون
makhlooq,مخلوق
karnaaman,ڪارنامن
parsense,پارسنس
tankedun,تنقيدن
wasoo,واسو
paang,پانگ
ahmar,احمر
ihriyo,اهڙيو
altimeter,الٽيميٽر
pahreedari,پهريداري
soul,سول
maahora,ماهورا
baweh,ٻاويه
saleeban,صليبن
cholistani,چولستاني
owhee,اوهي
chandli,چندلي
khateer,خطير
likhyariyen,لکيارين
halkiyoon,ھلڪيون
chhanwara,ڇانورا
achchari,اچاري
badhayo,ٻڌيو
naensi,نئنسي
phulkari,ڦلڪاري
urdoa,اردوءَ
bewarokresi,بيوروڪريسي
munhan,منهن
samraji,سامراجي
tanqedan,تنقيدن
kaljhug,ڪلجڳ
darziko,درزڪو
sumharan,سمهارڻ
wolfers,وولفرز
syano,سياڻو
madbari,مدبري
lehaan,لهان
hooshyar,ھوشيار
dhoibo,ڌوئبو
muqbiro,مقبرو
pakriyaeen,پڪڙيائين
muqademe,مقدمي
invirmental,انوائرمينٽل
badyanat,بديانت
kheta,کيٽا
inqelabian,انقلابين
wiknandiyoon,وڪڻنديون
pukariyo,پڪاريو
shanjo,سهنجو
sakherani,سخيراڻي
milkiyatun,ملڪيتن
rawani,رواني
aldafteen,الدفتين
sedhi,سيڌي
adowani,آڏواڻي
saazan,سازن
unjee,اُنجي
badtamez,بدتميز
remake,ريميڪ
cheerato,چيراتو
galree,گئلري
darindan,درندن
duniyaaee,دنيائي
bharbharo,ڀرڀرو
jeiondh,جيئند
alhaqaiq,الحقائق
irash,آئرش
jehaad,جھاد
socheda,سوچيدا
jekay,جيڪي
batelo,بتيلو
politicanical,پوليٽيڪنيڪل
raliyion,رليون
janazay,جنازي
ubhion,اُڀيون
blahaz,بلحاظ
moortyun,مورتيون
bhaito,ڀائيٽو
alqanas,القناس
kharooj,خروج
ankoro,انڪوڙو
peeraeta,پيرائتا
makosarmaedari,مڪوسرمائيداري
gameraes,گيمرائيس
suhaniyoon,سهڻيون
dangeja,ڏنگيجا
bhelan,ڀيلن
schools,اسڪولز
sardkhani,سردخاني
bhatian,ڀاتين
economik,اڪنامڪ
radaooli,ردائولي
rodregs,روڊريگز
tabdali,تبدلي
karyoon,ڪريون
ghuliyo,گهليو
richh,رڇ
takiyo,تڪيو
nordiks,نورڊڪس
ujary,اجڙي
dharad,ڌراڙ
qalaat,قلات
kanglez,ڪانگليز
francesion,فرانسيسن
raasal,راسل
malhan,ملھن
danishmandanah,دانشمندانه
saneeti,سنيتي
maghaz,مغز
samein,سمين
rashaf,رشف
suhinan,سهڻن
ujhaman,اُجهامڻ
anweenheen,اڻوينهين
aaendah,آئنده
mehmoodiyah,محموديه
vichhan,وڇن
chhadah,ڇاڙهه
wikherenda,وکيريندا
mathbhed,مٿڀيد
chosi,چوسي
erengan,ايرينگن
bayoz,بايوز
tasleemia,تسليميءَ
arthopadic,آرٿوپيڊڪ
walkeenoz,والڪينوز
heemdas,هيمنداس
nex,نيڪس
ghali,گهلي
talsam,طلسم
saagiyo,ساڳيو
sekhyan,سيکين
thardi,ٿرڙي
afzaaee,افزائي
radiation,ريڊيئيشن
buzdoon,بزدون
aitraazan,اعتراضن
gabhan,ڳڀن
wakodji,وڪوڙجي
pugzil,پگزل
kahaii,ڪرهيي
pahryal,پهريل
phaasia,ڦاسيءَ
hazarhoon,هزارهون
kokokolhi,ڪوڪوڪولھي
tafreeqoon,تفريقون
mandanah,مندانه
jhalkyoun,جهلڪيون
abdalghafoor,عبدلغفور
kokain,ڪوڪين
abneear,ابنيئر
beehando,بيهندو
pasjan,پسجن
ghariyoon,گهاريون
jazairfaro,جزائرفارو
muatraf,معترف
roendo,روئندو
aroroonsi,اروڙونسي
tareeqyari,طريقياري
daraawad,دراوڙ
aannbo,آڻبو
bileran,بائلرن
girawand,گراوند
zembiya,زيمبيا
unikod,يونيڪوڊ
bzaar,بزار
gand,گند
darsgaahan,درسگاهن
tajawaz,تجاوز
wilasai,ولاسائي
pehar,پھر
bherti,ڀرتي
mirani,ميراڻي
wangi,ونگي
thulhan,ٿلهن
suraiya,ثريا
nengro,نينگرو
kalpina,ڪلپنا
kaucil,ڪاؤنسل
rehander,رهندڙن
cere,سيري
chalkedar,چلڪيدار
kemyai,ڪيميائي
rasayoun,رسايون
lawh,لاھ
carritan,ڪيريٽن
muhandy,مهانڊي
bhachhiyen,ڀاڇين
albaniyaee,البانيائي
randha,رنڌا
talibo,طالبو
daadir,دادر
jadenhen,جڏنهن
intezamat,انتظامات
chanhen,چانهن
esosiation,ايسوسيئيشن
soor,سور
kajyas,ڪجيس
mehano,مهاڻو
aazarshahr,آذرشهر
kathkali,ڪٿڪالي
naman,نمن
muthe,مُٺي
jinra,جنرا
ponj,پونج
aghanan,اڳاڻن
colembo,ڪولمبو
teknibhiyasi,ٽيڪنيڀياسي
marham,مرهم
pehi,پيهي
adli,عدلي
headward,هيڊورڊ
chalakeen,چالاڪين
mehrika,مهرڪا
murhiyoon,مڙهيون
mujhand,مجهند
konko,ڪونڪو
kharoshti,خروشتي
saqeef,ثقيف
yogporosh,يوگپوروش
jaifarabad,جعفرآباد
chharao,ڇارائو
villen,ولين
lipromates,لپروميٽس
faroshia,فروشيءَ
waselan,وسيلن
haemopoto,ھيموپوٽو
aalapeenda,آلاپيندا
kakitya,ڪاڪتيا
jumaannee,جماڻي
rachando,رچندو
armitage,آرميٽيج
hetria,هيتريءَ
aafaqi,آفاقي
muatadi,معتدي
sahbab,شباب
elevation,ايليويشن
tangyaoon,ٽنگيائون
agbhara,اڳڀرا
sochindhar,سوچيندڙ
rakando,رڪندو
maharashtri,مهاراشٽري
worki,ورڪي
asaraat,اثرات
kwanria,ڪنواريءَ
leokrets,ليوڪريٽس
masayoshi,مسايوشي
mazakiri,مذاڪري
waziristan,وزيرستان
fiqari,فقري
zilzily,زلزلي
tadarak,تدارڪ
hamthaen,همٿائڻ
tarbatoon,تربتون
ladayan,لڙاين
coloniyoon,ڪالونيون
bisal,بسال
tunkeed,تنقيد
pors,پورس
hakhaam,حکام
khatho,کٿو
kashatkaria,ڪاشتڪاريءَ
parthar,پرٿار
namoos,ناموس
bhargawas,ڀرگواس
huas,هئس
noyiat,نوعيت
khotaen,کوٽائڻ
pawandar,پوندڙ
lalch,لالچ
sebam,سيبم
angelbert,اينجلبرٽ
gharbat,غربت
fayedo,فائدو
taandaa,ٽانڊا
labasan,لباسن
duhli,دهلي
tameer,تعمير
dashilari,داشلاري
sulemaan,سليمان
phabayan,ڦٻائڻ
wesahan,ويساهن
frnch,فرينچ
jalaal,جلال
likhnavi,لکنوي
kazakhstan,قازقستان
tamdani,تمدني
formacy,فارميسي
umano,اماڻو
banjan,بنجڻ
chambraen,چنبڙائڻ
khathan,کٿن
maskhara,مسخرا
aljameeat,الجميعت
qadiryah,قادريه
sauon,سئون
aadishumari,آدشماري
golaeen,گولائين
wisrandar,وسرندڙ
watadres,وتدريس
insaekiloo,انسائيڪلو
laghatdan,لغتدان
tocheeriyen,توچيرين
pahalwanan,پھلوانن
balochhistan,بلوڇستان
wandroon,وندرون
jeenti,جينتي
mathri,ماٿريءَ
sekhariyal,سيکاريل
almomin,المومن
foteen,فوتين
augriment,آگريمينٽ
tafrehoon,تفريحون
kondriya,ڪونڊريا
islobi,اسلوبي
jsgaio,جاڳايو
khaaj,کاڄ
samjhayaeens,سمجهايائينس
hujeen,هجين
ehoe,اھوئي
aashyano,آشيانو
aaso,آسو
sufoon,صفون
bahiriyoon,ٻاهريون
bareenda,ڀريندا
mahajanan,مهاجنن
wareendawan,ورينداوان
aanbiyoon,آڻبيون
pesandi,پسندي
dhumcher,ڌمچر
hawaen,هوائن
zawalhaj,ذوالحج
diyana,ڏيڻا
inspiration,انسپائريشن
kahaneea,ڪھاڻيءَ
mairbagh,مائرباغ
ghatjyo,گھٽجيو
kaloonioon,ڪالونيون
obto,اوبتو
pakriyal,پڪڙيل
wasela,وسيلا
mujazi,مجازي
aachhendar,آڇيندڙ
olock,اولاڪ
wamiq,وامق
kabarya,ڪبريا
chotoon,چوٽون
jhamae,جهمائي
aazari,آزاري
jhengar,جھينگر
azar,آزار
mekawali,ميڪاولي
pergram,پرگرام
dukaanan,دڪانن
thadkar,ٿڌڪار
moniz,مونز
choenaran,چوئنرن
khaanam,خانم
packer,پيڪر
sochaindo,سوچيندو
device,ڊوائيس
chhera,ڇيڙا
linun,لائينون
haoosan,هائوسن
cinemain,سئنيمائن
lamara,لامارا
makanen,مڪانن
chhatian,ڇاتين
paptedoglican,پيپٽيڊوگليڪن
raigal,ريگل
perci,پرسي
kolumbus,ڪولمبس
gatko,ڳٽڪو
girth,گرٿ
wihanan,وهاڻن
galheen,ڳالهين
nandyaeen,ننديائين
tarabals,طرابلس
khaloon,کلون
ghalafia,غلافيءَ
jeiondha,جيئندي
nekiyoon,نيڪيون
nehar,نهر
pateenharo,پاتينهارو
dinaoons,ڏنائونس
aljee,الجي
tahak,ٽهڪ
chahriyoon,چهريون
hingorja,ھنڱورجا
guftago,گفتگو
aati,آتي
pandora,پنڊورا
laheenda,لاهيندا
werasati,وراثتي
bafago,بفاگو
shedey,شيدي
multhi,ملٺي
sardin,سردين
jhejan,جھيجن
pachaen,پچائڻ
chhalro,ڇلڙو
aaeen,آئين
wismasoon,وسمسون
milawat,ملاوت
ganba,ڳڻبا
aslokeen,اصلوڪين
wehaj,ويهج
bhagtia,ڀڳتيءَ
garhaen,ڳاڙهائڻ
telly,ٽيلي
annachhapyala,اڻڇپيل
terandaz,تيرانداز
dhanar,ڌنارن
officin,آفيسن
shifaq,شفق
chotiyariyen,چوٽيارين
hathoria,ھٿوڙيءَ
aqeeldas,اقليدس
medalist,ميڊلسٽ
paadoon,پاڙون
akhyae,اکيائي
dhhoriyen,ڍورين
piroen,پروئڻ
taheri,تاهري
sharap,شرپ
lojria,لوجريءَ
maazee,ماضي
debora,ديبورا
dariyaft,دريافت
dahreen,ڏهرين
daendar,ديندار
vajayan,وڃائڻ
kachehreen,ڪچھرين
lurkee,لڙڪي
kirnan,ڪرڻن
ghariyen,گھڙين
janaejan,ڄاڻائجن
decking,ڊيڪنگ
ishtaqaq,اشتقاق
saaheriyen,ساهيڙين
jaatee,ڄاتي
radhi,رڌي
shajarath,شجرة
nuqta,نقطا
phabain,ڦٻائڻ
mercus,مرڪس
astaefan,استعيفن
hamemandas,هميمنداس
mokhia,موکيءَ
andhee,انڌي
iradat,ارادت
farsudh,فرسوده
hindoon,هندون
gulacar,گلوڪار
dhatoon,ڌاتون
phhuleli,ڦليلي
bhalia,ڀليءَ
gahhan,گاهن
polao,پولائو
alyos,اليوس
daryafitoon,دريافتون
mushahidati,مشاھداتي
oranga,اورنگا
sadendai,سڏيندائي
binyal,بنيل
dekharyoseen,ڏيکاريوسين
balqis,بلقيس
bakhsheedan,بخشيدن
wirhandar,وڙهندڙن
sifti,صفتي
chaweniyoon,چوڻيون
khalida,خالده
heeraabad,هيرآباد
khuhdan,کهڙن
kachri,ڪچري
ticketun,ٽڪيٽن
maaryaaoon,ماريائون
bartar,برتر
fesstol,فيسٽول
rainforced,رينفورسڊ
sobe,صوبي
dhoeen,ڌوئين
janbdaria,جانبداريءَ
wajayal,وڃايل
liberalism,لبرلزم
zayan,زيان
wernicular,ورنيڪيولر
sanbharendi,سنڀاريندي
fahristoon,فهرستون
qurbani,قرباني
wandji,ونڊجي
menghraj,مينگھراج
shekheen,شيخين
shashing,ششنگ
position,پوزيشن
ughariyoon,اگهاڙيون
swalan,سوالن
pukhtai,پختائي
chhangeendo,ڇانگيندو
chhadahh,ڇاڙهه
muaeeshat,معشيت
altarekh,التاريخ
samondhia,سامونڊيءَ
udaen,اڏائڻ
rovoo,روئو
oondaho,اونداهو
brahdeshwar,برھديشور
hanbiyoon,هڻبيون
disatricta,ڊسٽرڪٽ
jharkee,جهرڪي
dhukiyalan,ڌڪيلن
baneji,ڀانئجي
phutyan,ڦٽين
lesam,ليسم
bahareendar,ٻهاريندڙ
qalzam,قلزم
talmood,تلمود
jeearan,جيئرن
ajaar,اجار
nafsiyaat,نفسيات
lanch,لانچ
belan,ٻيلن
rasael,رسائل
nawabzadi,نوابزادي
isharan,اشارن
mauroozi,معروضي
gusaeea,گسائيءَ
kothee,ڪوٺي
daraamadi,درآمدي
jasamati,جسامتي
sife,صفي
raheela,راحيلا
shaistagia,شائستگيءَ
electroad,اليڪٽروڊ
osariyoon,اوساريون
ghoseh,غوثيه
uhjaan,اهڃاڻ
daraani,دراني
rohari,روھڙي
sanwali,سانولي
golaro,گولاڙو
batahqeeq,بتحقيق
sartiyan,سرتين
liks,لڪس
khanamghal,خانمغل
rajpar,راڄپر
bewas,بيوس
glassgo,گلاسگو
iftaar,افطار
fitahnamah,فتحنامه
anklah,انڪله
solersity,سولرسٽي
qazakh,قزاخ
wejhraea,ويجھڙائيءَ
khabaab,خباب
taram,ترم
afshar,افشار
waraeno,ورائڻو
deiry,ڏيري
baghecho,باغيچو
takhleeqon,تخليقون
dhunoon,ڌنون
gaeon,ڳئون
ojhri,اوجهڙي
chhuhee,ڇُهي
meliyooni,ميليوني
gagra,گاگرا
wiste,وستي
bajang,بجنگ
aaheenqsan,آهينقصان
dadanhans,ڏاڏنهنس
seral,سيرل
europee,يوروپي
sathrai,سٿرائي
anwamani,انوماني
estrakchar,اسٽرڪچر
kachoro,ڪچورو
garn,ڳرن
khatrae,کٽرائي
phahlayo,ڦهلايو
jagerafi,جاگرافي
tajwez,تجويز
winsan,ونسن
dabiyo,دٻيو
castodian,ڪسٽوڊين
beijing,بيجنگ
bhareen,ڀرين
aareen,آرين
denmarc,ڊينمارڪ
poyee,پوئي
maraiji,مارائجي
piraeyo,پرائيو
girnedh,گرنيڊ
tanban,تنبن
jhamooryat,جهموريت
andeshi,انديشي
zaween,زاوين
raswae,رسوائي
inkliyo,انڪليو
pukhae,پکائي
fasaadeen,فسادين
athali,اٿلي
neyat,نيات
piper,پائپر
ghareti,گهاڙيٽي
behandar,بيهندڙ
awanoskia,ايوانوسڪيءَ
kurhayal,ڪڙهيل
mandaani,مانڌاڻي
borkeena,بورڪينا
kajh,ڪجھہ
mathachharan,مٿاڇرن
sidhya,سڌيءَ
khilaendo,کلائيندو
priyamari,پرائيمري
dharji,ڌرجي
badham,ٻڌم
bhajun,ڀرجڻ
sadrululoom,صدرالعلوم
enthro,اينٿرو
chhadaindo,ڇڏائيندو
dighee,ڊگھي
jhaman,جهمن
hazarueen,هزارئين
sangeenan,سنگينن
karsatoofar,ڪرسٽوفر
habarneen,هبرنين
mubalighi,مبالغي
buraen,براين
bhart,ڀرت
hede,هيڏي
qataaran,قطارن
samoriyen,سمورين
bacteriology,بيڪٽيريالاجي
fielad,فيلڊ
rupiah,روپيه
jazera,جزيرا
darandan,درندن
bacterioclorophal,بئڪٽيريوڪلوروفل
pakhtonkhawa,پختونخوا
sarelanka,سريلنڪا
puhchande,پهچندي
amada,آمد
wihano,وهاڻو
anber,عنبير
namnooni,نمنوني
globulas,گلوبولس
sebto,سيبتو
arkeen,ارڪين
ashpez,اشپيز
ashoria,اشوريءَ
rukz,رڪز
altaba,الطبا
nekot,نيڪوٽ
bumbai,بمبئي
giriyoon,گريون
ajokeen,اڄوڪين
gatyo,ڳتيو
deleno,ڊيلينو
hortikalcharal,هورٽيڪلچرل
dostanah,دوستانه
madinah,مدينه
neukhte,نُڪتي
apneshidan,اپنيشدن
wanadar,وڻندڙ
meklan,ميڪلن
chelo,چيلو
federates,فيڊريٽس
doraa,دورا
kanjia,ڪنجيءَ
niapi,نياپي
histogram,هسٽوگرام
harkati,حرڪتي
parachiyen,پراچين
beehande,بيهندي
ordicence,آرڊيسنس
musheka,مشيڪا
khadhaon,کاڌائون
bootsvan,بوٽسوانا
kannorr,ڪنور
dawaran,دواران
yagbo,ياگبو
kohaat,ڪوهاٽ
sahabeen,صحابين
taqatia,طاقتيءَ
dhatee,ڍاٽي
barnahan,ٻارنهن
feloships,فيلوشپس
marsiyo,مرثيو
rulas,رولز
maples,ميپلز
avarah,آواره
poie,پوء
veendyes,وينديس
kepal,ڪيپل
kukra,ڪڪڙا
prorangan,پروڙنگن
markoon,مارڪون
riwayatan,روايتن
barbaran,بربرن
albeeniya,البينيا
janazah,جنازه
astinbol,استنبول
walsoof,ولسوف
nafri,نفري
kateendi,ڪاٽيندي
uahdidaran,عهديدارن
lalkareendi,للڪاريندي
chaon,چئون
ryo,ريو
rakhjy,رکجي
ronalad,رونالڊ
spirocates,اسپائروڪيٽز
edu,ادو
anokhi,انوکي
soortakhtea,صورتخطيءَ
aabadgaran,آبادگارن
jawabee,جوابي
ejoketars,ايجوڪيٽرز
shirmando,شرمندو
gaado,گاڏو
dalilan,دليلن
dosheezah,دوشيزه
saarahy,ساراهي
hidayatun,هدايتن
wesah,ويساھ
hedmore,هيڊمور
ladho,لڌو
barsark,برسرڪ
mutaqili,متقلي
ketro,ڪيترو
vajaeenda,وڄائيندا
halakoa,هلاڪوءَ
garheri,ڳڙهيڙي
albakeeno,البڪينو
rec,ريس
aaranbh,آرنڀ
saghyas,سگھيس
chhilar,ڇلڙ
ekaey,ايڪائي
pattersberg,پيٽرسبرگ
seradas,سيراداس
vadaee,وڏائي
bastaan,بستان
baaraat,بارات
dheoon,ڌيئون
faqeerani,فقيرياڻي
umeedwaria,اميدواريءَ
sharimant,شريمنت
qurbaania,قربانيءَ
jaghah,جڳهه
uchhliya,اڇليا
kapre,ڪپڙي
saty,سٽي
makhzanan,مخزنن
jaliyal,جليل
aagato,آڳاٽو
chaeono,چئوڻو
democratica,ڊيموڪريٽيڪا
ikhtaran,اختران
aadhelo,آڌيلو
subhalan,سڀالڻ
laheja,لهجا
jakirdar,جاڪردار
beemaryoun,بيماريون
swasan,سواسن
saghajan,سگھجن
laghpan,لاڳپن
rakheshwar,رکيشور
pucharoon,پچارون
kalanish,ڪالانش
sanwah,سنواح
echnomic,ايڪنامڪ
sharmeeli,شرميلي
minaging,منيجنگ
keshan,ڪيشن
youzif,يوزف
wajhun,وجھن
liayarii,لياريءَ
jueya,جوئيءَ
baghaeen,باغائين
darulhades,دارالحديث
noshatgeen,نوشتگين
geratmand,غيرتمند
maachhia,ماڇيءَ
tashkeliyat,تشڪيليات
rustamaniyen,رستماڻين
randrond,راندروند
panhinjiyoon,پنھنجيون
dabaoo,دٻاءَ
jamshorejo,ڄامشوريجو
mukhbaria,مخبريءَ
ahljar,اھلجار
bahtrai,بهتري
chayang,چيانگ
riyazati,رياضتي
bijan,ٻجن
inbori,انبوري
waqfiyat,واقفيت
posatal,پوسٽل
tonnee,توڻي
behfazat,بحفاظت
khanddran,کنڊرن
paeli,پائلي
astaefi,استعيفي
chhabri,ڇٻڙي
nijmi,نجمي
shilesog,شليسوگ
dairektar,ڊائريڪٽر
safarat,سفارت
keween,ڪيوين
bhagtiyen,ڀڳتين
adraki,ادراڪي
afqi,افقي
vetni,ويٽني
loongaee,لونگائي
khaljeen,خلجين
talwariya,تلواريا
samajwad,سماجواد
metaeen,ميٽائين
logogram,لوگوگرام
emperial,امپيريل
aanhan,آنهن
hanaen,هڻائڻ
badhni,ٻڌڻي
milandi,ملندي
ahliyatan,اهليتن
qadoori,قدوري
halaende,هلائيندي
chawarayal,چورايل
aamil,آمل
karimah,ڪريمه
zartishteen,زرتشتين
naweesia,نويسيءَ
obharian,اوڀارين
otrae,اوترائي
goald,گولڊ
masroofiyatiyan,مصروفيتين
sagoro,سڳورو
rated,ريٽيڊ
agatun,آڳاٽن
zetooni,زيتوني
tirz,طرز
testaen,تيستائين
airaf,اعراف
khartaloon,کڙتالون
gejj,گيج
tajart,تجارت
akhya,اکيا
samjhaba,سمجهبا
deltaoon,ڊيلٽائون
diyen,ڏين
himaeet,حمائيت
mushtarikah,مشترڪه
khanyon,ڪهاڻيون
kernel,ڪرنل
sonare,سوناري
peshaban,پيشابن
bandagi,بندگي
bonaaparte,بوناپارٽ
khulaso,خلاصو
haneri,هنيري
wadhandiyoon,وڌنديون
jagayan,جاڳائڻ
centenary,سينيٽري
sifaarat,سفارت
krishman,ڪرشمن
mercer,مرسر
warania,وراڻيءَ
wathyal,وٺيل
hikaee,هڪئي
rawangi,روانگيءَ
edseen,ايڊسين
porhitun,پورهيتن
amamo,امامو
perae,پيرائي
nooraniyat,نورانيت
vicholee,وچولي
wadhwejh,واڌويجهه
viyamal,ويامل
khotaya,کوٽايا
halakat,هلاڪت
portuguesen,پورچوگيزن
