vrithiyaakkiyathinu,വൃത്തിയാക്കിയത്തിനു
luzac,ലൂസാക്
peraariyudethaanu,പെരാരിയുടേതാണ്
pareekshikkappedumo,പരീക്ഷിക്കപ്പെടുമോ
upabhokthrinilavaaravum,ഉപഭോക്തൃനിലവാരവും
jimmilethiya,ജിമ്മിലെത്തിയ
mukhyapravasi,മുഖ്യപ്രവാസി
devaswamo,ദേവസ്വമോ
vivekanandan,വിവേകാനന്ദന്
nivaasiyaayirunnu,നിവാസിയായിരുന്നു
ithenilapaadu,ഇതേനിലപാട്
purathuvittathumaaya,പുറത്തുവിട്ടതുമായ
ashwem,അശ്വെമ്
purathaakkiyirunno,പുറത്താക്കിയിരുന്നോ
harivasudev,ഹരിവാസുദേവ്
slaakhikkunnathaayi,സ്ലാഖിക്കുന്നതായി
passaccam,പാസ്സാക്കാം
prachaaravazhikalum,പ്രചാരവഴികളും
bhojanalayam,ഭോജനാലയം
veeshunnathinideyaanu,വീശുന്നതിനിടെയാണ്
koolilekkupoyi,കൂളിലേക്കുപോയി
beyilekko,ബേയിലേക്കോ
shavalkarikkunnath,ശവല്കരിക്കുന്നത്
nimrosine,നിംറോസിനെ
primomoyude,പ്രിമോമോയുടെ
prakhyaapikkukayundaayi,പ്രഖ്യാപിക്കുകയുണ്ടായി
soosammayaanu,സൂസമ്മയാണ്
hameedaayirunnu,ഹമീദായിരുന്നു
oppumbol,ഒപ്പുമ്പോൾ
mahaamrithyunjayahomavum,മഹാമൃത്യുഞ്ജയഹോമവും
jaivaayudhangalkk,ജൈവായുധങ്ങൾക്ക്
jorjile,ജോർജിലെ
kammittiyudekoodi,കമ്മിറ്റിയുടെകൂടി
naaykkanaalil,നായ്ക്കനാലിൽ
bhashakalaanu,ഭാഷകളാണ്
bandhanasthanaakkukayum,ബന്ധനസ്ഥനാക്കുകയും
sammadidaayakare,സമ്മദിദായകരെ
reactionalla,റിയാക്ഷനല്ല
krambu,ക്രമ്പ്
aanennavalkku,ആണെന്നവൾക്ക്
irumudikkettinodu,ഇരുമുടിക്കെട്ടിനോട്
chathurmugham,ചതുർമുഖം
olippukkuzha,ഒലിപ്പുക്കുഴ
kunnaykkaada,കുണ്ണയ്ക്കാട
vedayundu,വേദയുണ്ട്
kamantadikkaathe,കമന്റടിക്കാതെ
klabbukalaanennum,ക്ലബ്ബുകളാണെന്നും
cheettukottaare,ചീട്ടുകൊട്ടാരെ
munnottiyaayi,മുന്നോട്ടിയായി
pathrikayile,പത്രികയിലെ
chippiyile,ചിപ്പിയിലെ
vishramikkunnund,വിശ്രമിക്കുന്നുണ്ട്
vayarpilarunna,വയർപിളരുന്ന
surimi,സുറിമി
theerthayaathrakkidayil,തീർത്ഥയാത്രക്കിടയിൽ
thunayumaayirunna,തുണയുമായിരുന്ന
paalaakkaaranaan,പാലാക്കാരനാണ്
aparavathkkaranamaanu,അപരവത്ക്കരണമാണ്
thayaaredukkanam,തയാറെടുക്കണം
mudrakuthaamo,മുദ്രകുത്താമോ
shakthiyundaayilla,ശക്തിയുണ്ടായില്ല
prathikaranamaanallo,പ്രതികരണമാണല്ലോ
roopayaayengilum,രൂപയായെങ്കിലും
treedhanamokkeyaayi,ത്രീധനമൊക്കെയായി
oonthine,ഓന്തിനെ
shettiyund,ഷെട്ടിയുണ്ട്
gruharakshaayanthram,ഗൃഹരക്ഷായന്ത്രം
lubdhine,ലുബ്ധിനെ
janakshemamunnaniyude,ജനക്ഷേമമുന്നണിയുടെ
kaimalarthuka,കൈമലർത്തുക
golmukhathetthiya,ഗോൾമുഖത്തെത്തിയ
podipadarnnathaanu,പൊടിപടർന്നതാണ്
thwashtaavu,ത്വഷ്ടാവ്
sachidaanandantayum,സച്ചിദാനന്ദന്റയും
typhoidinte,ടൈഫോയിഡിന്റെ
bhagavathpadam,ഭഗവത്പദം
upakaranangalilumund,ഉപകരണങ്ങളിലുമുണ്ട്
theevaariykku,തീവാരിയ്ക്ക്
athavideyittu,അതവിടെയിട്ടു
samgeethasaadhanaykku,സംഗീതസാധനയ്ക്ക്
ekhvaaninnu,ഇഖ്വാനിന്ന്
apipraaya,അപിപ്രായ
saamraajyathinethire,സാമ്രാജ്യത്തിനെതിരെ
akkaaryamillennum,അക്കാര്യമില്ലെന്നും
purampokkilekku,പുറംപോക്കിലേക്ക്
mathetharavaadikalumaayi,മതേതരവാദികളുമായി
fragment,ഫ്രാഗ്മെൻറ്
prathikshedhakkaare,പ്രതിക്ഷേധക്കാരെ
maramadikkum,മരമടിക്കും
pathaayaal,പത്തായാൽ
adhyaanavum,അധ്യാനവും
kavinjozhuki,കവിഞ്ഞൊഴുകി
aandhrayilninna,ആന്ധ്രയിൽനിന്ന
gaanarangalile,ഗാനരങ്ങളിലെ
pooyirikkunnennum,പോയിരിക്കുന്നെന്നും
sunnathundu,സുന്നത്തുണ്ട്
sukhyasoukhya,സുഖ്യസൌഖ്യ
aarogyamelayum,ആരോഗ്യമേളയും
urakkathilaayirunno,ഉറക്കത്തിലായിരുന്നോ
upadravichayaalu,ഉപദ്രവിച്ചയാല്
viyyaarikkandaa,വിയ്യാരിക്കണ്ടാ
emjikoleju,എംജികോളേജ്
prisesinte,പ്രൈസെസിന്റെ
nirasichenkilum,നിരസിച്ചെങ്കിലും
uyarthunnathukondu,ഉയർത്തുന്നതുകൊണ്ട്
cherukulambu,ചെറുകുളമ്പ്
naayaadiyum,നായാടിയും
kaipidichaanayichu,കൈപിടിച്ചാനയിച്ച്
izhayunnuvennu,ഇഴയുന്നുവെന്ന്
kelvikkuravinte,കേൾവിക്കുറവിന്റെ
shudheekaranamaaya,ശുദ്ധീകരണമായ
thaanirangumbozhum,താണിറങ്ങുമ്പോഴും
mahashweta,മഹാശ്വേതാ
paarambaryaavakaashiyude,പാരമ്പര്യാവകാശിയുടെ
sarayuvinunere,സരയുവിനുനേരെ
aathmakumaraanu,ആത്മകുമാറാണ്
samithilullathu,സമിതിലുള്ളത്
thangalekurichu,തങ്ങളെകുറിച്ച്
niraykkunnathumuthal,നിറയ്ക്കുന്നതുമുതല്
indriyagraamam,ഇന്ദ്രിയഗ്രാമം
ilahiyenna,ഇലാഹിയെന്ന
sambhavamundennu,സംഭവമുണ്ടെന്ന്
paranjumayakki,പറഞ്ഞുമയക്കി
eravarudeyum,ഇരവരുടെയും
cheruthenil,ചെറുതേനിൽ
bhavishyathaanithu,ഭവിഷ്യത്താണിത്
vahikkaanillathe,വഹിക്കാനില്ലാതെ
vechumaayirikkum,വെച്ചുമായിരിക്കും
videshajoliyumaayi,വിദേശജോലിയുമായി
sevakarundu,സേവകരുണ്ട്
himaanikalaal,ഹിമാനികളാൽ
korasaayi,കോറസായി
aalikkathikkunna,ആളിക്കത്തിക്കുന്ന
akaundilum,അകൌണ്ടിലും
cherupattanavum,ചെറുപട്ടണവും
mumbittirangiyathu,മുമ്പിട്ടിറങ്ങിയത്
pankuvechavarude,പങ്കുവെച്ചവരുടെ
kollaanirangi,കൊല്ലാനിറങ്ങി
payyaampalathekku,പയ്യാമ്പലത്തേക്കു
praveshikkaanaayaanu,പ്രവേശിക്കാനായാണ്
varuthuvaykkaam,വറുത്തുവയ്ക്കാം
neridubozhaanu,നേരിടുബോഴാണ്
koodicheral,കൂടിച്ചേരൽ
punyaalanuvendi,പുണ്യാളനുവേണ്ടി
thameeminetthedi,തമീമിനെത്തേടി
baakkivare,ബാക്കിവരെ
faasilinoduthanje,ഫാസിലിനോടുതഞ്ഞെ
chayarpezhsante,ചയർപേഴ്സന്റെ
athinenthokkeyo,അതിനെന്തൊക്കെയോ
kuttiyayacha,കുട്ടിയയച്ച
bandhukkalaanallo,ബന്ധുക്കളാണല്ലോ
vibhaagathileyum,വിഭാഗത്തിലെയും
kettivekkanavilla,കെട്ടിവെക്കാനാവില്ല
kuzhichumoodiya,കുഴിച്ചുമൂടിയ
chaayvinekkurichum,ചായ്വിനെക്കുറിച്ചും
nilamorukkalinu,നിലമൊരുക്കലിന്
syntesmos,സിൻടെസ്മോസ്
tricolore,ത്രികളർ
streamlinid,സ്ട്രീംലൈനിഡ്
vaayanakkappuram,വായനക്കപ്പുറം
kazhukikkolum,കഴുകിക്കോളും
pavizhathullikal,പവിഴത്തുളളികൾ
divyapoojaykkanayuka,ദിവ്യപൂജയ്ക്കണയുക
varuthivachathinu,വരുത്തിവച്ചതിനു
vitharanathiloodeyum,വിതരണത്തിലൂടെയും
aniyanthrithamaavukayum,അനിയന്ത്രിതമാവുകയും
chernnathenkilum,ചേർന്നതെങ്കിലും
prathamaadhyakshanu,പ്രഥമാധ്യക്ഷന്
pithaavinennum,പിതാവിനെന്നും
panambukalil,പനമ്പുകളിൽ
aayillennaayirunnu,ആയില്ലെന്നായിരുന്നു
pulippada,പുലിപ്പട
purakuvashatthiloode,പുറകുവശത്തിലൂടെ
mayadakkamulla,മയടക്കമുള്ള
panthya,പന്ത്യ
suparichithamaayittulla,സുപരിചിതമായിട്ടുള്ള
harareyilaanu,ഹരാരെയിലാണ്
soukaryamaavum,സൌകര്യമാവും
uchakazhinjirunnu,ഉച്ചകഴിഞ്ഞിരുന്നു
puthukkunnathinulla,പുതുക്കുന്നതിനുള്ള
trophicricattil,ട്രോഫിക്രിക്കറ്റിൽ
disambarilumaanu,ഡിസംബറിലുമാണ്
vikaarasaandravum,വികാരസാന്ദ്രവും
rajyapurogathikku,രാജ്യപുരോഗതിക്കു
maasathilumaakaam,മാസത്തിലുമാകാം
samvahichukondulla,സംവഹിച്ചുകൊണ്ടുള്ള
maadisante,മാഡിസന്റെ
kottiyathu,കൊട്ടിയത്ത്
avakashamillenno,അവകാശമില്ലെന്നോ
chaathuryamennum,ചാതുര്യമെന്നും
antharichupoyi,അന്തരിച്ചുപോയി
punthoyile,പുന്തോയിലെ
kattikuranjathaanu,കട്ടികുറഞ്ഞതാണ്
yathilum,യതിലും
gaardumaarude,ഗാർഡുമാരുടെ
aniyaniyayi,അണിയണിയായി
aadyavariyaayirunnu,ആദ്യവരിയായിരുന്നു
aakttivisttine,ആക്റ്റിവിസ്റ്റിനെ
janaprathinidhisabha,ജനപ്രതിനിധിസഭാ
marakaayudhangalumaayaanu,മരകായുധങ്ങളുമായാണ്
ramalingampillayude,രാമലിംഗംപിള്ളയുടെ
indiakkathire,ഇന്ത്യക്കതിരെ
sthaapanamedhaaviyaaya,സ്ഥാപനമേധാവിയായ
nirbandhithamaano,നിർബന്ധിതമാണോ
sthaapichukoduthathu,സ്ഥാപിച്ചുകൊടുത്തത്
veendeduppinteyum,വീണ്ടെടുപ്പിന്റെയും
prabhuvinethire,പ്രഭുവിനെതിരേ
daavosilaanu,ദാവോസിലാണ്
kannukalodeyum,കണ്ണുകളോടേയും
dinosarukalulla,ദിനോസറുകളുള്ള
kolambiyam,കൊളംബിയൻ
upayogikkappedunnu,ഉപയോഗിക്കപ്പെടുന്ന്
verutheyirikkukayaanu,വെറുതേയിരിക്കുകയാണ്
bandhukkalilaanu,ബന്ധുക്കളിലാണ്
kazhiyukayillengil,കഴിയുകയില്ലെങ്കിൽ
oreechaye,ഒരീച്ചയെ
ennakayattumathi,എന്നകയറ്റുമതി
arikkambi,അരിക്കമ്പി
balikli,ബലിക്ലി
pilikkodinte,പിലിക്കോടിന്റെ
anushtaanavumaayaanu,അനുഷ്ഠാനവുമായാണ്
mandanmaarodu,മണ്ടന്മാരോട്
nadannakalukayaayirunnu,നടന്നകലുകയായിരുന്നു
vanangunnathode,വണങ്ങുന്നതോടെ
vyaayamakkurav,വ്യായമക്കുറവ്
foodukalkku,ഫുഡുകൾക്ക്
kadutalum,കടുതലും
shikkaamennaanu,ശിക്കാമെന്നാണ്
vaayanayileykkulla,വായനയിലേയ്ക്കുള്ള
naadanamenna,നാടനമെന്ന
bichpi,ബിച്ച്പി
mahaamahangal,മഹാമഹങ്ങൾ
ningalilundaavanam,നിങ്ങളിലുണ്ടാവണം
ketturuppulla,കെട്ടുറുപ്പുള്ള
chunkappurayude,ചുങ്കപ്പുരയുടെ
othukkunnathaan,ഒതുക്കുന്നതാണ്
kunnundath,കുന്നുണ്ടത്
niraykkukayaayi,നിറയ്ക്കുകയായി
shathinethiya,ശത്തിനെത്തിയ
apekshayethunnu,അപേക്ഷയെത്തുന്നു
tharavaadillathe,തറവാടില്ലാതെ
dheerasainikareyum,ധീരസൈനികരേയും
udanirakkumennu,ഉടനിറക്കുമെന്ന്
nissaaramenna,നിസ്സാരമെന്ന
madapally,മടപ്പള്ളി
parithapikkunnathaayi,പരിതപിക്കുന്നതായി
kurikkunnathaavanam,കുറിക്കുന്നതാവണം
rakthamedutha,രക്തമെടുത്ത
peronnu,പേരൊന്ന്
shaafiparambil,ഷാഫിപറമ്പിൽ
sammaanichethannu,സമ്മാനിച്ചെതന്നു
gunamundayathaayi,ഗുണമുണ്ടായതായി
thaathparyamanusarichum,താത്പര്യമനുസരിച്ചും
neelakkappal,നീലക്കപ്പൽ
kadinamakkanulla,കഠിനമാക്കാനുള്ള
sanushayodoppam,സനുഷയോടൊപ്പം
arangilethaathe,അരങ്ങിലെത്താതെ
thanichaanu,തനിച്ചാണ്
suniyachan,സുനിയച്ചൻ
vidyakalil,വിദ്യകളിൽ
pukazhtthiyaalum,പുകഴ്ത്തിയാലും
shikkapur,ഷിക്കപ്പൂർ
kaarikkethire,കാരിക്കെതിരേ
ustadanmar,ഉസ്താദന്മാർ
graafttum,ഗ്രാഫ്റ്റും
prasannaku,പ്രസന്നകു
koovaakkaattil,കൂവാക്കാട്ടിൽ
pennaachiyil,പെണ്ണാച്ചിയിൽ
madhavanekkurichu,മാധവനെക്കുറിച്ച്
irippidavumundu,ഇരിപ്പിടവുമുണ്ട്
paniyendunna,പണിയേണ്ടുന്ന
paranjayaalaanallo,പറഞ്ഞയാളാണല്ലോ
vishnusominte,വിഷ്ണുസോമിന്റെ
ogbacheyiloode,ഒഗ്ബച്ചെയിലൂടെ
kayyethichu,കയ്യെത്തിച്ചു
dachukolanikaliloode,ഡച്ചുകോളനികളിലൂടെ
chandanakkaadukaludeyum,ചന്ദനക്കാടുകളുടേയും
manaskkaraaya,മനസ്ക്കരായ
nellikkayilulla,നെല്ലിക്കയിലുള്ള
faridabeegatheyum,ഫരീദാബീഗത്തേയും
digitalaakaan,ഡിജിറ്റലാകാൻ
unarnnittu,ഉണർന്നിട്ട്
siddhikhvi,സിദ്ധിഖ്വി
kaarnivalileykku,കാർണിവലിലേയ്ക്ക്
vinodasanchaararangathu,വിനോദസഞ്ചാരരംഗത്ത്
pattikkuttiyeyaanu,പട്ടിക്കുട്ടിയെയാണ്
maasatthine,മാസത്തിനെ
vilejinte,വിലേജിന്റെ
edapettiyile,എടപെട്ടിയിലെ
simhaasanamupekshichu,സിംഹാസനമുപേക്ഷിച്ച്
ozhivakkulla,ഒഴിവാക്കുള്ള
abhiruchiyilum,അഭിരുചിയിലും
restorantukalude,റസ്റ്റൊറന്റുകളുടെ
ningalethiyo,നിങ്ങളെത്തിയോ
swabhaavathilthanne,സ്വഭാവത്തിൽത്തന്നെ
cherikku,ചെറിക്കു
kidangoorile,കിടങ്ങൂരിലെ
vilaveduppil,വിളവെടുപ്പില്
varavelpum,വരവേല്പും
antharjanangale,അന്തർജനങ്ങളെ
essukaarkku,എസ്സുകാർക്കു
arodum,അരോടും
okkeyoru,ഒക്കെയൊരു
ecosine,എക്കോസൈൻ
kallichu,കല്ലിച്ചു
avareyudane,അവരെയുടനെ
pukachurulakalil,പുകചുരുളകളിൽ
adippedaatha,അടിപ്പെടാത്ത
arivanappuram,അറിവനപ്പുറം
viyumillaatha,വിയുമില്ലാത്ത
mararkundo,മാരാർക്കുണ്ടോ
budhathayekkurichu,ബുദ്ധതയെക്കുറിച്ച്
chatthadivasam,ചത്തദിവസം
chathrayude,ചത്രയുടെ
rajaamaniyenna,രാജാമണിയെന്ന
nadathaanaayennu,നടത്താനായെന്ന്
innoveshanaanu,ഇന്നോവേഷനാണ്
mayilumaan,മയിലുമാണ്
ottippidichathinaal,ഒട്ടിപ്പിടിച്ചതിനാൽ
yaathrayaayavarude,യാത്രയായവരുടെ
paricheriyappettu,പറിച്ചെറിയപ്പെട്ടു
janichatheyilla,ജനിച്ചതേയില്ല
pinetki,പിനെത്കി
onnilethire,ഒന്നിലെതിരെ
uyarthiyathinaalum,ഉയർത്തിയതിനാലും
jadej,ജഡേജ്
vasheekarichukondu,വശീകരിച്ചുകൊണ്ട്
kaanaathavannam,കാണാത്തവണ്ണം
varichittullavarum,വരിച്ചിട്ടുള്ളവരും
athiraaliyude,എതിരാളിയുടെ
lamghikkunnathengane,ലംഘിക്കുന്നതെങ്ങനെ
abhipraayaikyam,അഭിപ്രായൈക്യം
onnuvachu,ഒന്നുവച്ച്
ezhupathaayenkilum,എഴുപതായെങ്കിലും
veettuveezhchakkum,വീട്ടുവീഴ്ചക്കും
fonteyinte,ഫോണ്ടെയിന്റെ
kayattaamaayirunnu,കയറ്റാമായിരുന്നു
vechirikkunnavare,വെച്ചിരിക്കുന്നവരെ
kadukayaranum,കാടുകയറാനും
aarambhichittu,ആരംഭിച്ചിട്ടു
isthirippetti,ഇസ്തിരിപ്പെട്ടി
maniyil,മണിയിൽ
kuzhiyaamchaal,കുഴിയാംചാൽ
anaathanaakkikkondu,അനാഥനാക്കിക്കൊണ്ട്
vettilayittu,വെറ്റിലയിട്ട്
sakriyathayudeyum,സക്രിയതയുടേയും
kayyettangalilum,കയ്യേറ്റങ്ങളിലും
appaadanu,അപ്പാടന്
parichayavumaayittaan,പരിചയവുമായിട്ടാണ്
tharikida,തരികട
uyirukodutha,ഉയിരുകൊടുത്ത
vaathilinakathulla,വാതിലിനകത്തുള്ള
prathibaddhathayudeyum,പ്രതിബദ്ധതയുടെയും
pioyilethiya,പിയോയിലെത്തിയ
mukhaprasamgamaakatte,മുഖപ്രസംഗമാകട്ടെ
softweyarumoth,സോഫ്റ്റ്വെയറുമൊത്ത്
venkaiah,വെങ്കയ്യയെ
sameepakaalamvareyum,സമീപകാലംവരെയും
kaasattaakkuka,കാസറ്റാക്കുക
kanakshanillaathathu,കണക്ഷനില്ലാത്തത്
fazaluvinodum,ഫസലുവിനോടും
kattanamennu,കട്ടണമെന്ന്
rajyangayude,രാജ്യങ്ങയുടെ
naseemuddeente,നസീമുദ്ദീന്റെ
vazhangaathirunnappol,വഴങ്ങാതിരുന്നപ്പോള്
urangendiyum,ഉറങ്ങേണ്ടിയും
koodamkondulla,കൂടംകൊണ്ടുള്ള
pourathvabillukondu,പൌരത്വബില്ലുകൊണ്ട്
bhoomiyidapaadinteyum,ഭൂമിയിടപാടിന്റെയും
moshappeduthaanum,മോശപ്പെടുത്താനും
neekkangalennum,നീക്കങ്ങളെന്നും
munbevideyo,മുമ്പെവിടെയോ
mmappeduthukayum,മ്മപ്പെടുത്തുകയും
baathshinte,ബാത്ഷിന്റെ
lokkaanullathennum,ലോക്കാണുള്ളതെന്നും
thuniyazhikkanum,തുണിയഴിക്കാനും
visthaarangalum,വിസ്താരങ്ങളും
sinodanubandhichaanu,സിനോടനുബന്ധിച്ചാണ്
koottilekkupoyi,കൂട്ടിലേക്കുപോയി
kuthippukaatti,കുതിപ്പുകാട്ടി
kernelling,കെർണലിങ്
gunabhokthrisangamam,ഗുണഭോക്തൃസംഗമം
kaanaakazhchakalaayi,കാണാകാഴ്ചകളായി
pattaathaayathode,പറ്റാതായതോടെ
nadathiyirikkunna,നടത്തിയിരിക്കുന്ന
nadikkillennum,നടിക്കില്ലെന്നും
orutharameyulloo,ഒരുത്തരമേയുള്ളൂ
pathinaayirangaletthum,പതിനായിരങ്ങളെത്തും
othungunnath,ഒതുങ്ങുന്നത്
allennuthanneyaanu,അല്ലെന്നുതന്നെയാണ്
vaagaapoyint,വാഗാപോയിന്റ്
bhaavangalodu,ഭാവങ്ങളോട്
chodichathineyum,ചോദിച്ചതിനെയും
thaayvaanilum,തായ്വാനിലും
amgeekrutha,അംഗീകൃത
athanuvadikkaruthu,അതനുവദിക്കരുത്
ottakunnel,ഒറ്റകുന്നേൽ
swayambharanareethi,സ്വയംഭരണരീതി
maappakkaan,മാപ്പാക്കാൻ
peraambrakkaarodu,പേരാമ്പ്രക്കാരോട്
nireekshichathinum,നിരീക്ഷിച്ചതിനും
adhamavumaanenna,അധമവുമാണെന്ന
geeyakalapamundaakki,ഗീയകലാപമുണ്ടാക്കി
mathapeedanathaalum,മതപീഡനത്താലും
premalolupamaayi,പ്രേമലോലുപമായി
mohavalayangalilpettu,മോഹവലയങ്ങളിൽപെട്ട്
kurichullathennum,കുറിച്ചുള്ളതെന്നും
madyavyavasaayum,മദ്യവ്യവസായും
vilakkathu,വിളക്കത്ത്
govindanandan,ഗോവിന്ദാനന്ദന്
mukhyadisha,മുഖ്യദിശ
enninganeyaavaam,എന്നിങ്ങനെയാവാം
pashuvundaayirunnu,പശുവുണ്ടായിരുന്നു
paanjetthidumazhal,പാഞ്ഞെത്തിടുമഴൽ
chinthakalaanithu,ചിന്തകളാണിത്
thirichutharumenna,തിരിച്ചുതരുമെന്ന
kittiyayudanaanu,കിട്ടിയയുടനാണ്
praarthaanalayatthil,പ്രാർത്ഥാനലയത്തിൽ
pindatthil,പിണ്ഡത്തിൽ
apalapikkuka,അപലപിക്കുക
paniyennum,പണിയെന്നും
shakthamayirikke,ശക്തമായിരിക്കെ
sambhavaanayaan,സംഭവാനയാണ്
thattiyedukkalumaayi,തട്ടിയെടുക്കലുമായി
aithihyamaalayaanu,ഐതിഹ്യമാലയാണ്
kaararil,കാററിൽ
thudaraamennaayi,തുടരാമെന്നായി
mulleriyayil,മുള്ളേരിയയിൽ
aashratharude,ആശ്രതരുടെ
khandilaayirikkum,ഖണ്ഡിലായിരിക്കും
arivaakunna,അറിവാകുന്ന
janaprathinidhikkethire,ജനപ്രതിനിധിക്കെതിരേ
punnoosokke,പുന്നൂസൊക്കെ
njaanishtappettene,ഞാനിഷ്ടപ്പെട്ടേനെ
budhimuttaakaan,ബുദ്ധിമുട്ടാകാൻ
thettidharikkunnathum,തെറ്റിധരിക്കുന്നതും
baradvaajinte,ബരദ്വാജിന്റെ
upayokthakkalaayum,ഉപയോക്തക്കളായും
sajeevaraashtreeyathodu,സജീവരാഷ്ട്രീയത്തോട്
vannatharinjilla,വന്നതറിഞ്ഞില്ല
mahothsavamsthaanaarohana,മഹോത്സവംസ്ഥാനാരോഹണ
orungunnavarkkoru,ഒരുങ്ങുന്നവർക്കൊരു
pranayavanchana,പ്രണയവഞ്ചന
samghadithajanam,സംഘടിതജനം
korpareshanukaleyum,കോർപറേഷനുകളെയും
vyabhicharikkumbol,വ്യഭിചരിക്കുമ്പോൾ
ariyaathavannam,അറിയാതവണ്ണം
ivideyidunnathu,ഇവിടെയിടുന്നത്
khyakthamaakki,ഖ്യക്തമാക്കി
bhoothakaalathodaanu,ഭൂതകാലത്തോടാണ്
sarithaaprash,സരിതാപ്രശ്
polaarisinte,പൊളാരിസിന്റെ
parikkettavil,പരിക്കേറ്റവില്
charchakalilekko,ചർച്ചകളിലേക്കോ
aduthukoode,അടുത്തുകൂടെ
paine,പെയ്നും
anushkaykkoppamaanu,അനുഷ്കയ്ക്കൊപ്പമാണ്
edakkottu,എടക്കോട്ട്
chavittimennaanu,ചവിട്ടിമെന്നാണ്
aayuraarogyathinu,ആയുരാരോഗ്യത്തിനു
krodeekarikkanamenna,ക്രോഡീകരിക്കണമെന്ന
saameepyamaano,സാമീപ്യമാണോ
samhaarasheshiyaanu,സംഹാരശേഷിയാണ്
samrabhakathuvathe,സംരഭകത്ത്വത്തെ
aksharathilezhuthi,അക്ഷരത്തിലെഴുതി
vivaahadinathilethiya,വിവാഹദിനത്തിലെത്തിയ
karuthiyirunnatha,കരുതിയിരുന്നത
kochaappuvinte,കൊച്ചാപ്പുവിന്റെ
ahkhaafile,അഹ്ഖാഫിലെ
pathiyeppattiyulla,പത്തിയെപ്പറ്റിയുള്ള
pashchaathapikkaam,പശ്ചാത്തപിക്കാം
paasumaayi,പാസുമായി
viliyethumenna,വിളിയെത്തുമെന്ന
erangiyodaane,ഇറങ്ങിയോടാനേ
paalatthilumetthi,പാലത്തിലുമെത്തി
thayaareduthukazhinju,തയാറെടുത്തുകഴിഞ്ഞു
rasathanthramaayi,രസതന്ത്രമായി
bhaaryakkupoyittu,ഭാര്യക്കുപോയിട്ട്
yudhavimaanathilaanu,യുദ്ധവിമാനത്തിലാണ്
nistharkkamaaya,നിസ്തർക്കമായ
vimukthabhadanmaarkku,വിമുക്തഭടന്മാർക്കു
cheruppakaalangalil,ചെറുപ്പകാലങ്ങളിൽ
housilundu,ഹൌസിലുണ്ട്
porulumaayi,പൊരുളുമായി
podikkochinu,പൊടിക്കൊച്ചിന്
kayariyittundaavum,കയറിയിട്ടുണ്ടാവും
kalikkappedunnathu,കളിക്കപ്പെടുന്നത്
mithraasine,മിത്രാസിനെ
prathifalamottum,പ്രതിഫലമൊട്ടും
lissella,ലിസെല്ല
ranjuka,രഞ്ജുക
bhakthanmaarodukoodi,ഭക്തന്മാരോടുകൂടി
vachankilum,വച്ചങ്കിലും
kazhivukedu,കഴിവുകേട്
athevalappile,അതേവളപ്പിലെ
shamundakkiyaalu,ഷമുണ്ടാക്കിയാല്
nipunathayum,നിപുണതയും
viraamathilethiya,വിരാമത്തിലെത്തിയ
indriyasukhangalude,ഇന്ദ്രിയസുഖങ്ങളുടെ
podiyilekkuthanne,പൊടിയിലേക്കുതന്നെ
puraskaarangalokke,പുരസ്കാരങ്ങളൊക്കെ
jaaminiroy,ജാമിനിറോയ്
samthrupthiyodeyaakum,സംതൃപ്തിയോടെയാകും
napaanu,നപാണ്
mapsinteyum,മാപ്സിന്റെയും
agnikondulla,അഗ്നികൊണ്ടുള്ള
pukalumundaayi,പുകളുമുണ്ടായി
malayaalikalarinja,മലയാളികളറിഞ്ഞ
maadakagandhavumaayi,മാദകഗന്ധവുമായി
displacementinu,ഡിസ്പ്ലേസ്മെന്റിന്
pattaabhishokam,പട്ടാഭിഷോകം
pompus,പോംപസ്
vaathurakkumbol,വാതുറക്കുമ്പോൾ
kolapathakemennanu,കൊലപാതകെമെന്നാണ്
koritharichirunna,കോരിത്തരിച്ചിരുന്ന
mandapangalaayi,മണ്ഡപങ്ങളായി
scoottaaya,സ്കൂട്ടായ
vaakyaghadanayumillaatha,വാക്യഘടനയുമില്ലാത്ത
vanchakarundennum,വഞ്ചകരുണ്ടെന്നും
jazhsikalilum,ജഴ്സികളിലും
shariyallaayenna,ശരിയല്ലായെന്ന
jayaprakash,ജയ്പ്രകാശ്
varevaikittu,വരെവൈകിട്ട്
ororutha,ഓരോരുത്ത
kudilagrakesham,കുടിലാഗ്രകേശം
milla,മില്ല
varayekkaal,വരയേക്കാൾ
dushichum,ദുഷിച്ചും
kalppikkunnavaraanu,കല്പ്പിക്കുന്നവരാണ്
kandali,കണ്ടലി
kiliroor,കിളിരൂർ
sahayamavatte,സഹായമാവട്ടെ
aadambaravumellam,ആഡംബരവുമെല്ലാം
aadyathiranjeduppil,ആദ്യതിരഞ്ഞെടുപ്പിൽ
vidhayappettirunnu,വിധയപ്പെട്ടിരുന്നു
pradesilninnaanu,പ്രദേശിൽനിന്നാണ്
kuttikkaalatthaanu,കുട്ടിക്കാലത്താണ്
paralokathuvechu,പരലോകത്തുവെച്ചു
perarivaalan,പേരറിവാളൻ
malsarayinathile,മത്സരയിനത്തിലെ
vyaakhaanikkappedum,വ്യാഖാനിക്കപ്പെടും
apico,അപ്പിക്കോ
praaraabdatthinte,പ്രാരാബ്ദത്തിന്റെ
ekabaliyaanu,ഏകബലിയാണ്
cheriyiletthiya,ചേരിയിലെത്തിയ
vayyennaayi,വയ്യെന്നായി
