mwnlwnga,मोनलोङा
orgenaijarpwrjwng,अरगेनायजारफोरजों
dikshin,दिक्सिन
sansekhali,सानसेखालि
daosin,दावसिन
habaparini,हाबाफारिनि
naibaonw,नायबावनो
labwnayanw,लाबोनायानो
doblai,दब्लाइ
mitiywmwn,मिथियोमोन
rupahimukni,रुपाहिमुकनि
bukrubnanwisw,बुख्रुबनानैसो
nainaini,नायनायनि
habapariao,हाबाफारिआव
bwkarjendwngmwn,बोखारजेन्दोंमोन
khungdwngguwahati,खुंदोंगुवाहाटी
kacharini,कचारिनि
phishou,फिसौ
ajaonaini,आजावनायनि
homdangkadwngmwndi,हमदांकादोंमोनदि
gwjwosin,गोजौसिन
hengra,हेंग्रा
swlailangnai,सोलायलांनाय
dwntumsalikwo,दोन्थुमसालिखौ
wnswlari,ओनसोलारि
bibani,बिबाननि
subungnanwi,सुबुंनानै
berprunainiprai,बेरफ्रुनायनिफ्राय
solkwo,सलखौ
gelenaisim,गेलेनायसिम
dihungrapwrni,दिहुनग्राफोरनि
golinanwi,गलिनानै
faraisalifwrao,फारायसालिफोराव
buhumari,बुहुमारि
hanjapwrkwo,हान्जाफोरखौ
bakwnainw,बाखोनायनो
gaisongibi,गायसनगिबि
gwglwswnai,गोग्लोसोनाय
hapkopara,हापखपारा
tonglayao,टंलायाव
fosongtananw,फसनथायानो
swrkarninw,सोरखारनिनो
jillayabw,जिल्लायाबो
merga,मेर्गा
machinfwrkwo,मेसिनफोरखौ
tangtwng,थांथों
porichod,परिचद
daobainaia,दावबायनाया
kerketa,केरकेटा
mahari,माहारि
tomasniyao,थमासनियाव
dihunnaijwng,दिहुननायजों
hwkarnai,होखारनाय
dankwo,दानखौ
faikia,फाइखिआ
bijabpwrni,बिजाबफोरनि
songdwngmwn,संदोंमोन
priyansu,प्रियान्सु
raopwrraosw,रावफोररावसो
raijwbenggirini,रायजोबेंगिरिनि
hwpwigwn,होफैगोन
bipapwrabw,बिफाफोराबो
lirhorw,लिरहरो
narwi,नारै
nanga,नांआ
bwisaguni,बैसागुनि
gaopradhan,गावप्रधान
sibsrangnai,सिबस्रांनाय
ontaih,अन्थायः
jasihordwng,जासिहरदों
expini,एक्सपिनि
bibankwobw,बिबानखौबो
porilai,फरिलाइ
nujanaifwrkwo,नुजानायफोरखौ
hogarpinnai,हगारफिन्नाय
jwbwmwn,जोबोमोन
cristanpwrni,क्रिस्टानफोरनि
regregang,रेगरेगां
namghar,नामघर
sohwigwomwn,सहैगौमोन
asujwng,आसुजों
daolagpu,दावलागपु
agrayao,आग्रायाव
spacedarmwna,स्पेजदारमोना
panigaon,पानिगांव
swsonnayao,सोसननायाव
dintikwo,दिन्थिखौ
secondni,सेकेण्डनि
jahangnai,जाहांनाय
milkwo,मिलखौ
phejennanwi,फेजेननानै
kanimayiabw,कानिमयीआबो
langnainisw,लांनायनिसो
junarfwkwo,जुनारफोखौ
armya,आर्मिया
halali,हालालि
kamriddin,खामरिद्दिन
binando,बिनान्द
kwrangirikwo,खोरांगिरिखौ
bahaibwgasinw,बाहायबोगासिनो
hathayao,हाथायाव
boraidwng,बरायदों
bungplangnw,बुंफ्लांनो
rimal,रिमाल
jengwnajwng,जेंगोनाजों
muwafwra,मुवाफोरा
fulisah,फुलिसआ
nonw,ननो
tinainipraibw,थिनायनिफ्रायबो
kebdwng,खेबदों
bessantni,बेसान्टनि
guarmwn,गुवारमोन
kalamgrwnanwi,खालामग्रोनानै
bahaigiri,बाहायगिरि
manikpurni,मानिकपुरनि
supungnwbla,सुफुंनोब्ला
langlai,लांलाय
bivanta,बिभान्टा
forainanwi,फरायनानै
siris,सिरिस
kwosetinitar,खौसेथिनिथार
fwsaogiribla,फोसावगिरिब्ला
nangrwyw,नांग्रोयो
madyapradesh,मद्यप्रदेस
banainai,बानाइनाय
sanjarang,सानजारां
ingrajiwao,इंराजीवाव
mitanlo,मिथानल
laimwnfwrkwo,लाइमोनफोरखौ
nongwikwo,नङैखौ
swngwnblabw,सोंगोनब्लाबो
occordkwo,अकर्डखौ
fwrmaihwidwng,फोरमायहैदों
mahindraya,महेन्द्रआ
fwsaldingnaiabw,फोसालदिंनायाबो
mwnpinnanwi,मोनफिन्नानै
gandini,गान्डिनि
meghalayani,मेघालयानि
kamalakshya,कमलाक्ष्य
dwibo,दैब
bijirna,बिजिरना
maopariafwrni,मावफारियाफोरनि
aagdatingwi,आगदाथिङै
barlangasinw,बारलांगासिनो
gubwiywi,गुबैयै
twnhornw,थोनहरनो
borgit,बरगीत
hadwrsa,हादोरसा
bondhomwn,बन्धमोन
tabletpwrkwo,टेब्लेटफोरखौ
mwnjagwn,मोनजागोन
barot,बारत
salaigirini,सालायगिरिनि
patasarkusi,पातासारकुसि
baarifwrni,बारिफोरनि
nujatipwigwn,नुजाथिफैगोन
jwoghwnai,जौगहोनाय
khebkhangnangwoni,खेबखांनांगौनि
pwnangjabnaijwng,फोनांजाबनायजों
pendolkwo,पेन्डलखौ
sugri,सुग्रि
sakriniprai,साख्रिनिफ्राय
mahirini,माहिरिनि
farilaini,फारिलायनि
saobadi,सावबादि
bungdwmwnblabw,बुंदोमोनब्लाबो
bwsrangnanwi,बोस्रांनानै
ripunjay,रिपुन्जय
lenden,लेनदेन
fwsaolaikwo,फोसावलायखौ
kworangmelni,खौरांमेलनि
nangjabnai,नांजाबनाय
dwikangyw,दैखांयो
filiman,फिलिमान
gwnangni,गोनांनि
tikadarabw,थिखादाराबो
gwlaokainw,गोलाउखायनो
bidha,बिद्या
hwyala,होयाला
hanainibw,हानायनिबो
planeri,प्लानेरि
kurnaikwo,खुरनायखौ
posongtanninw,फसंथाननिनो
daobai,दावबाय
open,अपेन
maofunglangnw,मावफुंलांनो
pwrwngrakwo,फोरोंग्राखौ
fuginangnaya,फुगिनांनाया
bungwblabw,बुङोब्लाबो
feke,फेके
gudiniprainw,गुदिनिफ्रायनो
nunisa,नुनिसा
dihuntayarini,दिहुन्थायारिनि
bihornanwi,बिहरनानै
nifrainw,निफ्रायनो
juliaya,जुलियाआ
swlinayao,सोलिनायाव
habjat,हाबजाथ
bwklainanwi,बोख्लायनानै
hagramapwrkwo,हाग्रामाफोरखौ
katun,खाथुन
tangperakwi,थांफेराखै
jwnw,जोनो
gwrwbjlaina,गोरोबज्लायना
nwobag,नौबाग
kudrisarw,खुद्रिसारो
nasbijirgwn,नासबिजिरगोन
swdangwn,सोदांगोन
bekeosigwnonline,बेखेवसिगोनअनलाइन
swmandw,सोमान्दो
pwibaiblabw,फैबायब्लाबो
jwhornaiao,जोहरनायाव
raoswlainanwi,रावसोलायनानै
mwnjabwnai,मोनजाबोनाय
gwotumpwrjwngbw,गौथुमफोरजोंबो
kulikwo,खुलिखौ
bipanpwrao,बिफानफोराव
kolkataniprai,कलकाटानिफ्राय
gajrini,गाज्रिनि
palijenbwdwng,फालिजेनबोदों
swmaoglungbaow,सोमावग्लुंबावो
komolbelt,कमनबेल्थनि
pangrwnanwi,फानग्रोनानै
sonnwisw,सननैसो
secondarisim,सेकन्दारिसिम
majapar,माजापार
susranga,सुस्राङा
bamglades,बामग्लादेस
ginanga,गिनाङा
ronwj,रनोज
gubunarifwrni,गुबुनारिफोरनि
bukrubnanwi,बुख्रुबनानै
banaifubai,बानायफुबाय
borhat,बरहाट
bansonai,बानसनाय
birna,बिरना
jelaibw,जेलाइबो
lakinanwisw,लाखिनानैसो
kungpungjagwn,खुंफुंजागोन
rajensing,राजेनसिं
gwnong,गोनं
neosidwngmwnblabw,नेवसिदोंमोनब्लाबो
mwntamol,मोनथामल
officerfwra,अफिसारफोरा
hagrayari,हाग्रायारि
dongwbla,दङोब्ला
amrinder,अमरिन्दर
baddi,बाद्दि
hwoapwrnikruibw,हौवाफोरनिख्रुइबो
mitiakwimwn,मिथियाखैमोन
rajbongsijwng,राजबंसिजों
tunlainw,थुनलाइनो
rajkatiari,राजखाथिआरि
pwrwngdwngmwn,फोरोंदोंमोन
jantai,जान्थाय
naibijirgirini,नाइबिजिरगिरिनि
denkanal,देनखानाल
linenibw,लाइननिबो
posongtanni,फसंथाननि
dekaya,देखाया
gwmjangwi,गोमजाङै
maricomni,मेरिकमनि
najanaifwrao,नाजानायफोराव
aijeng,आइजें
pipeline,पाइपलाइन
rongjanainifrainw,रंजानायनिफ्रायनो
dhwrwmgurupwrni,धोरोमगुरुफोरनि
mediamni,मेडियामनि
hogarnaiasw,हगारनायासो
bwiswmutiari,बैसोमुथिआरि
nomansi,नमानसि
rangagara,रांगागारा
biyabni,बियाबनि
radioni,रेडिअनि
kalamnwbw,खालामनोबो
romainaywi,रमायनायै
badopalni,बड़पलनि
assaminpraibw,आसामिनफ्रायबो
finnaifwrkow,फिन्नायफोरखौ
bungla,बुंला
horkab,हरकाब
swniprai,सोनिफ्राय
dasanti,दासान्थि
sofwigwn,सफैगोन
sobtanwi,सबथानै
siganglangnayao,सिगांलांनायाव
borgoyarini,बरगयारिनि
maniywilai,मानियैलाय
boinikurwi,बइनिखुरै
hwdwrpwrni,होदोरफोरनि
ornanwi,अरनानै
maitainiproi,माइथायनिफ्रय
kaolaidwngkolkata,खावलायदोंकलकाता
rwidub,रैदुब
sivasis,सिभासिस
mablabasw,माब्लाबासो
mwdwng,मोदों
dole,दले
udhogjwng,उधगजों
jalini,जालिनि
maokoao,मावखआव
jendwngmwn,जेनदोंमोन
ainayao,आयनायाव
fwtangnanwi,फोथांनानै
maikwo,मायखौ
coffeeah,कपिआ
hinjaojwng,हिन्जावजों
baibai,बायबाय
maitaini,मायथायनि
dhwrwn,धोरोन
raijwjwng,राज्योजों
chami,शामि
dannayao,दान्नायाव
raorwja,रावरोजा
jingasinw,जिंगासिनो
hadwrmayari,हादोरमायारि
iswrari,र्इशोरारि
bangniprai,बांनिफ्राय
domasi,दमासि
nujayalase,नुजायालासे
dinthiyablabw,दिन्थियाब्लाबो
fishersaugust,फिसार्चआगष्ट
hapwr,हाफोर
bistibar,बिस्टिबार
labwtarnangwn,लाबोथारनांगोन
jabainw,जाबायनो
swonanwi,सौनानै
supinnayao,सुफिननायाव
gelegiripwr,गेलेगिरिफोर
fwsaobwdwngmwn,फोसावबोदोंमोन
keralayao,केरेलायाव
harsingywi,हारसिंयै
kolamnw,खलामनो
gwrwbhwlainanwi,गोरोबहोलायनानै
jwbsrangnaya,जोबस्रांनाया
siklakwo,सिख्लाखौ
hompwinw,हमफैनो
rwoat,रौवात
takhai,थाखआय
uisu,उइसु
langrwgwn,लांग्रोगोन
mainriti,माइनरिथि
kalamkangnanwi,खालामखांनानै
madhavdev,माधबदेब
raoni,रावनि
trapping,ट्रेपिं
arunudoi,अरुनुदय
patniya,पाटनीया
araitani,आरायथानि
bijirsaliao,बिजिरसालीयाव
poojani,फुजानि
hepajabgirikwo,हेफाजाबगिरिखौ
asuruddin,असुरुद्दीन
hilarah,हिलारआ
dingyakwo,दिङाखौ
swkanw,सोखानो
bedorpangra,बेदरफानग्रा
nangw,नाङो
maherjad,माहेरजाद
promodbodo,प्रमदबड
eseblabw,एसेब्लाबो
bojakwo,बजाखौ
dumani,दुमानि
bahanw,बाहानो
khoarkhumana,खआरखुमाना
smagling,स्माग्लिं
octopwrao,अक्टफोराव
fwrmaihornanwi,फोरमायहरनानै
nwngtanw,नोंथानो
maolangnw,मावलांनो
mwihur,मैहुर
oktoborniprai,अक्तबरनिफ्राय
bijirsaliyao,बिजिरसालियाव
daoklaihwyw,दावख्लायहोयो
bwisyo,बैस्य
jakwmanaya,जाखोमानाया
bolin,बलिन
pejenna,फेजेन्ना
sartoni,सार्थनि
chopar,चपार
fwrwngirifwra,फोरोंगिरिफोरा
juktigwnang,जुक्तिगोनां
bogibilkwo,बगिबिलखौ
gwotumao,गौथुमाव
dhwmaji,धोमाजि
ortaya,अरथाया
baraidwnggwdan,बारायदोंगोदान
saglwbnayabw,साग्लोबनायाबो
butarnaya,बुथारनाया
koramor,खरामर
forainainifrainw,फरायनायनिफ्रायनो
saikojabai,सायखजाबाय
burkangnw,बुरखांनो
susma,सुस्मा
labwya,लाबोया
alasifwra,आलासिफोरा
bathouniprai,बाथौनिफ्राइ
somwndwi,समोन्दै
rumao,रुमाव
poraisapwrni,फरायसाफोरनि
beramifwrni,बेरामिफोरनि
tahwina,थाहैना
rangwi,राङै
samlainw,सामलायनो
mwnpwiyaswi,मोनफैयासै
mungkojanai,मुंखजानाय
habsonna,हाबसन्ना
daogabwbaogwn,दावगाबोबावगोन
phukon,फुकन
hanjapwrnw,हान्जाफोरनो
sarjni,सार्जनि
gwkwng,गोखों
jwblangbaih,जोबलांबायः
swlwni,सोलोनि
bokaghatni,बकाधाटनि
daklwini,दाख्लैनि
fahamgirikwo,फाहामगिरिखौ
hefajabao,हेफाजाबाव
hablangdwngmwn,हाबलांदोंमोन
mobailao,मबाइलाव
durungjwng,दुरुंजों
hwnaifwrao,होनायफोराव
jilaya,जिलाया
aogrinaijwng,आवग्रिनायजों
dhoomketuniprai,धुमकेतुनिफ्राय
tikani,तिकानि
dwijiri,दैजिरि
dintipwrni,दिन्थिफोरनि
mokonaikwo,मखनायखौ
sompwrni,समफोरनि
paokungurjwng,फावखुंगुरजों
gotainangwomwn,गथायनांगौमोन
rajarsi,राजार्सि
sandwngdi,सान्दोंदि
ministry,मिनिस्ट्रि
gundrapwrnibw,गुन्द्राफोरनिबो
maligaon,मालिगाव
dwlwal,दोलोआल
centrepwrkwo,सेन्टारफोरखौ
bilasipara,बिलासिपारा
gwswkanghwpindwng,गोसोखांहोफिनदों
afing,आफिं
habhwinayao,हाबहैनायाव
gwdani,गोदाननि
harmu,हारमु
officerpwra,अफिसारफोरा
ransarna,रानसारना
sorjabnanwi,सरजाबनानै
shivratri,शिबरात्री
pabji,पाबजि
otonmas,अतनमास
twinaijwng,थैनायजों
gwlwinw,गोलैनो
lwngnapwrkwobw,लोंनाफोरखौबो
pinnaifwrkow,फिन्नायफोरखौ
nark,नारक
daigwnang,दायगोनां
swlaihwnaya,सोलायहोनाया
hatwng,हाथों
jahwnai,जाहोनाय
tuliram,टुलिराम
quen,क्वेन
lajinangnai,लाजिनांनाय
tunw,थुनो
jonosongparka,जनसंफारका
gabnai,गाबनाय
gonai,गनाय
pulbariao,पुलबारिआव
butumgiripwra,बुथुमगिरिफोरा
kuldar,कुलदार
kalifula,कालिफुला
godungywi,गदुंयै
dwitaihornanwi,दैथायहरनानै
jillafwra,जिल्लाफोरा
jangkrikangdwng,जांख्रिखांदों
lupungnaini,लुफुंनायनि
woroy,वरोय
rakakmari,राकाकमारि
jiraiywmwn,जिरायोमोन
biyabnipras,बियाबनिफ्रास
dabinai,दाबिनाय
afadgiripwra,आफादगिरिफोरा
swpadernaiao,सोफादेरनायाव
railaiywmwn,रायलायोमोन
jabwnaipwrni,जाबोनायफोरनि
dwikhangbwdwngblabw,दैखांबोदोंब्लाबो
taywmwnbla,थायोमोनब्ला
salainanwi,सालायनानै
mechkwo,मेचखौ
baheraobw,बाहेरावबो
bekwo,बेखौ
jwmnaini,जोमनायनि
unniprainw,उन्निफ्रायनो
dwsanjho,दोसान्झ
sabsidari,साबसिदारि
jummu,जुम्मु
dilit,दिलित
samlaijadwngmwn,सामलायजादोंमोन
bepwrni,बेफोरनि
gwkrwngwi,गोख्रोङै
jahwinwbw,जाहैनोबो
bekeonaijwng,बेखेवनायजों
baonanghoukhai,बावनांगौखाय
jugami,जुगामि
derhasarmwn,देरहासारमोन
kengpwrtijwng,खेंफोरथिजों
aitingkwo,आयथिंखौ
merapani,मेरापानि
prosasnik,प्रसासनिक
soptahoni,सप्ताहनि
manprit,मनप्रित
japungnaikwo,जाफुंनायखौ
swnnwini,सोन्नैनि
aoraidwngmwn,आवरायदोंमोन
lwmjwbnw,लोमजोबनो
sohokwo,सहखौ
rwika,रैखा
mohamod,महामद
nwgwrarimwn,नोगोरारीमोन
komai,खमाय
saparini,साफारिनि
hangarkwo,हांगारखौ
daniyabengko,दानियाबेंक
togging,टगिं
negrapwrkwo,नेग्राफोरखौ
posongtanpwrjwng,फसंथानफोरजों
feetniprai,पिटनिफ्राय
rwikatini,रैखाथिनि
haslabakwimwn,हास्लाबाखैमोन
hanjafwrni,हान्जाफोरनि
kungpujanai,खुंफुजानाय
jatarnangwoni,जाथारनांगौनि
kamanifwrabw,खामानिफोराबो
husenkwo,हुसेनखौ
bwkaonai,बोखावनाय
yentetni,येनथेटनि
jongkaibaobai,जंखायबावबाय
twinaifwrkwo,थैनायफोरखौ
somajjwng,समाजजों
bibai,बिबाय
dwimafwrabw,दैमाफोराबो
abrutifwr,आब्रुथिफोर
swmbla,सोमब्ला
tunjlainaiaonw,थुनजलाइनायावनो
kalmonai,खालमनाय
maotangkia,मावथांखिआ
bilirnayao,बिलिरनायाव
hojai,हजाइ
wnswlnimwn,ओनसोलनिमोन
forward,फरवार्ड
maonagrayabw,मावनाग्रायाबो
formni,फ्रमनि
bhallabhabai,भाल्लाभाबाय
bikungao,बिखुंआव
harisapwrkwonw,हारिसाफोरखौनो
januarykwo,जानुवारिखौ
bahaigwnni,बाहायगोननि
hogarnangwo,हगारनांगौ
samlai,सामलाय
hanjaao,हान्जाआव
dhaligaon,धालिगाव
bonita,बनिता
panitla,पानिटला
gardni,गार्डनि
chorma,चर्मा
pragoti,प्रागती
veterinani,भेटेरिनानि
sotiya,सतिया
garamayao,गारामायाव
bijab,बिजाब
dabliuah,डाब्लिउआ
habaparimwn,हाबाफारिमोन
gotainaikwo,गथायनायखौ
naijanw,नायजानो
commissionerpwrnw,खमिसनारफोरनो
viva,वीवा
besadniprai,बेसादनिफ्राय
ritiya,रिथिया
saglwbsindwng,साग्लोबसिनदों
yuvrajni,युबराजनि
nomwndwng,नमोनदों
permission,पारमिसन
akdatingwi,आगदाथिङै
gangnai,गांनाय
jaiganiprai,जायगानिफ्राय
ingrajpwrni,इंराजफोरनि
brahmaya,ब्रह्मआ
tespur,तेसपुर
masiaol,मासियावल
kworangdi,खौरांदि
bitangaonw,बिथांआवनो
dwnnaijwng,दोन्नायजों
hangkranayao,हांख्रानायाव
hatiyarpwrjwng,हाथियारफोरजों
hembramni,हेमब्रामनि
bungdwngmwnblabw,बुंदोंमोनब्लाबो
mwtwo,मोथौ
swngtipwr,सोंथिफोर
nagirgra,नागिरग्रा
nongkaifwra,नंखायफोरा
bungtoakwi,बुंथवाखै
charmakwosw,चर्माखौसो
kistowarao,किस्टवाराव
harimuwa,हारिमुवा
ecg,इसिजि
raijafwra,रायजाफोरा
khusiyau,कुशिआव
jahwinanwi,जाहैनानै
mwihuraria,मैहुरारिआ
swdanga,सोदांआ
rwngmwntai,रोंमोनथाय
fwraobw,फोरावबो
sebkangnaya,सेबखांनाया
longleng,लंलें
aogayakwi,आवगायाखै
sayw,सायो
harimung,हारिमुं
jonanwi,जनानै
hastainayao,हास्थायनायाव
saoraihordwngmwn,सावरायहरदोंमोन
bidut,बिदुत
dihuntaiyaobw,दिहुनथायआवबो
kwmagwn,खोमागोन
swdangjayaswi,सोदांजायासै
korpwrni,खरफोरनि
releace,रिलिस
bijabjwng,बिजाबजों
kwmajwbnanwi,खोमाजोबनानै
pekejao,पेकेजाव
championah,चेम्पियनआ
simajwng,सिमाजों
gwswni,गोसोनि
sosin,ससिन
kamw,खामो
swmjiya,सोमजिया
dongwmwn,दङोमोन
raoswlaigir,रावसोलायगिर
kalarsim,खालारसिम
borkhetri,बरक्षेत्रि
jurpukuri,जुरपुखुरि
lepashri,लेफास्रि
sikangdwngmwnblabw,सिखांदोंमोनब्लाबो
electricni,इलेक्ट्रिकनि
jajnaboti,जाजनाबती
narzaryni,नार्जारीनि
probhinsialaijeson,प्रभिनसिएलाइजेसन
hwpadwng,होफादों
odkarifwrkwo,अदखारिफोरखौ
gotaidwngblabw,गथायदोंब्लाबो
phisiulji,फिसिउलजि
rains,रेन्स
nwjwrbwgiri,नोजोरबोगिरि
nangwong,नांगौं
mwnos,मोनस
fammuary,फाममुवारि
nwjwrbwnanwi,नोजोरबोनानै
gwhwilw,गोहैलो
marykomaa,मेरिकमआ
goboda,गबदा
gwmalanghwgwn,गोमालांहोगोन
sombarao,समबाराव
bimaniprai,बिमानिफ्राइ
datasetni,डाटासेटनि
jiple,जिफ्ले
patgaon,फाटकाव
jwbbai,जोबबाय
dronkwo,ड्रनखौ
putimari,पुथिमारि
mwnnanwibw,मोननानैबो
fwrmainaya,फोरमायनाया
ringpikhang,रिंफिखां
palangirijwng,फालांगिरिजों
amingamiao,आमिनगामिआव
saogariaonw,सावगारियावनो
langfinwiao,लांफिनैआव
dasabw,दासाबो
rokwo,रखौ
kamalbeltni,कमनबेल्थनि
swrjinangwoni,सोरजिनांगौनि
bibangiripora,बिबानगिरिफरा
jengwnani,जेंगोनानि
fari,फारि
sigangaosw,सिगाङावसो
dapungnaikwo,दाफुंनायखौ
kanpurni,कानपुरनि
pwjwbnaijwng,फोजोबनायजों
apdet,आपदेत
saogarikwonw,सावगारिखौनो
sombarniprai,समबारनिफ्राय
naiblanw,नायब्लानो
umachson,उमाचसन
bilaiaolo,बिलाइआवल
hornw,हरनि
bitingah,बिथिंआ
falinayao,फालिनायाव
vaccine,वेक्सिन
moneshwar,मनेश्वर
demaoni,डेमावनि
gelemu,गेलेमु
ramdevni,रामदेवनि
hendimenkwo,हेन्दिमेनखौ
abungtangkilirtai,आबुंथांखिलिरथाय
chalakudi,चालाकुदि
mataori,माथावरि
borguli,बरगुलि
sengra,सेंग्रा
novembernifrai,नबेम्बरनिफ्राय
jampwra,जामफोरा
komlainai,खमलायनाय
togayw,थगायो
jwbtarnaiao,जोबथारनायाव
geywi,गेयै
baneswar,बानेस्वर
sobhayao,सभायाव
samlaigirya,सामलायगिरया
jerenga,जेरेङा
bisinani,बिसिनानि
wnswlkwonw,ओनसोलखौनो
swrjidwngmwn,सोरजिदोंमोन
sikhla,सिख्ला
swmaoglungdwng,सोमावग्लुंदों
mwnnangen,मोननांगेन
hinjaosapwra,हिनजावसाफोरा
saidulah,सायदुलआ
farmingni,फार्मिंनि
wngkarlangdwmwn,ओंखारलांदोमोन
narainpu,नारायनपु
baohordwng,बाउहरदों
jir,जिर
abadarifwrabw,आबादारिफोराबो
unaonw,उनावनो
gaglwbjananwi,गाग्लोबजानानै
banaidwngmwnblabw,बानायदोंमोनब्लाबो
jn,जेएन
khangnai,खांनाय
habnayao,हाबनायाव
jesebangkini,जेसेबांखिनि
dwidengiripwrnw,दैदेनगिरिफोरनो
samad,सामाद
fanlu,फानलु
agostosim,आगस्तसिम
lahdwigorni,लाहदैगरनि
khaise,खायसे
swnanwi,सोनानै
prodesao,प्रदेसाव
langkwmarw,लांखोमारो
stationsim,स्टेसनसिम
muse,मुसे
kamani,खामानि
hanni,हान्नि
baosin,बावसिन
derhasatkwo,देरहासातखौ
maogiria,मावगिरिआ
wngtigwnangwi,ओंथिगोनाङै
manina,मानिना
bungwd,बुङोद
heema,हिमा
bekeodwng,बेखेवदों
faokungrikwo,फावखुंग्रिखौ
mwsanayao,मोसानायाव
dapinnai,दाफिन्नाय
dihungiripwrnisw,दिहुनगिरिफोरनिसो
dainipwrkwo,दायनिफोरखौ
banggladeshifwrkwo,बांग्लादेसिफोरखौ
fondre,फन्द्रे
kaonaifwrabw,खावनायफोराबो
nujdatidwngmwn,नुजदाथिदोंमोन
hejelaya,हेजेलाया
twjwngwi,थोजोङै
archenic,आर्चेनिक
fwnangw,फोनाङो
tabainaijwng,थाबायनायजों
obama,अबामा
fwtaitao,फोथायथाव
gaogasekwobw,गावगासेखौबो
sharmani,शर्मानि
jwogohwnai,जौगहोनाय
labwywdi,लाबोयोदि
komailangnanwi,खमायलांनानै
gwbananwi,गोबानानै
poraisakwobw,फरायसाखौबो
sittaranjan,सित्तरन्जन
lagrapwra,लाग्राफोरा
angkal,आंखाल
mohamho,महामह
bungtidwngmwndi,बुंथिदोंमोनदि
utkaraonw,उतखारावनो
tagiriya,थागिरिया
relipwrao,रेलिफोराव
mwntaini,मोनथायनि
nohole,नहले
rajkungrinifrai,राजखुंग्रिनिफ्राय
horakwimwn,हराखैमोन
jabrobtaya,जाब्रबथाया
khungbwdwngmwn,खुंबोदोंमोन
jwngninw,जोंनिनो
golafwra,गलाफोरा
sombaru,समबारु
hwlangnayao,होलांनायाव
goalkini,गलखिनि
bitangkiao,बिथांखिआव
dhanes,धनेस
jatini,जातिनि
gwswkangdwngmwn,गोसोखांदोंमोन
manja,मान्जा
gibimontri,गिबिमन्थ्रि
hussainya,हुसेइनआ
bonjar,बन्जार
giglunghwnai,गिग्लुंहोनाय
juniawi,जुनियायै
jwothaini,जौथायनि
jaoglang,जावग्लां
maokonipra,मावखनिफ्रा
eoin,इयन
sarti,सारथि
songbisirni,संबिसिरनि
rudwngmwn,रुदोंमोन
mwnseniprai,मोनसेनिफ्राय
lahwnaiswi,लाहोनायसै
afganistannifrai,आफगानिस्टाननिफ्राय
agankwo,आगानखौ
hinjaopwrmwn,हिन्जावफोरमोन
rupal,रुपाल
mujhaparabad,मुझापाराबाद
bwhwilangdwng,बोहैलांदों
bathwo,बाथौ
panindra,पानिन्द्र
maogiripwra,मावगिरिफोरा
dwbta,दोबथा
kuga,खुगा
kworangkwo,खौरांखौ
butarnaijwng,बुथारनायजों
saikonaya,सायखनाया
dwnnanwi,दोननानै
nagrijuliao,नाग्रिजुलियाव
maopungnaiasw,मावफुंनायासो
juya,जुया
dimahasao,डिमाहासाव
niprai,निफ्राय
anchari,आन्चारि
fwtarniprai,फोथारनिफ्राय
ssani,एसएसएनि
phithaiya,फिथाया
jutumsaliyaonw,जथुमसालियावनो
recervey,रिसार्भे
kalarao,खालाराव
nokorprwmnwbw,नखरफ्रोमनोबो
royelti,रयेलटि
hadari,हादारि
moranabw,मरानाबो
gabnaijwng,गाबनायजों
pahamsalini,पाहामसालिनि
hwnayasw,होनायासो
gwnainanwi,गोनायनानै
dobtai,दबथाय
manigra,मानिग्रा
faogiri,फावगिरि
daywbla,दायोब्ला
pariywjna,पारियोजना
ghoyaljwng,घयालजों
alda,आलदा
tajwbnaini,थाजोबनायनि
bibungtikwo,बिबुंथिखौ
saoli,सावलि
booking,बुकिं
diarji,दिआरजि
driberah,ड्रायबारआ
jokom,जखम
porainaipwr,फरायनायफोर
baskandia,बासकान्दिआ
jitmal,जितमल
amsufwra,आमसुफोरा
aganse,आगानसे
twnhorkw,थोनहरखो
langkargrapwra,लांखारग्राफोरा
bwisagi,बैसागि
diswmborkali,दिसोम्बरखालि
naigra,नायग्रा
praharini,प्राहारिनि
aidafwrkwobw,आयदाफोरखौबो
upplni,इउपिपिएलनि
hadornang,हादरनां
pojnai,फजनाय
hwswhorgwn,होसोहरगोन
samlainaya,सामलायनाया
nasoidwngmwn,नासयदोंमोन
dwndwngmwnblabw,दोन्दोंमोनब्लाबो
juwel,जुवेल
naisongwn,नायसंगोन
talangnanwi,थालांनानै
khwifwdni,खैफोदनि
minarni,मिनारनि
jwogakanghwna,जौगाखांहोना
kalamhorw,खालामहरो
iswra,इसोरा
dajabthai,दाजाबथाइ
maonainiprai,मावनायनिफ्राय
maharia,माहारिया
boraibai,बरायबाय
panging,पांगिं
samlagiria,सामलागिरिआ
gwyajasw,गोयाजासो
gunani,गुनानि
susban,सुसबान
hwklainw,होख्लायनो
surlangasinw,सुरलांगासिनो
goalki,गलखि
angkalti,आंखालथि
bwswrnu,बोसोरनु
gadob,गादब
swmkikangnai,सोमखिखांनाय
gaolung,गावलुं
saoraijadwngmwn,सावरायजादोंमोन
keraiakiswi,खेरायाखिसै
lwngnaipwra,लोंनायफोरा
gaotaibai,गावथायबाय
rajaaa,राजाआ
gotainiprai,गथायनिफ्राय
halwi,हालै
jwbtesalijwng,जोबथेसालिजों
