frental,فرنٹل
rakhaajab,رکھاجب
chaaja,چاجا
aandher,آندھر
soneeta,سونیتا
graduates,گریجویٹس
nakolan,نکولن
teriz,طرز
behla,بہلا
thod,تھد
thowuth,تھوٚوتُھ
behterhot,بہترہوت
bandrakh,بندرکھ
tadpata,تڑپاتا
pachtava,پچھتاوا
adbikii,ادبٕکۍ
haawun,ہاوُن
gabe,گبہٕ
mulkaram,ملکرم
dekhli,دٲخلۍ
munakadkerva,منعقدکروا
iftikharaldin,افتخارالدین
vishtem,وشتم
fitrevith,پُھڑٲوِتھ
basiomut,باسیوومُت
drawi,دراوویٖہ
yaqaal,یقال
rozeyn,روزٕنۍ
enith,أنِتھ
zelith,زٲلِتھ
doctormosofe,ڈاکٹرموصوفہ
abwayob,ابوایوب
pekiz,پٲکیٖزٕ
hindustankyen,ہِنٛدُستانکٮ۪ن
gangadharan,گنگادھرن
pulatas,پلاسِٹک
shourey,شوٚعوٗرٕے
timny,تِم
laget,لغت
yihund,یِہُنٛد
gaalibe,غالبہٕ
atswuney,اژوُنے
drats,درٛاژِ
kabarshareef,قبرشریف
nagufte,ناگفتہ
adiban,ادیٖبَن
jazyaat,جزیات
broadkasteras,براڈکاسٹرس
giraan,گران
talstay,ٹالسٹاے
wabasteh,وابستہٕ
ravath,راوٹھ
khaehish,خٲہِش
mashhad,مشہد
darbarlar,دربارلار
nawwun,نووُن
apnarozgar,اپناروزگار
fojdari,فوجداری
khabardarkirat,خبردارکرت
kyarakh,کیارکھ
tosaabat,توثابت
lekhmet,لیکٚھمٕتۍ
pehenchajat,پہنچاجات
satupe,ستوٗپہٕ
dawaniyon,دوانیوں
takhleqi,تخلیٖقی
baane,بٲنہٕ
parambani,پرمبنی
badri,بدرِ
leadrawer,لیڈراور
mahamehem,مہامہم
alaamiya,علامیہ
anser,عنصر
maadras,مادرس
bavas,ہاوس
irtibat,ارتباط
wajudey,ووٚجوٗدٕے
tasenzi,تسنٛزٕ
sanrangal,سنرنگل
baap,باپ
khaslets,خصلٔژ
interfiyas,انٹرفیس
garnath,گرناتھ
labe,لبہٕ
kosnan,کوسنن
bankak,بنکک
shayen,شعٮ۪ن
soyal,سویل
rangar,رنگار
kehram,کہرام
banavneh,بناونہٕ
humyari,ہمیاری
moklith,مۄکلِتھ
vartaw,وَرتاو
shafaresh,شفارش
nazarpanjab,نظرپنجاب
sapdeth,سپدِتھ
rozgaarak,روزگارک
farmeesi,فارمیسی
godneth,گۄڈنٮ۪تھ
mohqeqani,مُحققانہٕ
abhla,ابھلا
pryez,پرٮ۪ز
gabh,گبھ
darulfanah,دارالفناہ
ladatha,لڑاتھا
lamisal,لامثال
zade,زدٕ
khoshwanat,خوشونت
hakeeki,حقیقی
magriswa,مگرسوا
gangar,گنگر
mehbus,محبوس
nazreleg,نظرلگ
majaalas,مجالس
bajwa,بجوا
siyalso,سیالسو
stela,سٹیلا
arakna,آرکنا
zavaluq,زوالُک
kirdaaran,کِردارن
aanja,آنجا
kyamajbur,کیامجبور
votlyov,وۄتلیوو
venshinal,ونشنل
haknaar,ہاکنار
parhindo,پرہندو
doshwey,دۄشوٕے
orkeya,اورکیا
iros,ایروس
scholar,سکالر
dartaafat,درتافت
zaate,ذاتِ
wuchaw,وُچھو
biltan,بلٹن
alistiab,الاستیعاب
dandigal,ڈنڈیگل
kryehni,کرٛٮ۪ہنہِ
azuk,أزیُک
kosbakdushi,کوسبکدوشی
holderz,ہولڈرز
tsed,ژٮ۪ڈ
dharmo,دھرمو
abdulshamim,عبدالشمیم
traawen,ترٛاوٕنۍ
oxycholite,آکسیکولیٹ
abuq,آبُک
rasros,رسروس
sehat,صٮ۪حَتھ
tabqajat,طبقاجات
aarmand,آرمنڈ
hidayatkaron,ہدایتکاروں
goral,گورل
ruzith,روٗزتھ
markatab,مرکتب
bharaho,بھراہو
paghlan,پگھلن
bharbhara,بھربھرا
doim,دویُم
crectorz,کریکٹرز
shauras,شعوٗرس
ajeeb,عجیب
inaprashan,اناپراشن
yadkiyajan,یادکیاجن
iltijarat,التجارات
shahzades,شہزادس
lechh,لیٚچھ
mesihiyat,مسیحیت
archaeologist,آرکیولاجسٹ
deshwariyon,دیشواریوں
hazarsalon,ہزارسالوں
haarar,ہارر
nokhte,نۄقطہٕ
batorar,بطورر
bevmits,بٲومٕژ
tharoro,تھرورو
saladiya,سلادیا
parbamandal,پربامنڈل
aeti,ٲتی
vazira,ویٖزا
kalech,کالٕچ
rotbi,رۄتبہٕ
maharejee,مہارٲجی
sarkarhamyeshe,سرکارہمیشہ
nigerja,نگرجا
phuthraevith,پُھڑٲوِتھ
vajaanib,وجانب
manyal,مانیال
pasmandgan,پسمندگان
compainraver,کمپینراور
suleman,سلیمان
ijdadka,اجدادکا
khaaran,خارن
sarbarah,سربراہ
aasaktah,آسکتاہ
changam,چنگم
advertisement,ایڈورٹایزمنٹ
ahatas,احاطس
sahibzadah,صاحبزادہ
majawar,مجاور
forteen,فورٹین
badhayabalke,بڑھایابلکہ
dilbagsangh,دلباغسنگھ
kesinz,کٕسنٛز
slogan,سلوگن
tifawat,تفاوت
chanjar,چنجر
parliyah,پرلیاہ
hawawramastaqabal,ہواورمستقبل
saltanpuri,سلطانپوری
takhtes,تختَس
complaint,کمپلینٹ
chohed,چوہد
aachareya,آچاریہ
mutaluqjankari,متعلقجانکاری
farmadiya,فرمادیا
darpoliyas,دارپولیس
jhajkat,جھجکت
kahamajh,کہامجھ
hyechaan,ہیٚچھان
ehelkarak,اہلکارک
kasfarjari,کاسفرجاری
zamat,زامت
falaaw,پھلاو
mahapenchayaton,مہاپنچایتوں
membership,ممبرشپ
pemaane,پیمانہٕ
mema,میما
tarbeyat,تربیت
garlez,گرلز
bangtan,بنگٹن
meyon,میون
narda,ناردا
kovarkaras,کوورکرس
tshanji,ژھانٛجہِ
kawatar,کواتر
thowne,تھونہٕ
vardanan,وردنن
kalofrokht,کلوفروخت
tazi,تٲزی
gizagosht,غذاگوشت
pakhtegi,پختگی
valanojavan,والانوجوان
samenti,سامنتی
mantihi,منتہی
kangri,کانگرِ
khambadzong,کھمبادزونگ
sedey,سیٚدے
tankeedee,تنقیدٖی
hekuk,ہٮ۪کوکھ
nowhata,نوہٹہ
fareeqiyat,فریقیت
baanth,بانٹھ
doagneh,دۄگنہٕ
nafesuk,نفسُک
manne,ماننہٕ
kirdaar,کرِدار
chende,چنٛدٕ
maansa,مانسا
mokleov,مۄکلیوے
vaataan,واتان
daayan,ڈایَن
ehendis,أہندِس
prospectas,پراسپکٹس
naev,نٲوۍ
parliamentas,پارلیمنٹس
dabler,ڈبلر
shakenj,شکنج
tosab,توسب
muhajirat,مہاجرت
veleemas,ولیمس
mashhuradakar,مشہوراداکار
tamad,تمد
mushairon,مشاعروں
azwaji,ازواجی
hargah,ہرگاہ
qarbaar,کاربار
dardbiyan,دردبیان
sarkheel,سرخیل
mekaanuk,مکانُک
koman,کومن
nadbataya,ندبتایا
eraab,اعراب
rawal,راول
aamits,آمٕژ
mahawre,محاورٕ
gael,گٔلۍ
aljaza,الجزا
cheelan,چیلن
angrez,انگریز
muzafarabadas,مظفرآبادس
dobharkardiya,دوبھرکردیا
vamkanat,وامکانات
imdaedi,امدٲدی
halfi,حلفی
kavalifekshan,کوالیفیکشن
sinz,سٕنزٕ
wetshnawnuk,وٮ۪ژھناونُک
rizakarak,رضاکارک
shankran,شنکرن
pritshan,پرژھان
vatangdasti,وتنگدستی
doyaw,دۄیَو
naanan,نانن
balhaz,بلحاظ
zankeri,زانکٲری
khend,کٔھنٛڈ
enstroment,انسٹرومنٹ
islaamut,اسلامُت
farwas,فاروس
andradep,اندردیپ
kermit,کٔرمٕتۍ
yav,یوٚ
manshah,منشاہ
castra,کاسٹرا
orkeshmeerper,اورکشمیرپر
diyalachek,دیالاچک
afzeyi,افزٲیٔ
qalhanas,کلہنس
kryeke,کرٮ۪کہٕ
compontas,کمپونٹس
narazi,ناراضی
kogoliyon,کوگولیوں
mejme,مجمہٕ
lehzah,لہذاہ
pursakoon,پُرسکون
nazr,نظر
nimaw,نمِو
olya,اولیا
parbhari,پربھاری
afwaj,افواج
dengdoro,ڈنگڈورو
muts,مُژ
currenciyon,کرنسیوں
almazam,المزم
reyij,رٲیج
byaakh,بیٛاکھ
rekaard,ریکارڈ
nazdeeki,نزدیٖکی
tiheynd,تہنٛدۍ
seke,ثٮ۪قہٕ
adlyok,اَڈلیوٚک
almuazam,المعظم
namayende,نمایندٕ
empla,ایمپلا
faast,فاست
oarsa,اورسا
khats,کھٔژ
firaadi,فرادی
rehrikaton,رحرکتوں
rajyomahajan,راجیومہاجن
phyurus,پھیورُس
posheq,پوشک
ibtidaeyi,ابتدٲیی
yathey,یتَھے
kaaskhat,کاسخت
bumbres,بوٚمبرس
harmarhal,ہرمرحل
raalal,رالل
hoja,ہوجا
ibrol,ابرول
gyaneshwar,گیانیشور
sleepang,سلیپنگ
shastran,شاسترن
badoshon,بدوشوں
yunanyen,یونانیٛن
myith,میٖٹھ
tarzemashrat,طرزمعاشرت
rapriyag,رپریاگ
ferrible,فیریبل
gathaa,گٹھا
ziyam,زِیم
melitensi,ملیٹنسی
betashamil,بیٹاشامل
vaath,واٹھ
electristi,الیکٹرسٹی
kravni,کرٛاونہٕ
syeke,ثٮ۪قہٕ
mandras,مندرس
krishan,کرشنَ
beksi,بیکسی
afradkopkad,افرادکوپکڑ
trasportero,ٹراسپورٹرو
mozuhan,موضوہَن
alhasini,الحسینی
musalmanon,مسلمانوں
karhoko,کرہوکو
darkenarkarnanakabal,درکنارکرناناقابل
amezan,امیزان
samjote,سمجوتہٕ
parmodkamar,پرمودکمار
parmel,پرمل
kosaman,کوسامن
womut,وومُت
traave,تراوٕ
paidakyahwah,پیداکیاہواہ
tashvishan,تشویشن
onum,اوٚنُم
natijas,نتیٖجس
amarbalmaroof,امربالمعروف
suratkhaal,صورتخال
charoli,چرولی
salgaan,سلگان
iraqiyon,عراقیوں
malfuzat,ملفوظات
karneik,کرنٕکۍ
khase,خاصہٕ
saynesi,سایٔنسی
yaawnaw,یاونَو
kepergi,کیپرگی
konkashan,کونکشن
karbehla,کربہلا
barsena,برسنا
vuchun,وُچھن
gehar,گہر
kamishnerkishtewad,کمشنرکشتواڑ
tooyr,توٗرۍ
pershio,پرشیو
magrisaath,مگرساتھ
dolkha,ڈولکھا
yaw,یوٗ
naras,نارس
behnevith,بیٚہنٲوِتھ
dongi,ڈونگی
pazi,پزی
shanshan,شانشان
draamaakis,ڈراماکِس
tsori,ژورِ
andrimen,أندرِمٮ۪ن
secretrate,سیکریٹریٹ
sarola,سرولا
yadba,یادبا
pedakarti,پیداکرتی
sarpersalamat,سرپرسلامت
contractorz,کنٹریکٹرز
khanaa,کھنا
jawasra,جواسرا
brohn,برۄنہِہ
shirawarbakri,شیراوربکری
khodaai,خُدایہِ
wenodsharma,ونودشرما
vathi,وٹھٕ
khodkhadmat,خودخدمت
qamyab,کامیاب
kofnakardin,کوفناکردین
aroma,اروما
sanofarma,سنوفارما
rishpaal,رشپال
bavnuq,باونُک
sawadas,سوادس
shaitanvi,شیطانوی
tavanarahna,توانارہنا
hangee,ہنگی
monand,مونند
angot,انگوٹ
dohrayake,دہرایاکہ
kopeshgi,کوپیشگی
venne,وننہِ
shayrani,شٲیرانہٕ
maktuban,مکتوٗبَن
paayik,پایکۍ
parmatachrah,پرمتاچرہ
awraal,اورال
dehmaari,دہماری
anhiyat,انہیت
bolnaavun,بولناوُن
shaklat,شکلات
gedagro,گداگرو
zafraniyat,زعفرانیت
saer,سٲر
kosfarish,کوسفارش
taaman,تامن
ehtiramas,ایٚحترامَس
varyehan,واریِہَن
prabharah,پرابھاراہ
tarhogiya,ترہوگیاہ
itfaq,اتفاق
hadds,حَدس
kargiya,کرگیا
bechavka,بچاوکا
kajehti,کجہتی
enqilabi,اِنقلابۍ
numayendgan,نمایندگان
baagaat,باغات
neare,نیرٕ
kidaar,کِردار
emergencies,ایمرجنسیز
thamaa,تھما
khamber,کھمبر
gyamgarbehat,گیامگربہت
arshidmila,ارشدملا
baeis,بٲعث
nichar,نچر
andrekaneh,اندرکنہٕ
holz,ہولز
ropyi,رۄپیہ
tankho,تنخو
hechhnuk,ہیٚچھنُک
pyekal,پیکل
orthopedics,آرتھوپیڈکس
kromiyam,کرومیم
creadtas,کریڈٹس
qaajim,کاجم
hoyamard,ہویامرد
mercenta,مرسنٹا
mojuudgi,موجوٗدگی
ehmedshaal,احمدشال
emaarto,عمارتو
alnazar,النظر
wamosladhar,وموسلادھار
bislaey,بسلاے
eronotics,ایرونوٹکس
milata,ملاتا
pehlabamahavrah,پہلابامحاورہ
fabaan,پھٮبان
parmarta,پرمارتا
leym,لٔمۍ
sojay,سۄجاے
ayed,عاید
narindrecheb,نریندرچب
wartang,ورتنگ
mazbutee,مضبوٗطی
haspenwi,ہسپٲنوی
qeid,قٲیدٕ
banawath,بناوٹھ
teid,تٲییٖد
nechla,نچلا
alehadgi,علیحدگی
yokleen,یوکلین
contentment,کنٹینٹمنٹ
jamuriyat,جموریت
kobeechna,کوبیچنا
zemeen,زمیٖن
intervention,انٹروینشن
yadakarakish,یاداکاراکش
savagat,سواگت
kawafsosnak,کوافسوسناک
faarstas,فارسٹس
kyagyatha,کیاگیاتھا
yuthni,یُتھنہٕ
rasulan,رسولن
sarparbajli,سرپربجلی
sangiyan,سنگیان
hoster,ہوسٹر
moklaewith,مۄکلٲوِتھ
amraan,امران
nehimagar,نہیںمگر
jalaaw,جلاو
talaashas,تلاشَس
khalifa,خلیفہَ
yaajaan,یاجان
komalazam,کوملازم
sas,ساس
kamraal,کمرال
vajvar,وجوار
vasilaw,ؤسیٖلَو
khashmenak,خشمناک
arsebramnium,آرسبرامنیم
barchol,برچول
henkle,ہانکلٕہ
gulsharan,گلشرن
dimaam,دمام
humrang,ہمرنگ
niyabab,نیاباب
madber,مدبر
tarkaam,ترکام
malkun,ملکون
tsaawhaba,ژاوحبہ
voth,ووتھہٕ
gajraj,گجراج
pancheya,پنچایا
thandagosht,ٹھنڈاگوشت
zeeth,زیٖٹھ
kahagardhari,کہاگردھاری
prewith,پرٲوِتھ
alsavaab,الصواب
emiuk,اَمُیٛک
tankhwah,تنخواہ
nanehwal,نانہوال
yenferd,ینفرد
chaladiya,چلادیا
zachki,زچکی
bahase,بَحثہٕ
adiban,أدیٖبن
koroka,کوروکا
aazmeiy,آزمٲیی
maagh,ماگھ
chayi,چایہِ
mekzim,میکسِم
kadogri,کاڈوگری
wyesi,ویٚسہِ
mahumangiyat,مہومنگیت
okyanus,اوقیانوس
vaayat,وایت
sagdio,سگدیو
muarmut,مورمُت
therma,تھرما
chhek,چھیٚکۍ
vajudek,ووٚجوٗدٕکۍ
parliamentarian,پارلیمنٹرین
sapdi,سپدِ
jawabdar,جوابدار
ijtina,اجتنا
aasemanas,آسمانس
fatim,فاطم
adhorachhodan,ادھوراچھوڑن
khawnuk,کھاونُک
gosvi,گوسوی
istemaal,استِمال
jantiyon,جنتیوں
brozmangalwar,بروزمنگلوار
anzrawnuk,أنٛزراونُک
meejra,میجرا
guldast,گلدست
rawne,راونہِ
azwast,ازوست
taabe,تابیٚع
karnanhayat,کرنانہایت
banaveyn,بناوٕنۍ
faizyabi,فیضیابی
sheeraaz,شیرازٕ
trev,ترٛٲو
himat,ہمت
kardigarnojawaan,کردیگرنوجوان
tashveshnaak,تشویشناک
gavarpara,گوارپارا
padgiya,پڑگیا
muahidi,معاہدی
hindes,ہٕنٛدِس
pruntshuk,پرٛوٗنٛژُھک
titi,تِتہِ
karnih,کرنہٕ
achahonachahi,اچھاہوناچاہی
nishand,نشاند
khof,خوف
nangali,ننگالی
farpra,پھرپرا
dramahas,ڈراماہَس
karmichari,کرمچاری
qadfiyan,قدفین
registers,رجسٹرس
behtermehsus,بہترمحسوس
galbe,غلبہٕ
aphsanech,اَفسانٕچ
lich,لیٖچھ
gojerdesh,گوجردیش
vakha,واکھا
batapa,بتاپا
heqaw,ہٮ۪کَو
khakpa,خاکپا
aked,عقیٖد
adhiyanpuri,ادھیانپوری
fehlavaan,پھہلاوان
pharpenchayat,پھرپنچایت
sadaq,صدق
numaeyende,نمایندٕ
broonth,برونٛٹھ
piras,پیرس
yori,یورٕ
mabgalon,مبغلوں
pogal,پوگل
hurraavne,ہُرراونہٕ
sadarbalbat,صدربلبت
ameedwarhain,امیدوارہیں
yithhuy,یِتُھے
kyoskis,کیوسکس
inqelaabo,انقلابو
mashravan,مٔشراوان
chhoran,چھورن
karyakartalogon,کاریاکرتالوگوں
farkyonsi,فرکیونسی
leadershardepwar,لیڈرشردپوار
vuniuktaam,وُنیکتام
jalka,جلکا
tsei,ژیٚے
nigaah,نگاہ
autocraft,آٹوکرافٹ
maneneh,ماننہٕ
naawle,ناوِلہ
braheen,براہین
metring,میٹرنگ
jaayan,جایَن
tenqeedee,تنقیدٖی
khovur,کھووُر
woj,ووج
hogyataham,ہوگیاتاہم
yamotrasa,یاموٹرسا
ujadjat,اجڑجات
bakhtavaeri,بختاوری
mazhabiyat,مذہبیت
khalaafskhat,خلافسخت
shya,شیٚے
pasandey,پسندی
praavnuk,پرٛاونُک
hasteleri,ہسٹلری
mahirtaleem,ماہرتعلیم
keriv,کٔرِیو
vaqati,واقاتہٕ
imanatdari,امانتداری
bandeshein,بندیشیں
aasehen,آسٕہن
kereth,کٔرٕتھ
electricti,الیکٹرکٹی
raplon,رپلوں
golz,گولز
arjinder,ارجندر
rectoral,ریکٹرل
eteraz,اعتراض
parmasas,پرمسس
sanasar,سناسر
tashqeel,تشکیٖل
latviya,لٹویا
mahir,مٲہرِ
yemuyk,ییٚمیٛکُ
dastavezki,دستاویزکی
pheraan,پھیران
tabiyati,طبیعاتی
mangewith,منگٲوِتھ
abadkira,آبادکرا
makto,مکتو
jaldehi,جلدہی
kaalas,کالَس
rakanwale,رکانوالہ
balogiyat,بلوغیت
makand,مکند
pawargard,پاورگرڈ
matub,مطوب
incubation,انکیوبیشن
tajrubih,تجربہٕ
onmut,اوٚنمُت
risht,رشت
dhamka,دھمکا
karman,کرمن
almuzahiri,المظاہری
chakerdar,چکردار
kefirkirdartek,کیفرکردارتک
sachweshan,سچویشن
wateerasa,وطیرس
tsotraavne,ژھوٚٹراونہٕ
komanna,کوماننا
parmeshwari,پرمیشوری
tarwaqiat,ترواقعات
barazam,براعظم
vunih,وُنہِ
aeth,أتھۍ
mozoas,موضوٗعس
dorana,دورانا
yarkasha,یارکشا
tryen,ترٛٮ۪ن
nigranka,نگرانکا
neyv,نٔوۍ
sargol,سرگول
yajwan,یاجوان
bagaawath,بغاوَتھ
mohkame,محکمہ
vaet,وٲتۍ
hindustein,ہِندُستٲنۍ
bhagvany,بھگوانٕے
jumna,جمنا
nawey,ناویہٕ
broanth,برٛونٛٹھ
nabe,نبہٕ
kehin,کیٚہنۍ
nasiyat,نسیت
wajdan,وجدان
haziree,حٲضری
padas,پَدَس
mion,میوٚن
parbehtertal,پربہترتال
fer,فٔرۍ
jafarabad,جعفرآباد
andwatan,اندواتان
amidwarbanayagiya,امیدواربنایاگیا
hanfiya,حنفیہ
recordings,ریکارڈنگس
thapal,تھپل
factoriyon,فیکٹریوں
dekhowto,دیکھوتو
mardal,مردل
sabnian,صٲبنٮ۪ن
chhekravan,چھٔکراوان
mahage,مہاگہ
sarhadgi,سرحدگی
karnapasand,کرناپسند
tshat,ژَھٹھ
terqi,ترقی
solitery,سولیٹری
faqad,فقد
ebtideayi,ابتدٲیی
khunas,خوٗنَس
photographravartehqiqi,فوٹوگرافراورتحقیقی
winkenas,وُنۍکٮ۪نَس
vazna,وزنا
puthen,پوٗٹھٮ۪ن
agrasko,اگراسکو
kemales,کمالَس
hyderabadpoliyas,حیدرآبادپولیس
afwah,افواہ
alislaam,الاسلام
faraari,فراری
alnaas,الناس
markezee,مرکٔزی
agarpori,اگرپوری
behnas,بیٚہنَس
balyogi,بالیوگی
gazlanei,غزلَنےٕ
ispitalon,اسپتالوں
wuch,وُچھۍ
tatola,ٹٹولا
piovus,پیوس
bharpraman,بھرپرامن
tsandan,ژھانڈن
valahona,والاہونا
tihinzan,تِہنزن
razan,رازَن
doctorferst,ڈاکٹرفرسٹ
banyowus,بنیوس
olampi,اولمپی
vasaaf,وصاف
mushtehrikyah,مشتہرکیاہ
wardriyon,وردریوں
faisadnimbraat,فیصدنمبرات
aksarchnavi,اکثرچناوی
zabanak,زبانک
dukandarliyaqat,دکاندارلیاقت
bandaas,بنداس
sapud,سَپد
samwaar,سموار
haajaw,ہاجو
qayom,قیوم
afsanas,اَفسانَس
izharekyagiya,اظہارکیاگیا
yitsaw,یِژھو
gehaar,گہار
jomih,جوٚمہِ
yadesh,یادیش
bov,بوو
alvenso,الونسو
dilasadiyat,دلاسادیت
rakshapar,رکشاپر
iqtidarsanbhaal,اقتدارسنبھال
headquaterki,ہیڈکواٹرکی
kentsev,کینژو
dekhtsar,دٮ۪کھژار
mercelcrated,مرسلکریٹڈ
junglo,جنگلو
jaskosambhalna,جسکوسنبھالنا
mehfuz,محفوٗظ
orkaar,اورکار
gurbet,غربتھ
koshab,کوشب
dabelo,ڈبیلو
shruken,شُرٛکٮ۪ن
nwash,نۄش
bakrol,بکرول
apelon,اپیلوں
dobara,دوبارا
watafseergojri,وتفسیرگوجری
manzy,مَنٛزٕے
hisaan,حسان
varaei,ورٲیی
koriar,کوریر
khandes,کھنڈس
lift,لِفٹہٕ
menistrative,منسٹریٹیو
khodawand,خداوند
treymis,ترٛیمِس
aarsaagar,آرساگر
damsaajid,دمساجد
zyoon,زیوٗن
sajhakrit,ساجھاکرت
pratsh,پرٛژٕھ
makanuk,مکانُک
fikir,فِکِر
aurlachar,اورلاچار
chhodker,چھوڑکر
laaven,لاوٕنۍ
rehbero,رہبرو
byaakh,بیاکھ
tamazat,تمازت
dharendeh,دھرندہ
sashkhasiyat,سشخصیت
karnesihat,کرنصیحت
sadrepi,صدرپی
chhapata,چھپاتا
malih,ملہٕ
parpora,پرپورا
zarafat,ظرافت
mohtajen,مۄحتاج
kaloha,کالوہا
manesh,منیش
vehsirat,وحسرت
veyr,ؤرۍ
alnoor,النور
yemeh,ییٚمہ
badarkardiya,بدرکردیا
tasweerech,تصویٖرچٕ
govui,گۄویِہ
bhadkata,بھڑکاتا
kataaj,کاتاج
umeedwaaran,اُمیدوارن
metsi,میٚژِ
tamnarakhtaho,تمنارکھتاہو
kultar,کلتار
iranas,ایرانس
videography,ویڈیوگرافی
vishmarek,وشمارک
starz,اسٹارز
qarnaam,کارنامن
parkaran,پرکرن
buyl,بوٗلۍ
saskena,سسکنا
laajak,لاجک
gabi,گبہِ
khesusiyets,خوٚصوٗصِیَژٕ
hainhemara,ہیںہمارا
mahangahogiyalikan,مہنگاہوگیالیکن
loat,لوٚت
udevith,أڈٲوِتھ
kaantant,کانٹنٹ
muqaamas,مقامَس
daftertek,دفترتک
jehdjehed,جہدجہد
frustration,فرسٹریشن
baraabar,برابر
begravnas,بٲگراونس
alme,علمہٕ
entranz,انٹرنز
tyutuy,تیوٗتُے
keshireyn,کٲشرٮ۪ن
akvuhan,اکوٗہن
baaw,باو
kernev,کرنوو
demukta,دمکتا
andrawaal,اندروال
laanba,لانبا
kahadusri,کہادوسری
jangutri,جنگوتری
isteqbal,استٮ۪قبال
sarthal,سرتھل
darwarka,دروارکا
vegetable,ویجیٹبل
jonsan,جونسن
shamaro,شمارو
temisund,تٔمۍسُند
lotaa,لوٹا
bichadna,بچھڑنا
draats,درٛاژِ
saalan,سالن
marakar,مراکر
esuli,اصولہٕ
bichasakta,بچاسکتا
oneh,اونہٕ
karpanchayat,کرپنچایت
wethmit,ؤتھۍمٕتۍ
gazlas,غزلَس
baky,باقٕے
panchuti,پنچوتی
kokhola,کوکھولا
wonus,ووٚنُس
vehdaat,وحدات
tamik,تَمِکۍ
luukh,لوٗکھ
gatshun,گژُھن
sharpasandane,شرپسندانہ
karguzari,کارگذاری
ziny,زِنۍ
hukumraniyi,حکُمرٲنیہِ
nigrekashmeeras,نگرکشمیرس
kemolvi,کیمولوی
rafochkarhog,رفوچکرہوگ
khowri,کھوورٕۍ
jektas,جیکٹس
bazarawarkarobari,بازاراورکاروباری
osood,اوسوٗد
rera,ریرا
kathey,کتھٕے
bolpoor,بولپور
architecture,آرکیٹکچر
faalan,پھالن
mojudbaraamad,موجودبرآمد
reserpenichon,رسرپنچوں
baden,بَڈٮ۪ن
oriental,اورینٹل
aliqlaam,الاقلام
pentsa,پنٛژاہ
karpardazgan,کارپردازگان
kaansib,کانسب
seerniger,سیرنگر
aawazki,آوازکی
nakte,نکتہٕ
saanta,سانتا
balke,بلکِہ
angreziya,انگریزیہ
nechuv,نیٚچُو
rozsemaji,روزسماجی
transformeron,ٹرانسفارمروں
warey,وارے
logar,لوگر
tame,تامٕے
nateejas,نتیٖجَس
nekadew,نقادو
pretshus,پرژھُس
kartiyar,کرتیار
kishtewadki,کشتواڑکی
makerna,مکرنا
compowending,کمپاونڈنگ
sarhadik,سرحدٕکۍ
puyr,پوٗرۍ
parmamtaz,پرممتاز
zoqe,ذوقہٕ
keshiri,کٔشیٖرِ
yemih,یٚیمِہ
semler,سملر
anduzhon,اندوزہون
aawazi,آوازٕ
navazshat,نوازشات
moket,مۄکٕٹ
bathkan,بٹھکن
yemsajid,یمساجد
iswi,عیسوی
shaabaan,شابان
parsaaman,پرسامن
sepad,سَپد
angeeth,انٛگیٖٹھ
tavakhrovi,تواخروی
bargazida,برگزیدہ
counterter,کونٹرٹر
samrveera,سمرویرا
barwa,بروا
samarjiyat,سمرجیت
compartments,کمپارٹمنٹس
muhaawras,محاورس
streming,سٹریمنگ
temirko,تعمیرکو
wakeele,وکیٖلہ
shafaqat,شفاقت
ijda,اجدا
itmina,اطمینا
bomevar,بوموار
sehteko,صحتکو
sayare,سیارٕ
majmas,مجمس
jhalmal,جھلمل
gashran,گاشران
dastegiri,دستگیری
nerr,نٮ۪ر
palnamshikal,پالنامشکل
ishiyajag,ایشیاجاگ
shionsi,شیونسی
vamukararah,ومقررہ
parmosh,پرموش
metropolitin,میٹروپولٹین
foundational,فاونڈیشنل
afsarbhi,افسربھی
alzaal,الزال
niamath,نیٛامتھ
waenis,وٲنِس
almanaam,المنام
thuwun,تھوٚوُن
salehiyat,صلٲحیِتھ
hathyarak,ہتھیارک
tekingz,ٹیکنگز
megistratory,مجسٹریٹری
ifteraqi,افتراقی
setryer,سٔتریر
aanor,آنور
tabe,تابیٚع
zuvzete,زُوزٮ۪تہٕ
parchinderbabuna,پرچندربابونا
gandneh,گنڈنہٕ
jangen,جنگن
namorgojri,نامورگوجری
shande,شاندٕ
jaadil,جادل
pehncheyagiyatha,پہنچایاگیاتھا
dimagech,دٮ۪ماغٕچ
mutalaqe,متعلقہٕ
khoobi,خوٗبی
nyeth,نٮ۪ٹھ
musbat,مثبت
nasruk,نثرُک
vetsny,وٮ۪ژھنَے
ratni,رٔتنہٕ
nishaandehi,نشاندہی
bhatkadiya,بھٹکادیا
nahikarna,نہیںکرنا
yitshe,یِژھٕ
nisebi,نصٲبی
bichaare,بچارٕ
hainjetan,ہیںجتن
sehmat,سہمت
medaanan,مٲدانَن
miyanen,میانٮ۪ن
garit,گٔرِت
gupteshwar,گپتیشور
wenyokh,وَنیوکھ
ehelkargoli,اہلکارگولی
jehalat,جہالت
saidlengasamy,سیدلنگاسامی
alzooj,الزوج
comaster,کوماسٹر
jadtak,جڑتک
kawaspital,کواسپتال
qarardadki,قراردادکی
kehtahon,کہتاہوں
marla,مرلا
yiye,یِیِہِ
thaksi,تھکسی
nyeber,نیبر
komarkoz,کومرکوز
marhumi,مرحوٗمہٕ
shaaruk,شعرک
