swaasthmay,સ્વાસ્થમય
fedherwaite,ફેધરવેઇટ
debox,ડિબૉક્સ
glucomathy,ગ્લુકોમાથી
takataa,ટકતાં
chidchidiyapanu,ચિડચિડીયાપણું
purvavartikaran,પૂર્વવર્તીકરણ
lakhapir,લખાપીર
compilitions,કમ્પાઇલિશન્સ
mulayme,મુલાયમે
kambekno,કમબેકનો
flatish,ફ્લેટિશ
anjubalani,અંજુબાલાની
parkhi,પરખી
sauravidhyut,સૌરવિદ્યુત
vistarvasioma,વિસ્તારવાસીઓમાં
masaao,મસાઓ
parikramaapath,પરિક્રમાપથ
lasotvi,લસોટવી
apnai,અપનાઈ
chikhalithi,ચીખલીથી
modrich,મોડ્રીચ
bbu,બીબીયૂ
saiyasathini,સૈયાસાથીની
beverley,બેવરલે
apratyaasheel,અપ્રત્યાશીલ
inteel,ઇન્ટેલ
confucius,કન્ફુશિયસ
communes,કોમ્યુન્સ
sveekaareeae,સ્વીકારીએ
verinagma,વેરીનાગમાં
sthirtaanaa,સ્થિરતાના
payton,પેટોન
harshoullasabher,હર્ષોઉલ્લાસભેર
vyaayaamshikshak,વ્યાયામશિક્ષક
kaachbee,કાચબી
aakramankario,આક્રમણકારીઓ
buggyno,બગ્ગીનો
jalgrahan,જલગ્રહણ
aashutoshnu,આશુતોષનું
rajulanagarpalika,રાજુલાનગરપાલિકા
papankush,પાપાંકુશ
lekhankarm,લેખનકર્મ
sahyogroop,સહયોગરૂપ
kausharni,કૌશરની
streerogavignaan,સ્ત્રીરોગવિજ્ઞાન
kaskin,કાસ્કીન
siaidee,સીઆઇડી
kapilani,કપિલાની
sothaa,સોથા
esbest,એસ્બેસ્ટ
tcsrdna,ટીસીએસઆરડીનાં
kayarini,કયારીની
avsaroni,અવસરોની
ghibli,ગીબીલી
kyayne,ક્યાયને
filetype,ફાઈલટાઈપ
nirmankartaoae,નિર્માણકર્તાઓએ
kathaana,કથાના
aulokonu,ઔલોકોનું
mensionno,મેન્શનનો
curros,ક્યુરોસ
shimsu,શિમસુ
gafelgiri,ગાફેલગીરી
recempling,રીસેમ્પ્લીંગ
yogeshwarpark,યોગેશ્વરપાર્ક
narmadaavibhaagne,નર્મદાવિભાગને
fiderico,ફિડેરિકો
roundupsmathi,રાઉન્ડઅપ્સમાંથી
kassu,કસ્સુ
jalstrino,જળસ્ત્રીનો
cordeliani,કૉર્ડેલિયાની
ruprekhaaomaa,રૂપરેખાઓમાં
khoine,ખોઇને
vinantini,વિનંતિની
verenka,વેરેન્કા
achalkumar,અચલકુમાર
umedvarvali,ઉમેદવારવાળી
beshop,બિશપ
chakradaar,ચક્રદાર
yogyav,યોગ્યવ
sidwalk,સિડવૉક
fagosh,ફગોશ
teldrin,ટેલ્ડ્રિન
reclability,રિક્લેબિલિટી
meramanbhaine,મેરામણભાઈને
volta,વોલ્ટ
thavkaipurvak,ઠાવકાઈપૂર્વક
balsarane,બલસારાને
ethitude,એથિટ્યુડ
handgrand,હેન્ડગ્રેન્ડ
hummingbirdam,હમીંગબર્ડમ
unolchable,અનોલચેબલ
pakija,પાકીજા
chhatrabhramanna,છત્રભ્રમણના
nazeri,નાઝેરી
theresane,થેરેસાને
samayantare,સમયાંતરે
fiberglassma,ફાઇબરગ્લાસમાં
kuldipbhai,કુલદીપભાઈએ
chaiwala,ચાઈવાલા
liftmathi,લિફ્ટમાંથી
yelmanthi,યેલમાંથી
meerjaparna,મીરજાપરના
gausevak,ગૌસેવક
upahaseen,ઉપહસીન
valgaadyaa,વળગાડ્યા
pedigree,પેડીગ્રી
aankadna,આંકડના
herhanj,હેરહંજ
nadimukhma,નદીમુખમાં
haalmaanma,હાલમાંમાં
salilkhan,સલીલખાન
bheg,ભેગ
makanjeene,મકનજીને
baccorated,બેકોરેટેડ
lokotsavnu,લોકોત્સવનું
qoroniyama,કોરોનિયમ
karmabai,કર્માબાઈ
jojone,જોજોને
filing,ફાઇલિંગ
shilubhai,શીલુભાઈ
amlikoma,માલિકોમાં
maskman,માસ્કમેન
oriental,ઓરિયેન્ટલ
naachas,નાચસ
mukaai,મુકાઈ
maarchno,માર્ચનો
sevasankalp,સેવાસંકલ્પ
niyamitpan,નિયમિતપણ
hajareenee,હાજરીની
pantuji,પંતુજી
bahushrutshankar,બહુશ્રુતશંકર
corresponds,કોરસ્પોન્ડસ
caledonia,કેલેડોનીયા
pomroadmaan,પોમરોડમાં
delane,ડિલેન
nidhino,નિધિનો
kandhasarna,કાંધાસરના
premiiyam,પ્રીમિયમ
magvani,માગવાની
chandrafish,ચંદ્રફિશ
kurmanchal,કુર્માંચલ
constitutional,કૉન્સ્ટીટ્યૂશનલ
automakersna,ઓટોમેકર્સના
boxelarni,બોક્સેલરની
probiotic,પ્રોબાયોટિક
scapla,સ્કેપ્લા
manuno,મનુનો
guido,ગુઈડો
jaafrabadee,જાફરાબાદી
aramakothi,અરામકોથી
provomaa,પ્રોવોમાં
lilotarinu,લીલોતરીનું
vanakborimathi,વણાકબોરીમાંથી
lalitpurma,લલિતપુરમાં
samvedansheen,સંવેદનશીન
tvachaane,ત્વચાને
parentimano,પેરેન્ટિમાનો
pradaanothi,પ્રદાનોથી
bayaso,બાયસો
mukutotsav,મુકુટોત્સવ
dukaandaari,દુકાનદારી
rajendrasurishwarji,રાજેન્દ્રસૂરિશ્વરજી
essa,ઇએસએસએ
dundwada,ડુંડવાડા
varkvaalo,વર્કવાળો
vyaparithi,વ્યાપારીથી
vyavalsthaa,વ્યવલસ્થા
maalvu,માળવું
adhyaharma,અધ્યાહારમાં
jhakhand,ઝાખંડ
yajeedna,યજીદના
ganitkaushalya,ગણિતકૌશલ્ય
phinisar,ફિનિસર
ramdevnu,રામદેવનું
belanopostehatis,બેલનોપોસ્ટેહાટીસ
nevice,નેવાઈસ
vikhvaadoni,વિખવાદોની
jarang,જરંગ
bankasur,બંકાસુર
uproktmaanaa,ઉપરોક્તમાંના
tinamo,ટિનામો
restorathi,રેસ્ટોરાથી
mccollman,મેકકોલમેન
sayalaane,સાયલાને
scientology,સાયન્ટોલોજી
hashmine,હાશ્મીને
sanbandhonee,સંબંધોની
newspapers,ન્યુઝપેપર્સ
telecommunicash,ટેલિકોમ્યુનિકેશ
rahevanuj,રહેવાનુજ
saadgipurvaknu,સાદગીપૂર્વકનું
gereya,ગેરેયા
sambhavittaono,સંભવિતતાઓનો
shahistakhanne,શાહિસ્તાખાનને
nanagarik,નાનગરિક
sunje,સંજય
sangharshviramni,સંઘર્ષવિરામની
remnu,રેમનું
lalsi,લાલસી
sansadmaanthi,સંસદમાંથી
bhaktinayan,ભકિતનયન
anjaniputrani,અંજનીપુત્રની
hochyaan,હોચ્યાં
darkhastmathi,દરખાસ્તમાંથી
gascon,ગેસ્કોન
aushadhoni,ઔષધોની
indroda,ઇન્દ્રોડા
chaacho,ચાચો
jatthaavaahak,જથ્થાવાહક
ghanraj,ઘનરાજ
rewal,રેવાલ
propha,પ્રોફા
faieery,ફેરી
theophilect,થિયોફિલેક્ટ
timba,ટિમ્બા
marathione,મરાઠીઓને
kahevaat,કહેવાત
wapraashkarta,વપરાશકર્તા
dipadane,દીપડાને
sarsine,સારસીને
ameeratni,અમીરાતની
shantarambhai,શાંતારામભાઇ
adjorb,એડજોર્બ
kukkar,કુક્કર
chunautipurn,ચુનૌતિપૂર્ણ
mahavirji,મહાવીરજી
nirkek,નિર્કેક
kapva,કાપવા
setsanu,સેટ્સનું
vadapradhanshrina,વડાપ્રધાનશ્રીના
ankvaalaa,અંકવાળા
katmarn,કાટમાર્ન
montanelli,મોન્ટાનેલી
thruput,થ્રુપુટ
sheelpna,શિલ્પના
mahatmaji,મહાત્માજીએ
nucleocenthesis,ન્યુક્લિયોસેન્થેસિસ
bachaaraane,બચારાને
facilityne,ફેસેલિટીને
iren,ઇરેન
dandotia,દંડોતિયા
maimori,મૈમોરી
promoteromathi,પ્રમોટરોમાંથી
kissawala,કિસ્સાવાળા
prayogshaalaa,પ્રયોગશાળા
sankatnashako,સંકટનાશકો
neemay,નિમય
sonidevi,સોનીદેવી
haldardhaar,હળદરધાર
premipankhida,પ્રેમીપંખિડા
chinooknu,ચિનૂકનું
kankarolima,કાંકરોલીમાં
prospektasano,પ્રોસ્પેક્ટસનો
nikhile,નિખિલે
dealershipma,ડીલરશિપમાં
glaptodan,ગ્લેપ્ટોડન
aavruttimathi,આવૃત્તિમાંથી
shitalanagarma,શીતળાનગરમાં
dispensariomaa,ડિસ્પેન્સરીઓમાં
kahere,કહેરે
anuyogcharya,અનુયોગચાર્ય
pedhhivaali,પેઢીવાળી
kuvichaaroni,કુવિચારોની
veenuthi,વિનુથી
provision,પ્રોવિજન
rupandehi,રૂપનદેહી
hangjo,હાંગ્જો
alipurdwar,અલીપુરદ્વાર
drumline,ડ્રમલાઇન
lickweedne,લિકવીડને
maaheeteenee,માહિતીની
waldenbooks,વાલ્ડેનબુક્સ
emket,એમકેટ
chandosi,ચંદોસી
samayaavadhi,સમયાવધિ
courtship,કોર્ટશિપ
chaaund,ચાઉન્ડ
riyazuddin,રીયાઝુદ્દીન
katako,કટકો
handva,હાંડવા
cindy,સીન્ડી
dashavtaar,દશાવતાર
rumiya,રૂમિયા
tangentno,ટેન્જેન્ટનો
gunvantarayni,ગુણવંતરાયની
pakko,પક્કો
absu,એબીએસયુ
shovaaltarnaa,શોવાલ્ટરના
senaomathi,સેનાઓમાંથી
aashishhathi,આશિષથી
asamanjasamma,અસમંજસમમાં
malde,માલદે
hellanno,હેલનનો
bhupendrasih,ભૂપેન્દ્રસિહ
khadilkar,ખાડીલકર
vichartu,વિચારતુ
bhenkala,ભેંકલા
gotaaun,ગોટાઉન
pimpalswali,પિમ્પલ્સવાળી
hockeys,હોકીજ
ilua,ઈલુઆ
electrospin,ઇલેક્ટ્રોસ્પિન
robylard,રોબીલાર્ડ
kharsiana,ખારસીયાના
kapalbhanti,કપાલભાંતિ
failer,ફેઈલર
pigtelsne,પિગટેલ્સને
undprught,અંડપ્રગટ
censorshipno,સેન્સરશિપનો
dakshe,દક્ષે
aakoli,આકોલી
picdorus,પિકડોરસ
kethetheek,કેથેથિક
bioresource,બાયોરિસોર્સ
gondarpatti,ગોંદરપટ્ટી
felicity,ફેલીસિટી
pittal,પિટ્ટલ
felavnara,ફેલવનારા
seekho,શીખો
thottapillaina,થોટ્ટાપિલ્લઈના
hormonol,હોર્મોનોલ
rizvanbhai,રિઝવાનભાઈ
signore,સિગ્નોર
govardhanpujani,ગોવર્ધનપૂજાની
israelma,ઈઝરાયેલમાં
rickmanno,રિકમેનનો
optis,ઓપ્ટીસ
panchdashnam,પંચદશનામ
kendromathi,કેંદ્રોમાંથી
paddo,પદ્દો
vaahchaalako,વાહચાલકો
kuhuni,કુહુની
kholakia,ખોલકીયા
orthotox,ઓર્થોટોક્સ
seasoncy,સિઝન્સી
kasia,કાસિયા
prathaagat,પ્રથાગત
lsd,એલએસડી
komase,કોમાસે
bashpibhavnit,બાષ્પીભવનિત
heraatmaa,હેરાતમાં
dweepni,દ્વીપની
disbursement,ડિસ્બર્સમેન્ટ
ratre,રાત્રેએ
chaadiyaane,ચાડીયાને
jinderne,જિંદરને
moinuddin,મોઇનુદ્દીન
shikshankarmioma,શિક્ષણકર્મીઓમાં
vakhatchandne,વખતચંદને
valannaa,વલણના
bhetia,ભેટિયા
concreetna,કોન્ક્રીટના
mahaprayatne,મહાપ્રયત્ને
kumkumthi,કુમકુમથી
richaanaa,રિચાના
vishvasmitri,વિશ્વાસમિત્રી
yaatraaduo,યાત્રાળુઓ
mauneekne,મૌનિકને
nastiktavad,નાસ્તિકતાવાદ
greutno,ગ્રેઉટનો
najukaithi,નાજૂકાઇથી
feelmono,ફિલ્મોનો
spershing,સ્પર્શિંગ
antyaj,અંત્યજ
sorated,સોરેટેડ
bahelaav,બહેલાવ
edulji,ઇડૂલ્જી
frakya,ફ્રક્યા
updravione,ઉપદ્રવીઓને
vaanchchhuae,વાંચ્છુએ
kareepotana,કરીપોતાના
hidimbaane,હિડિમ્બાને
karayaa,કરાયા
sichmaa,સિચમાં
madharaad,મધરાદ
beerajaya,બિરાજયા
rockline,રૉકલાઇન
gussonu,ગુસ્સોનું
timurnu,તિમુરનું
astheet,અસ્થિત
iwary,આઇવરી
upasaavi,ઉપસાવી
vaatene,વાતેને
sisodiyaane,સિસોદિયાને
triard,ટ્રાયર્ડ
jigarbhaine,જીગરભાઈને
bedennaa,બેડેનના
chronus,ક્રોનસ
phaltan,ફલટણ
hussenbad,હુસેનબાદ
tekaata,ટેકાતા
chizvastuonu,ચીઝવસ્તુઓનું
pisione,પીસીઓને
karambirsingh,કરમબીરસિંઘ
ghoomatiyun,ઘુમટિયું
asthirpanu,અસ્થિરપણું
sharannu,શરણનું
bitarne,બિટરને
kaanunnun,કાનૂનનું
satsangomaa,સત્સંગોમાં
digimaa,ડીજીમાં
koreejnaa,કોરીજના
osmapura,ઉસ્માપુરા
abelia,અબેલિયા
soparnee,સોપરની
centinellismaa,સેન્ટિનેલિસમાં
balatkarpiditani,બળાત્કારપીડિતાની
witen,વીટન
parganaaoae,પરગણાઓએ
disect,ડિસેક્ટ
yogeswaran,યોગેશ્વરન
khwaza,ખ્વાઝા
bhupalam,ભૂપાલમ
anasaktiyogni,અનાસક્તિયોગની
sitapura,સીતાપુરા
angelosena,એન્જેલોઝના
optom,ઓપ્ટોમ
ganeshpurina,ગણેશપુરીના
banavdavta,બનાવડાવતા
shaisee,શૈસી
beechverna,બીચવેરના
divasannaa,દિવસનના
turfma,ટર્ફમાં
shailendraji,શૈલેન્દ્રજી
dhandhaanee,ધંધાની
sachavavaman,સાચવવામાં
rakhevaaro,રખેવારો
daahakkaran,દાહકકરણ
rassam,રસ્સમ
jawabdehina,જવાબદેહીના
kvitovani,ક્વિટોવાની
jangme,જંગમે
jabara,જાબારા
sangakaya,સંગાકાયા
picturary,પિક્ચરરી
swisthi,સ્વીસથી
podernaa,પોડરના
chhokarani,છોકરાની
utejanaanu,ઉતેજનાનું
mornaa,મોરના
hashej,હશેજ
neurolingistic,ન્યૂરોલિંગિસ્ટિક
sadhanshuddhine,સાધનશુદ્ધિને
mahatvaheen,મહત્વહીન
morafella,મોરાફેલ્લા
purntex,પૂર્ણટેક્સ
carpo,કાર્પો
tockdown,ટૉકડાઉન
eesu,ઇસુ
rankona,રેંકોના
twibsne,ટ્વિબ્સને
raktvaahinio,રક્તવાહીનીઓ
imagically,ઇમેજિકલી
finegan,ફાઇનગન
sooryachakranu,સૂર્યચક્રનું
efflammatory,ઇફ્લેમેટરી
aachchhaadanni,આચ્છાદનની
femilisemanthi,ફેમિલીઝમાંથી
ranjoddhaane,રણજોદ્ધાને
scrottle,સ્ક્રોટલ
medhaano,મેધાનો
geonist,જિયોનિસ્ટ
sarfarajkhanne,સરફરાજખાનને
kaathaama,કાથામાં
nimbo,નિમ્બો
curosity,ક્યૂરોસિટી
amtosis,એમટોસિસ
kasurdar,કસુરદાર
hobo,હોબો
saghalaani,સઘળાની
sareeta,સરીતા
chaturaaithi,ચતુરાઇથી
vipadaothi,વિપદાઓથી
meltdown,મેલ્ટડાઉન
sattadharna,સત્તાધારનાં
fleman,ફ્લેમેન
fazlo,ફઝલો
sakaarnaa,સકારના
woodball,વુડબોલ
hoyogo,હોયોગો
barbaros,બાર્બરોસ
pakdaayelo,પકડાયેલો
foolreketnaa,ફૂલરેકેટના
hevitnaa,હેવિટના
dattatreyna,દત્તાત્રેયના
sataavyu,સતાવ્યું
vakhaanvaamaa,વખાણવામાં
odhavjibhaina,ઓધવજીભાઈના
zuhurma,ઝુહૂરમાં
imandarona,ઇમાનદારોના
mobhnesh,મોભનેશ
vadthali,વડથલી
kapadanaa,કપડાંના
shradvey,શ્રદ્વેય
merge,મર્જ
aesdeeaesnaa,એસડીએસના
jeberbane,જેબરબેન
nagawa,નાગચા
molsukai,મોલસુકાઈ
sachukhotu,સાચુખોટું
bhajvai,ભજવાઇ
bailnaa,બેઇલના
katikal,કટિકલ
kothayarinaka,કોઠાયારીનાકા
tweelightma,ટ્વીલાઇટમાં
taramatini,તારામતીની
dhanej,ધનેજ
goldercostmaa,ગોલ્ડરકોસ્ટમાં
praveshanaa,પ્રવેશના
kaaunseema,કાઉન્સીમાં
aadhunikvadio,આધુનિકવાદીઓ
reactorsne,રિએક્ટર્સને
hoyatena,હોયતેના
microstation,માઇક્રોસ્ટેશન
narigruh,નારીગૃહ
dortmandnee,ડોર્ટમંડની
apaharankandno,અપહરણકાંડનો
narcotist,નાર્કોટીસ્ટ
rajvithi,રાજવીથી
aghraa,અઘરા
dubhagyane,દુભાગ્યને
mruddh,મૃદ્ધ
unnatikaranni,ઉન્નતીકરણની
puden,પુડેન
vaahandhaarakoni,વાહનધારકોની
gurusthaane,ગુરુસ્થાને
shabdsamuhkiy,શબ્દસમૂહકીય
samjavatma,સમજાવટમાં
jawaharji,જવાહરજી
lakshmeepoojanno,લક્ષ્મીપૂજનનો
shahane,શ્હાણે
karanraj,કારણરાજ
chairmenshreena,ચેરમેનશ્રીના
solvarnee,સોલ્વરની
carportmaan,કાર્પોર્ટમાં
filterplant,ફીલ્ટરપ્લાન્ટ
bogwork,બૉગવર્ક
ketaa,કહેતા
dudhnaa,દૂધના
authoritynu,ઓથોરીટીનું
northzon,નોર્થઝોન
guideline,ગાઇડલાઇન
hissarma,હિસ્સારમાં
desodium,ડિસોડિયમ
veskeeyo,વેસ્કિયો
nodeboats,નોડબોટ્સ
raajkotnaoae,રાજકોટનાઓએ
ballot,બેલેટ
milannun,મિલાનનું
kaadhaya,કાઢ્યાં
samajikaranni,સમાજીકરણની
electrongativity,ઇલેક્ટ્રોનગેટિવિટી
vadhya,વધ્ય
dums,ડમ્સ
prachiben,પ્રાચીબેન
evasion,ઇવેઝન
thaavono,થાવોનો
navarinaane,નવરીનાને
flomanthi,ફ્લોમાંથી
radicalise,રેડિકલાઇઝ
sameemaa,સમીમાં
chalavvo,ચલાવવો
shodhayu,શોધાયું
charulatabahen,ચારૂલતાબહેન
diwalibenne,દિવાળીબેનને
avkaashan,અવકાશન
trapezha,ટ્રાપેઝા
pulmathi,પુલમાંથી
vaasanaanu,વાસણાનું
ovannu,ઓવનનું
laganibhari,લાગણીભરી
hothanaa,હોથના
branchoma,બ્રાન્ચોમાં
uttekarni,ઉત્તેકરની
appier,એપિયર
openo,ઓપેનો
fasaayaano,ફસાયાનો
doa,ડીઓએ
purvasankalpanaone,પૂર્વસંકલ્પનાઓને
sugama,સુગમ
chelamaa,ચેલમાં
nyooryokni,ન્યૂર્યોકની
underporting,અંડરપોર્ટિંગ
gaabaaneeno,ગાબાણીનો
sarojnaa,સરોજના
pakizgino,પાકીઝગીનો
upasnarup,ઉપાસનારૂપ
nechayevna,નેચાયેવના
soyaathi,સોયાથી
gunegaarothi,ગુનેગારોથી
qila,કિલ્લા
sangrahanaarne,સંગ્રહનારને
senapatino,સેનાપતિનો
nokaranione,નોકરાણીઓને
billetnee,બિલેટની
vemblisthit,વેમ્બલીસ્થિત
aandhiya,આંધિયા
mahimaben,મહિમાબેન
marvadiona,મારવાડીઓના
kristalina,ક્રિસ્ટલીના
funky,ફન્કી
jabeli,જબેલી
shermudi,શેરમુડી
mushkanni,મુશ્કાનની
leodong,લિયોડોંગ
tedma,ટેડ
sharmeelu,શર્મીલું
shaaynaano,શાયનાનો
wormermaan,વોર્મરમાં
bhavaniprasad,ભવાનીપ્રસાદ
dentistnee,ડેન્ટીસ્ટની
abhayanandani,અભયાનંદની
benderas,બેન્ડેરાસ
sikrara,સિકરારા
aakvi,આકવી
hyuj,હ્યુજ
vedantono,વેદાંતોનો
shornaa,શોરના
dhannasha,ધન્નાશા
clotromyazole,ક્લોટ્રોમાયાઝોલ
vagyaa,વાગ્યા
unlisted,અનલીસ્ટેડ
scandilized,સ્કેન્ડિલાઇઝ્ડ
khaanaaman,ખાનામાં
kucho,કુચો
drisdale,ડ્રીસડેલ
rampark,રામપાર્ક
rivaarone,રિવારોને
shilajnaa,શિલજના
zipmathi,ઝિપમાંથી
dipkamal,દિપકમલ
upyogitaavaad,ઉપયોગિતાવાદ
lungimathi,લુંગીમાંથી
kundeli,કુંડેલી
vijkarmione,વીજકર્મીઓને
statuthy,સ્ટેચ્યૂથી
zuhupura,જુહુપુરા
aadityahruday,આદિત્યહૃદય
dinaarnu,દીનારનું
newering,ન્યુવરીંગ
standardno,સ્ટાંડર્ડનો
restartno,રીસ્ટાર્ટનો
bajhvathi,બાઝવાથી
maahaloma,માહલોમાં
sokovarkamaa,સોકોવર્કમાં
saamipya,સામિપ્ય
delecross,ડેલેક્રોસ
samudrakinarana,સમુદ્રકિનારાના
failure,ફેલિયર
aapaagigaa,આપાગીગા
tirthkshetranaa,તીર્થક્ષેત્રનાં
shaadhyo,શાધ્યો
bayonetnaa,બેયોનેટના
meelakatani,મિલકતની
kamuharta,કમૂહર્તા
vaashuni,વાશુની
vilinikarannu,વિલીનીકરણનું
rajeshbhaina,રાજેશભાઈના
ashvapremeeona,અશ્વપ્રેમીઓના
khovavanu,ખોવાવાનું
haldimaan,હલ્દીમાં
parampujay,પરમપુજય
hollywoodna,હૉલિવુડના
overbridge,ઓવરબ્રીજ
shalev,શાલેવ
bulling,બુલીંગ
sanitisation,સેનેટાઇઝેશન
dhaaraabhyo,ધારાભ્યો
supervernture,સુપરવર્ન્ચર
videshon,વિદેશોં
sabhe,સભે
vaaparvane,વાપરવાને
usjf,યુએસજેએફ
doctorsno,ડોકટર્સનો
glittery,ગ્લિટરી
kanudi,કાનુડી
shaasna,શાસના
anticycoticsna,એન્ટીસાઇકોટિક્સના
serenoni,સેરેનોની
bhavyashobha,ભવ્યશોભા
shaastrovidhithi,શાસ્ત્રોવિધીથી
lilmathi,લીલમાંથી
vimarshan,વિમર્શન
savchetibharela,સાવચેતીભરેલા
baroness,બેરોનેસ
sagvadovalu,સગવડોવાળું
nadorf,નાડોર્ફ
paholai,પહોળાઇ
gunchvanthi,ગૂંચવણથી
palmira,પાલમીરા
daaktarone,ડાક્ટરોને
yujevendra,યુજેવેન્દ્ર
intestine,ઈન્ટેસ્ટાઈન
citigenonu,સિટીજનોનું
aekbeejnee,એકબીજની
akshatma,અક્ષતમાં
mahataabna,મહતાબના
durvaar,દુર્વાર
kapadva,કપડવા
sadabhai,સદાભાઈ
ayako,અયાકો
thavaraji,થાવરાજી
kavyanusheelan,કાવ્યાનુશીલન
khumanthem,ખુમાનથેમ
storageworks,સ્ટોરેજવર્ક્સ
banini,બાણીની
combians,કોમ્બિઅન્સ
etienne,ઈટીએને
skipanni,સ્કીપનની
directoro,ડાયરેક્ટરો
gaubhakatoni,ગૌભકતોની
darpedhi,દરપેઢી
securityne,સિક્યોરીટીને
parimitithi,પરિમિતિથી
aatmadevnu,આત્મદેવનું
rangarasthi,રંગરસથી
transylvania,ટ્રાન્સિલવેનીયા
geramsajone,ગેરમસજોને
zacobs,જેકોબ્સ
carthegianoae,કાર્થેજિયનોએ
tollar,ટૉલર
guptange,ગુપ્તાંગે
strikesno,સ્ટ્રાઇક્સનો
hastkshepne,હસ્તક્ષેપને
warmersnee,વાર્મર્સની
sangamyug,સંગમયુગ
amazic,અમેઝિક
khaataamaani,ખાતામાંની
putalio,પુતળીઓ
prasadhanna,પ્રસાધનના
acquisation,એક્વીઝેશન
rashtrapurusho,રાષ્ટ્રપુરુષો
icardna,આઈકાર્ડના
bhagyavadi,ભાગ્યવાદી
lagihovani,લાગીહોવાની
bokhaninu,બોખાણીનું
gandhiparivarni,ગાંધીપરિવારની
miyawadi,મિયાવાડી
hansack,હેનસેક
paridhaanull,પરિધાનોને
architecturersay,આર્કિટેક્ચર્સે
shaparji,શાપરજી
beemaareeno,બીમારીનો
bingandhi,બિનગાંધી
saathiyaano,સાથિયાનો
fingerprintne,ફીંગરપ્રિન્ટને
atkaayatma,અટકાયતમાં
galpanvaalaan,ગળપણવાળાં
bevdaayelaa,બેવડાયેલા
defenceny,ડિફેન્સની
anusaan,અનુસાન
licensenu,લાઇસન્સનું
remodelni,રિમોડેલની
driversenu,ડ્રાઈવર્સનું
tiqita,ટિકિટ
prasthaanne,પ્રસ્થાનને
paane,પાને
kaladon,કાલાદોન
export,એકસપોર્ટ
swapnasrushtima,સ્વપ્નસૃષ્ટિમાં
shikhvavana,શીખવવાના
bhimbhajan,ભીમભજન
muchhonu,મૂછોનું
karunaratnenu,કરુણારત્નેનું
hongren,હોંગ્રેન
umeshprasad,ઉમેશપ્રસાદ
rajmukut,રાજમુકુટ
aalekhno,આલેખનો
vighnahartadevna,વિઘ્નહર્તાદેવના
consideration,કન્સિડરેશન
riversite,રિવરસાઇટ
aatmahatyane,આત્મહત્યાને
funkavayeli,ફૂંકાવાયેલી
chipkavvi,ચિપકાવવી
nazipremy,નાઝીપ્રેમી
glovebox,ગ્લોવબોક્સ
mukitdhamne,મુકિતધામને
sabmeet,સબમિત
georgiumaan,જ્યોર્જિયમાં
ufane,ઉફાને
dhapje,ધપજે
najikna,નજીકનાં
hameesne,હમીસને
poshanvignan,પોષણવિજ્ઞાન
grievances,ગ્રીવન્સીસ
dotsavma,દોત્સવમાં
atakhne,અટખને
gangadi,ગંગડી
intracerebral,ઇન્ટ્રાસેરેબ્રલ
usical,યુઝીકલ
hakubhaane,હકુભાને
icuni,આઇસીયુની
bagodar,બગોદર
kalubhaina,કાળુભાઇના
sohambhai,સોહમભાઇ
aamchya,આમચ્યા
bhagwati,ભગવતી
safaikarmachari,સફાઈકર્મચારી
mordorni,મોર્ડોરની
maabh,માભ
kaboolavo,કબૂલવો
ghadyan,ઘડ્યાં
jinhaanu,જિન્હાનું
sangahaayelo,સંગહાયેલો
ganaawyo,ગણાવ્યો
astitvagat,અસ્તિત્વગત
murakhoni,મુરખોની
saamjinaa,સામજીના
alhadaj,અલ્હદજ
proveb,પ્રોવેબ
kataaine,કટાઈને
mahadevbhaina,મહાદેવભાઇના
teamo,ટીમો
abhaybhaine,અભયભાઈને
rajputaanaanaa,રાજપુતાનાના
kalimagnezia,કાલીમેગ્નેઝીયા
yaannun,યાનનું
adkaay,અડકાય
shradhaane,શ્રધાને
bitterback,બિટ્ટરબેક
serolin,સેરોલિન
centigradeno,સેન્ટીગ્રેડનો
jonasanu,જોનસનું
mangalgaan,મંગળગાન
publicityne,પબ્લીસીટીને
babrani,બાબરાની
jashodabene,જશોદાબેને
nadelaane,નડેલાને
swarayan,સ્વરાયન
hensey,હેન્સી
jadoyeli,જાડોયેલી
nyayadhishno,ન્યાયાધીશનો
teklik,ટેકલીક
kerebiyani,કેરેબિયાની
debriffing,ડેબ્રિફિંગ
shivalli,શિવલ્લી
sgaagarlaasheek,સ્ગાગરલાશિક
interpolar,ઇન્ટરપોલરર
hissedhaarako,હિસ્સેધારકો
pramukhpadu,પ્રમુખપદું
bergler,બર્ગલર
shankuki,શંકુકી
parshvbhu,પાર્શ્વભૂ
akhiles,અખીલેસ
rahulne,રાહૂલને
residentship,રેસિડન્ટશીપ
rajyasanchalit,રાજ્યસંચાલિત
upcni,યુપીસીની
elmira,એલ્મિરા
ajanmel,અજન્મેલ
jitubhaina,જિતુભાઈના
punarvicharna,પુનર્વિચારણા
mohanara,મોહનારા
booy,બોય
balaj,બાળજ
kaachari,કાચરી
dipadithi,દીપડીથી
lekhalu,લેખલું
figare,ફિગરે
scribs,સ્ક્રીબ્સ
lekhomaanu,લેખોમાંનું
srinarendrabhai,શ્રીનરેન્દ્રભાઇ
aacharma,આચારમાં
stripurushoni,સ્ત્રીપુરૂષોની
metsanee,મેટ્સની
kathaavastuthi,કથાવસ્તુથી
rajmamathi,રાજમામાંથી
balchandanna,બાલચંદનના
matpurma,માતપુરમાં
