maaraataddu,ಮಾರಾಟದ್ದು
hindutvadalliyoo,ಹಿಂದುತ್ವದಲ್ಲಿಯೂ
melpattavariddaare,ಮೇಲ್ಪಟ್ಟವರಿದ್ದಾರೆ
bozarg,ಬೊಜಾರ್ಗ್
saadhyavaagalilvante,ಸಾಧ್ಯವಾಗಲಿಲ್ವಂತೆ
josan,ಜೋಸನ್
molakaalinalle,ಮೊಳಕಾಲಿನಲ್ಲೇ
bhauddhikateya,ಭೌದ್ಧಿಕತೆಯ
stallu,ಸ್ಟಾಲು
praveshisuvantaha,ಪ್ರವೇಶಿಸುವಂತಹ
prajegalallina,ಪ್ರಜೆಗಳಲ್ಲಿನ
marico,ಮ್ಯಾರಿಕೊ
alisiri,ಆಲಿಸಿರಿ
kelisitashte,ಕೇಳಿಸಿತಷ್ಟೆ
blankett,ಬ್ಲ್ಯಾಂಕೆಟ್
ganaraajyagalallina,ಗಣರಾಜ್ಯಗಳಲ್ಲಿನ
tarubi,ತರುಬಿ
shubhakaryavadaga,ಶುಭಕಾರ್ಯವಾದಾಗ
vayaskalaadaaga,ವಯಸ್ಕಳಾದಾಗ
rudraganada,ರುದ್ರಗಣದ
kookannu,ಕೂಕನ್ನು
vivechisida,ವಿವೇಚಿಸಿದ
helikondirabeku,ಹೇಳಿಕೊಂಡಿರಬೇಕು
bennurina,ಬೆನ್ನೂರಿನ
manassinavaralloo,ಮನಸ್ಸಿನವರಲ್ಲೂ
shirastraanagalige,ಶಿರಸ್ತ್ರಾಣಗಳಿಗೆ
goonde,ಗೂಂಡೆ
videsheeyavaagi,ವಿದೇಶೀಯವಾಗಿ
kondarendoo,ಕೊಂದರೆಂದೂ
samparkaka,ಸಂಪರ್ಕಕ
vimarshaatmakavaaguvudu,ವಿಮರ್ಶಾತ್ಮಕವಾಗುವುದು
padeyuvudirali,ಪಡೆಯುವುದಿರಲಿ
raghavendrajja,ರಾಘವೇಂದ್ರಜ್ಜ
susamskrataraagiddeve,ಸುಸಂಸ್ಕೃತರಾಗಿದ್ದೇವೆ
tayiyagale,ತಾಯಿಯಾಗಲೇ
baahyaakaashagalu,ಬಾಹ್ಯಾಕಾಶಗಳು
hurless,ಹರ್ಲೆಸ್
badukannagisikondavaru,ಬದುಕನ್ನಾಗಿಸಿಕೊಂಡವರು
nirveeryarante,ನಿರ್ವೀರ್ಯರಂತೆ
tirugaadiddaroo,ತಿರುಗಾಡಿದ್ದರೂ
utsavavaru,ಉತ್ಸವವರು
soubhagyaviddante,ಸೌಭಾಗ್ಯವಿದ್ದಂತೆ
vyakhyegalalli,ವ್ಯಾಖ್ಯೆಗಳಲ್ಲಿ
pensadas,ಪೆನ್ಸಾಡಾಸ್
ayagalalli,ಆಯಗಳಲ್ಲಿ
tanagaagada,ತನಗಾಗದ
mahapadmanu,ಮಹಾಪದ್ಮನು
osaamaninda,ಒಸಾಮನಿಂದ
avakrupeyinda,ಅವಕೃಪೆಯಿಂದ
bandhagale,ಬಂಧಗಳೇ
nayakaridda,ನಾಯಕರಿದ್ದ
dochidavaru,ದೋಚಿದವರು
maleyaaddu,ಮಳೆಯಾದ್ದು
olagondiruvantahadannu,ಒಳಗೊಂಡಿರುವಂತಹದನ್ನು
konegalannu,ಕೋಣೆಗಳನ್ನು
aashcharyasoochanegalu,ಆಶ್ಚರ್ಯಸೂಚನೆಗಳು
mrudutvavannoo,ಮೃದುತ್ವವನ್ನೂ
sanchayakagalu,ಸಂಚಯಕಗಳು
kalangaje,ಕಳಂಗಾಜೆ
toldaare,ತೊಳ್ದಾರೆ
vyaapiyalli,ವ್ಯಾಪಿಯಲ್ಲಿ
melekkettalu,ಮೇಲೆಕ್ಕೆತ್ತಲು
communitigala,ಕಮ್ಯೂನಿಟಿಗಳ
moggugalaagiruttave,ಮೊಗ್ಗುಗಳಾಗಿರುತ್ತವೆ
laxanagalilla,ಲಕ್ಷಣಗಳಿಲ್ಲ
goupyatege,ಗೌಪ್ಯತೆಗೆ
maganigashtu,ಮಗನಿಗಷ್ಟು
anveshisuvudarinda,ಅನ್ವೇಷಿಸುವುದರಿಂದ
krimigaligoo,ಕ್ರಿಮಿಗಳಿಗೂ
chekav,ಚೆಕಾವ್
tiligoladolu,ತಿಳಿಗೊಳದೊಳು
kulitukondiddene,ಕುಳಿತುಕೊಂಡಿದ್ದೇನೆ
climtnantaha,ಕ್ಲಿಮ್ಟ್ನಂತಹ
baalaaparaadhigala,ಬಾಲಾಪರಾಧಿಗಳ
sparthisuttiddaare,ಸ್ಪರ್ಥಿಸುತ್ತಿದ್ದಾರೆ
andhavagiruttade,ಅಂಧವಾಗಿರುತ್ತದೆ
kalistanante,ಕಳಿಸ್ತಾನಂತೆ
kelajaatigalavarige,ಕೆಳಜಾತಿಗಳವರಿಗೆ
shukrano,ಶುಕ್ರನೋ
tappisibiduttave,ತಪ್ಪಿಸಿಬಿಡುತ್ತವೆ
aguttave,ಆಗುತ್ತವೆ
nyayalayadalliddare,ನ್ಯಾಯಾಲಯದಲ್ಲಿದ್ದಾರೆ
gullegaliddavu,ಗುಳ್ಳೆಗಳಿದ್ದವು
koreyuvikeyannu,ಕೊರೆಯುವಿಕೆಯನ್ನು
hibroovannu,ಹಿಬ್ರೂವನ್ನು
jodisuttiddudu,ಜೋಡಿಸುತ್ತಿದ್ದುದು
chamaradavaru,ಚಾಮರದವರು
vermont,ವರ್ಮೊಂಟ್
purvajaru,ಪೂರ್ವಜರು
aadhaarithavaagi,ಆಧಾರಿತವಾಗಿ
natacock,ನಾಟಾಕಾಕ್
vidhisuvudo,ವಿಧಿಸುವುದೋ
hannugalannukaddu,ಹಣ್ಣುಗಳನ್ನುಕದ್ದು
pratyekshavaagide,ಪ್ರತ್ಯೇಕ್ಷವಾಗಿದೆ
kriyakaarigalannu,ಕ್ರಿಯಕಾರಿಗಳನ್ನು
haadabekendilla,ಹಾಡಬೇಕೆಂದಿಲ್ಲ
aleyiddu,ಅಲೆಯಿದ್ದು
taposu,ಟಪೋಸು
hataashegalellavannoo,ಹತಾಶೆಗಳೆಲ್ಲವನ್ನೂ
muchchitti,ಮುಚ್ಚಿಟ್ಟಿ
angarachanaashaastradinda,ಅಂಗರಚನಾಶಾಸ್ತ್ರದಿಂದ
sallisiddiddare,ಸಲ್ಲಿಸಿದ್ದಿದ್ದರೆ
chaturbhujane,ಚತುರ್ಭುಜನೇ
niraasheyaaguvudide,ನಿರಾಶೆಯಾಗುವುದಿದೆ
vararigendu,ವರರಿಗೆಂದು
bidugadegondittu,ಬಿದುಗಡೆಗೊಂಡಿತ್ತು
balishtapadisi,ಬಲಿಷ್ಠಪಡಿಸಿ
sudaliddaare,ಸುಡಲಿದ್ದಾರೆ
ilimukhavaagi,ಇಳಿಮುಖವಾಗಿ
kaanlikkilla,ಕಾಣ್ಲಿಕ್ಕಿಲ್ಲ
vibhajaneyagiddaroo,ವಿಭಜನೆಯಾಗಿದ್ದರೂ
lavaada,ಲವಾದ
melagiratakkuvu,ಮೇಲಾಗಿರತಕ್ಕುವು
sukhaniddegu,ಸುಖನಿದ್ದೆಗೂ
tegeyuvaaha,ತೆಗೆಯುವಾಗ
kadenja,ಕಡೆಂಜ
kutumbakkaguvashtu,ಕುಟುಂಬಕ್ಕಾಗುವಷ್ಟು
kacherigalallilla,ಕಚೇರಿಗಳಲ್ಲಿಲ್ಲ
aalke,ಆಳ್ಕೆ
malpu,ಮಲ್ಪು
empress,ಎಂಪ್ರೆಸ್
kusurellannu,ಕುಸುರೆಳ್ಳನ್ನು
koochingu,ಕೋಚಿಂಗು
nodikondavaralla,ನೋಡಿಕೊಂಡವರಲ್ಲ
playanlinox,ಪ್ಲೇಆನ್ಲಿನಾಕ್ಸ್
gaddekattikondu,ಗಡ್ಡೆಕಟ್ಟಿಕೊಂಡು
chlorthodadone,ಕ್ಲೋರ್ಥಡಾಡೋನ್
neladallikranti,ನೆಲದಲ್ಲಿಕ್ರಾಂತಿ
malikariruvudu,ಮಾಲೀಕರಿರುವುದು
mathias,ಮಥಾಯಸ್
aadalidindaagi,ಆಡಳಿದಿಂದಾಗಿ
aksharagale,ಅಕ್ಷರಗಳೇ
omori,ಒಮೋರಿ
paluvina,ಪಾಲುವಿನ
mundaadaddoo,ಮುಂದಾದದ್ದೂ
acharisikolluvatta,ಆಚರಿಸಿಕೊಳ್ಳುವತ್ತ
apoornagondiddavu,ಅಪೂರ್ಣಗೊಂಡಿದ್ದವು
mogavalli,ಮೊಗವಳ್ಳಿ
jeevashree,ಜೀವಶ್ರೀ
anveshanegalaadavu,ಅನ್ವೇಷಣೆಗಳಾದವು
shariradamele,ಶರೀರದಮೇಲೆ
anantannanavara,ಅನಂತಣ್ಣನವರ
acorus,ಅಕೋರಸ್
tennivannan,ತೆನ್ನಿವನ್ನನ್
talupitendare,ತಲುಪಿತೆಂದರೆ
bhupatia,ಭೂಪತಿಯಾ
narakadheeshara,ನರಕಾಧೀಶರ
sthirateye,ಸ್ಥಿರತೆಯೇ
rukola,ರುಕೊಲಾ
napati,ನಪತಿ
pudukkadu,ಪುದುಕ್ಕಾಡು
vasantagaanavu,ವಸಂತಗಾನವು
dappagiruvantaha,ದಪ್ಪಗಿರುವಂತಹ
sojigadondige,ಸೋಜಿಗದೊಂದಿಗೆ
dooreyuttilla,ದೂರೆಯುತ್ತಿಲ್ಲ
manavarite,ಮನವರಿತೆ
aadisalu,ಆಡಿಸಲು
samyuktaheggadeyannu,ಸಂಯುಕ್ತಹೆಗ್ಗಡೆಯನ್ನು
kaaryadarshiyaagittu,ಕಾರ್ಯದರ್ಶಿಯಾಗಿತ್ತು
joshen,ಜೋಷೆನ್
pattiddarallade,ಪಟ್ಟಿದ್ದರಲ್ಲದೆ
carisico,ಕರಿಸಿಕೊ
atyaachaaravaaguttiruva,ಅತ್ಯಾಚಾರವಾಗುತ್ತಿರುವ
chakaaravettaddarinda,ಚಕಾರವೆತ್ತದ್ದರಿಂದ
kencharaddy,ಕೆಂಚರಡ್ಡಿ
sannidhanam,ಸನ್ನಿಧಾನಮ್
hogunu,ಹೋಗುಣು
koyimpu,ಕೊಯಿಂಪು
gangabhai,ಗಂಗಾಭಾಯ್
aaseenge,ಆಸೀಂಗೆ
vishalavagiruvudilla,ವಿಶಾಲವಾಗಿರುವುದಿಲ್ಲ
balaladante,ಬಳಲದಂತೆ
nadeyabekiddarinda,ನಡೆಯಬೇಕಿದ್ದರಿಂದ
hatyegeyda,ಹತ್ಯೆಗೆಯ್ದ
bakiyiruvantaha,ಬಾಕಿಯಿರುವಂತಹ
agirutteno,ಆಗಿರುತ್ತೇನೋ
tiliyuvantidda,ತಿಳಿಯುವಂತಿದ್ದ
kannadamayagolisidaru,ಕನ್ನಡಮಯಗೊಳಿಸಿದರು
hodeyuttaarendu,ಹೊಡೆಯುತ್ತಾರೆಂದು
toogaballa,ತೂಗಬಲ್ಲ
kalabhiruchiyalloo,ಕಲಾಭಿರುಚಿಯಲ್ಲೂ
sevegoudara,ಸೇವೆಗೌಡರ
davarigella,ದವರಿಗೆಲ್ಲ
numella,ನುಮೆಲ್ಲಾ
obbaraguviri,ಒಬ್ಬರಾಗುವಿರಿ
oggadashtu,ಒಗ್ಗದಷ್ಟು
samatola,ಸಮತೋಲಾ
haridaadide,ಹರಿದಾಡಿದೆ
baadihogutte,ಬಾಡಿಹೋಗುತ್ತೆ
sadgunasampanne,ಸದ್ಗುಣಸಂಪನ್ನೆ
pattanne,ಪಟ್ಟನ್ನೇ
niyogavannadaru,ನಿಯೋಗವನ್ನಾದರೂ
guruvanendu,ಗುರುವನೆಂದು
sittirutte,ಸಿಟ್ಟಿರುತ್ತೆ
viramavashte,ವಿರಾಮವಷ್ಟೆ
kittukandu,ಕಿತ್ತುಕಂಡು
chaudiyavatarada,ಚೌಡಿಯವತಾರದ
alliroru,ಅಲ್ಲಿರೋರು
kangalaguttiddare,ಕಂಗಾಲಾಗುತ್ತಿದ್ದಾರೆ
beteyaduvante,ಬೇಟೆಯಾಡುವಂತೆ
bageyagisiddare,ಬಗೆಯಾಗಿಸಿದ್ದಾರೆ
padisikolluttaro,ಪಡಿಸಿಕೊಳ್ಳುತ್ತಾರೋ
himbaalakaraagabahudu,ಹಿಂಬಾಲಕರಾಗಬಹುದು
kaiyangi,ಕೈಯಂಗಿ
anisito,ಅನಿಸಿತೋ
hantagalulla,ಹಂತಗಳುಳ್ಳ
pentachuk,ಪೆಂಟಾಚುಕ್
rogakarakadinda,ರೋಗಕಾರಕದಿಂದ
halvaadalli,ಹಲ್ವಾದಲ್ಲಿ
halakunangpui,ಹಲಕುನಂಗ್ಪುಯಿ
naduvala,ನಡುವಲ
whitehead,ವೈಟ್ಹೆಡ್
tavma,ತವ್ಮ
nesscom,ನೆಸ್ಕಾಮ್
honduvantaddaagittu,ಹೊಂದುವಂತದ್ದಾಗಿತ್ತು
jigitake,ಜಿಗಿತಕೆ
naadinolumeyannu,ನಾಡಿನೊಲುಮೆಯನ್ನು
nishpakshapaatiyaagiralu,ನಿಷ್ಪಕ್ಷಪಾತಿಯಾಗಿರಲು
jagadappanige,ಜಗದಪ್ಪನಿಗೆ
naayakaraadare,ನಾಯಕರಾದರೇ
yahoodada,ಯಹೂದದ
ankuraarpaneyinda,ಅಂಕುರಾರ್ಪಣೆಯಿಂದ
forever,ಫೊರೆವರ್
todavia,ಟೊಡವಿಯಾ
gekiga,ಗೇಕಿಗ
vaastavategalaagive,ವಾಸ್ತವತೆಗಳಾಗಿವೆ
ahitavaadaddannu,ಅಹಿತವಾದದ್ದನ್ನು
totaiah,ತೋಟಯ್ಯ
moggugaliruttave,ಮೊಗ್ಗುಗಳಿರುತ್ತವೆ
tyajisibittidde,ತ್ಯಜಿಸಿಬಿಟ್ಟಿದ್ದೆ
anusarisiddaarendu,ಅನುಸರಿಸಿದ್ದಾರೆಂದು
aaparetingi,ಆಪರೇಟಿಂಗಿ
bijpuradalli,ಬಿಜ್ಪುರದಲ್ಲಿ
microgrid,ಮೈಕ್ರೋಗ್ರಿಡ್
samatookadante,ಸಮತೂಕದಂತೆ
dharmadarshiyagiruva,ಧರ್ಮದರ್ಶಿಯಾಗಿರುವ
nidibekendu,ನೀಡಿಬೇಕೆಂದು
metaldehyde,ಮೆಟಾಲ್ಡಿಹೈಡ್
shivamoorthy,ಶಿವಮೂರ್ತಿ
heralpattare,ಹೇರಲ್ಪಟ್ಟರೆ
samruddiyaada,ಸಮೃದ್ದಿಯಾದ
ahvanisabekilla,ಆಹ್ವಾನಿಸಬೇಕಿಲ್ಲ
maggulaadaaga,ಮಗ್ಗುಲಾದಾಗ
salapa,ಸಲಾಪ
ramkige,ರಾಮ್ಕಿಗೆ
tallihaakuvudaagali,ತಳ್ಳಿಹಾಕುವುದಾಗಲಿ
asparkam,ಆಸ್ಪಾರ್ಕಮ್
vivarisabeko,ವಿವರಿಸಬೇಕೋ
lexa,ಲೆಕ್ಸಾ
entavaralloo,ಎಂತವರಲ್ಲೂ
iralilli,ಇರಲಿಲ್ಲಿ
dobros,ಡೊಬ್ರೊಸ್
tinnabekenisutte,ತಿನ್ನಬೇಕೆನಿಸುತ್ತೆ
vichitravalladiddaroo,ವಿಚಿತ್ರವಲ್ಲದಿದ್ದರೂ
essos,ಎಸ್ಸೊಸ್
sadalisida,ಸಡಲಿಸಿದ
japasarada,ಜಪಸರದ
ilidavalalla,ಇಳಿದವಳಲ್ಲ
nidhisangrahaka,ನಿಧಿಸಂಗ್ರಹಕ
sajeevaraagabekendu,ಸಜೀವರಾಗಬೇಕೆಂದು
helavavaroo,ಹೇಳವವರೂ
freet,ಫ್ರೀಟ್
chalanashilavagabekendu,ಚಲನಶೀಲವಾಗಬೇಕೆಂದು
mudranadalliruva,ಮುದ್ರಣದಲ್ಲಿರುವ
shubhavagiralu,ಶುಭವಾಗಿರಲು
udghaatisabaaradendu,ಉದ್ಘಾಟಿಸಬಾರದೆಂದು
buttiyaga,ಬುಟ್ಟಿಯಾಗ
varnavanne,ವರ್ಣವನ್ನೇ
naitikategalannu,ನೈತಿಕತೆಗಳನ್ನು
graamasamudaayada,ಗ್ರಾಮಸಮುದಾಯದ
sabhapatiyavarannu,ಸಭಾಪತಿಯವರನ್ನು
meerisuvavarilla,ಮೀರಿಸುವವರಿಲ್ಲ
pativrateyaru,ಪತಿವ್ರತೆಯರು
ambadiya,ಅಂಬಾಡಿಯ
banduri,ಬಂಡುರಿ
olangindolage,ಒಳಂಗಿಂದೊಳಗೆ
prajaasamyukta,ಪ್ರಜಾಸಂಯುಕ್ತ
industreely,ಇಂಡಸ್ಟ್ರೀಲಿ
dhwanisiddu,ಧ್ವನಿಸಿದ್ದು
puravege,ಪುರಾವೆಗೆ
mahanaivedyada,ಮಹಾನೈವೇದ್ಯದ
jodaneyindagi,ಜೋಡಣೆಯಿಂದಾಗಿ
maalinyakaarakagalondige,ಮಾಲಿನ್ಯಕಾರಕಗಳೊಂದಿಗೆ
sariyuttiddaareye,ಸರಿಯುತ್ತಿದ್ದಾರೆಯೇ
kumbalake,ಕುಂಬಳಕೆ
daurjanyadi,ದೌರ್ಜನ್ಯದಿ
saluruswamy,ಸಾಲೂರುಸ್ವಾಮಿ
vishraantirahitaraagi,ವಿಶ್ರಾಂತಿರಹಿತರಾಗಿ
broody,ಬ್ರೂಡಿ
pumpvellinalli,ಪಂಪ್ವೆಲ್ಲಿನಲ್ಲಿ
mandaartiya,ಮಂದಾರ್ತಿಯ
abhavavalla,ಅಭಾವವಲ್ಲ
kasagudisuvavana,ಕಸಗುಡಿಸುವವನ
mugidarante,ಮುಗಿದರಂತೆ
prasaravagalu,ಪ್ರಸಾರವಾಗಲು
rotargala,ರೋಟರ್ಗಳ
nrutyapatuvagadiddare,ನೃತ್ಯಪಟುವಾಗದಿದ್ದರೆ
tegedirisiruvudaagi,ತೆಗೆದಿರಿಸಿರುವುದಾಗಿ
sotira,ಸೋತಿರಾ
afford,ಅಫೋರ್ಡ್
matanadidantiruva,ಮಾತನಾಡಿದಂತಿರುವ
balaprayogisalu,ಬಲಪ್ರಯೋಗಿಸಲು
bhavatprabhuvina,ಭವತ್ಪ್ರಭುವಿನ
samatattavaada,ಸಮತಟ್ಟವಾದ
embanthavu,ಎಂಬಂಥವು
prasangagalannoo,ಪ್ರಸಂಗಗಳನ್ನೂ
edurisirada,ಎದುರಿಸಿರದ
upabandagalannu,ಉಪಬಂದಗಳನ್ನು
gentidiyite,ಗೆಂಟಿಡಿಯಿತೆ
bittiruvudakke,ಬಿಟ್ಟಿರುವುದಕ್ಕೆ
drushtikonaviddaroo,ದೃಷ್ಟಿಕೋನವಿದ್ದರೂ
audaaryavulla,ಔದಾರ್ಯವುಳ್ಳ
valmikimitra,ವಾಲ್ಮೀಕಿಮಿತ್ರ
porsche,ಪೊರ್ಷೆ
margol,ಮಾರ್ಗೋಲ್
scroogaagi,ಸ್ಕ್ರೂಗಾಗಿ
gambhiradhvani,ಗಂಭೀರಧ್ವನಿ
maadadiddaddu,ಮಾಡದಿದ್ದದ್ದು
chittanettideya,ಚಿತ್ತನೆಟ್ಟಿದೆಯಾ
koduvuttade,ಕೊಡುವುತ್ತದೆ
andile,ಆ್ಯಂಡಿಲಿ
santoshagolisabekemba,ಸಂತೋಷಗೊಳಿಸಬೇಕೆಂಬ
kallannavaru,ಕಲ್ಲಣ್ಣವರು
matanjas,ಮತಂಜಸ್
kaiyodduttade,ಕೈಯೊಡ್ಡುತ್ತದೆ
matagiddavaru,ಮಾತಾಗಿದ್ದವರು
kakudgiri,ಕಕುದ್ಗಿರಿ
kaarisuve,ಕಾರಿಸುವೆ
kannittiralu,ಕಣ್ಣಿಟ್ಟಿರಲು
masikavondara,ಮಾಸಿಕವೊಂದರ
darigala,ದರಿಗಳ
prakashagolluva,ಪ್ರಕಾಶಗೊಳ್ಳುವ
belavanigeyallave,ಬೆಳವಣಿಗೆಯಲ್ಲವೇ
prashnisalaadaaga,ಪ್ರಶ್ನಿಸಲಾದಾಗ
tarkagala,ತರ್ಕಗಳ
shadrinsk,ಷಡ್ರಿನ್ಸ್ಕ್
nedeyutta,ನೆಡೆಯುತ್ತ
nadedukollabekayitu,ನಡೆದುಕೊಳ್ಳಬೇಕಾಯಿತು
centriyolgalu,ಸೆಂಟ್ರಿಯೋಲ್ಗಳು
hakkichitragalannu,ಹಕ್ಕಿಚಿತ್ರಗಳನ್ನು
beatergalige,ಬೀಟರ್ಗಳಿಗೆ
huttuttaanaa,ಹುಟ್ಟುತ್ತಾನಾ
kshetragalliruva,ಕ್ಷೇತ್ರಗಲ್ಲಿರುವ
nadesikodalaagide,ನಡೆಸಿಕೊಡಲಾಗಿದೆ
uribeku,ಉರಿಬೇಕು
kaigolladiddaddu,ಕೈಗೊಳ್ಳದಿದ್ದದ್ದು
wadeyuwudara,ಒಡೆಯುವುದರ
vervoglis,ವರ್ವೊಗ್ಲಿಸ್
effsidy,ಎಫ್ಸಿಡಿ
localize,ಲೋಕಲೈಜ್
aatukolluttaale,ಆತುಕೊಳ್ಳುತ್ತಾಳೆ
nuki,ನುಕಿ
vyaapisikolluvante,ವ್ಯಾಪಿಸಿಕೊಳ್ಳುವಂತೆ
prashnasidare,ಪ್ರಶ್ನಸಿದರೆ
aleyantagide,ಅಲೆಯಂತಾಗಿದೆ
nirdharisabahudaada,ನಿರ್ಧರಿಸಬಹುದಾದ
oppikollalide,ಒಪ್ಪಿಕೊಳ್ಳಲಿದೆ
atrelu,ಅತ್ರೇಲು
shasakanagiddukondu,ಶಾಸಕನಾಗಿದ್ದುಕೊಂಡು
jothege,ಜೊತೆಗೇ
rafe,ರಾಫೆ
tadegodeyagide,ತಡೆಗೋಡೆಯಾಗಿದೆ
sakriyagolisalaada,ಸಕ್ರಿಯಗೊಳಿಸಲಾದ
avaraddagabeku,ಅವರದ್ದಾಗಬೇಕು
vicharagalannadharisi,ವಿಚಾರಗಳನ್ನಾಧರಿಸಿ
padaadhikaariyaagiddu,ಪದಾಧಿಕಾರಿಯಾಗಿದ್ದು
kaledaddaagide,ಕಳೆದದ್ದಾಗಿದೆ
inesco,ಇನೆಸ್ಕೋ
niscrea,ನಿಸ್ಕ್ರಿಯ
uttarapadadalli,ಉತ್ತರಪದದಲ್ಲಿ
aidusaaviradashtu,ಐದುಸಾವಿರದಷ್ಟು
divyaya,ದಿವ್ಯಾಯ
sadaanandagoudarigoo,ಸದಾನಂದಗೌಡರಿಗೂ
kommu,ಕೊಮ್ಮು
josesi,ಜೋಸೆಸಿ
aipigagi,ಐಪಿಗಾಗಿ
samsaaradaagina,ಸಂಸಾರದಾಗಿನ
yuktave,ಯುಕ್ತವೇ
prerepisuvavanu,ಪ್ರೇರೇಪಿಸುವವನು
sangtat,ಸಾಂಗ್ತಾತ್
tappihogilla,ತಪ್ಪಿಹೋಗಿಲ್ಲ
matukategalanna,ಮಾತುಕತೆಗಳನ್ನ
horataagiruttiralilla,ಹೊರತಾಗಿರುತ್ತಿರಲಿಲ್ಲ
nishedaviddu,ನಿಷೇದವಿದ್ದು
saddumadidavu,ಸದ್ದುಮಾಡಿದವು
rantahavarinda,ರಂತಹವರಿಂದ
hakabediri,ಹಾಕಬೇಡಿರಿ
tallalpaduttave,ತಳ್ಳಲ್ಪಡುತ್ತವೆ
nirmatravobbarinda,ನಿರ್ಮಾತೃವೊಬ್ಬರಿಂದ
ittanna,ಇತ್ತಣ್ಣ
nirdishtapadisabedi,ನಿರ್ದಿಷ್ಟಪಡಿಸಬೇಡಿ
nadesuvaro,ನಡೆಸುವರೋ
accoundate,ಅಕೌಂಡೆಟ್
anarhagondiddannu,ಅನರ್ಹಗೊಂಡಿದ್ದನ್ನು
bhuvanaikarama,ಭುವನೈಕರಾಮ
swameka,ಸ್ವಮೇಕ
gurutisidanante,ಗುರುತಿಸಿದನಂತೆ
laukikaalaukika,ಲೌಕಿಕಾಲೌಕಿಕ
nepathyako,ನೇಪಥ್ಯಕೊ
hanammapur,ಹನಮ್ಮಾಪುರ
horudamma,ಹೊರುಡಮ್ಮ
vakrakruti,ವಕ್ರಾಕೃತಿ
vedaantiyaaguttaare,ವೇದಾಂತಿಯಾಗುತ್ತಾರೆ
birlaadinda,ಬಿರ್ಲಾದಿಂದ
narayanagereya,ನಾರಾಯಣಗೆರೆಯ
shaktavallada,ಶಕ್ತವಲ್ಲದ
kelakkilidavu,ಕೆಳಕ್ಕಿಳಿದವು
shatakagalannoo,ಶತಕಗಳನ್ನೂ
brahmanandagupta,ಬ್ರಹ್ಮಾನಂದಗುಪ್ತ
kaledukondene,ಕಳೆದುಕೊಂಡೆನೆ
nivasigalillade,ನಿವಾಸಿಗಳಿಲ್ಲದೇ
aghryapradaana,ಅಘ್ರ್ಯಪ್ರದಾನ
tutassan,ಟುಟಾಸಾನ್
maroliyinda,ಮರೊಳಿಯಿಂದ
nillisikondiddeve,ನಿಲ್ಲಿಸಿಕೊಂಡಿದ್ದೇವೆ
punarvavasati,ಪುನರ್ವವಸತಿ
nandikshetradalli,ನಂದಿಕ್ಷೇತ್ರದಲ್ಲಿ
aalasigalaagi,ಆಲಸಿಗಳಾಗಿ
gonikoppada,ಗೋಣಿಕೊಪ್ಪದ
stickter,ಸ್ಟಿಕ್ಟರ್
jalaanayanagalondige,ಜಲಾನಯನಗಳೊಂದಿಗೆ
prakatavagiddagide,ಪ್ರಕಟವಾಗಿದ್ದಾಗಿದೆ
hudugisikonda,ಹುದುಗಿಸಿಕೊಂಡ
kangalagiddane,ಕಂಗಾಲಾಗಿದ್ದಾನೆ
kalasyane,ಕಲಸ್ಯಾನೆ
vrenchninda,ವ್ರೆಂಚ್ನಿಂದ
molagidaru,ಮೊಳಗಿದರು
shubhavasara,ಶುಭವಸರ
khotanotugalige,ಖೋಟಾನೋಟುಗಳಿಗೆ
marupraarambhisuvavarege,ಮರುಪ್ರಾರಂಭಿಸುವವರೆಗೆ
sokkottu,ಸೊಕ್ಕೊಟ್ಟು
sodariyarodane,ಸೋದರಿಯರೊಡನೆ
moolegumpaagisidare,ಮೂಲೆಗುಂಪಾಗಿಸಿದರೆ
irabahu,ಇರಬಹು
macrori,ಮ್ಯಾಕ್ರೋರಿ
chalanachitragalallondaada,ಚಲನಚಿತ್ರಗಳಲ್ಲೊಂದಾದ
kendrasthaanada,ಕೇಂದ್ರಸ್ಥಾನದ
rashtragalannashte,ರಾಷ್ಟ್ರಗಳನ್ನಷ್ಟೇ
prayadavanagi,ಪ್ರಾಯದವನಾಗಿ
tadeyalpattiruva,ತಡೆಯಲ್ಪಟ್ಟಿರುವ
dveshavideyo,ದ್ವೇಷವಿದೆಯೋ
hangisalaagittu,ಹಂಗಿಸಲಾಗಿತ್ತು
odisikondive,ಓದಿಸಿಕೊಂಡಿವೆ
nelakkoragisideyalla,ನೆಲಕ್ಕೊರಗಿಸಿದೆಯಲ್ಲ
sartlock,ಸಾರ್ಟ್ಲಾಕ್
kaichachabeku,ಕೈಚಾಚಬೇಕು
striyarella,ಸ್ತ್ರೀಯರೆಲ್ಲ
aalavaadavugala,ಆಳವಾದವುಗಳ
swaavalambhigalaagalu,ಸ್ವಾವಲಂಭಿಗಳಾಗಲು
namaskarisidaaga,ನಮಸ್ಕರಿಸಿದಾಗ
gattiyaguvudallade,ಗಟ್ಟಿಯಾಗುವುದಲ್ಲದೇ
sevantigeyannu,ಸೇವಂತಿಗೆಯನ್ನು
butaramanattiyalloo,ಬೂತರಾಮನಟ್ಟಿಯಲ್ಲೂ
daaritappada,ದಾರಿತಪ್ಪದ
samavallave,ಸಮವಲ್ಲವೇ
daakhalisuttiruvaaga,ದಾಖಲಿಸುತ್ತಿರುವಾಗ
kachoria,ಕಚೋರಿಯ
molaguvudakke,ಮೊಳಗುವುದಕ್ಕೆ
