mathanggi,ꯃꯊꯪꯒꯤ
chapchabi,ꯆꯄꯆꯥꯕꯤ
phamthakhi,ꯐꯝꯊꯈꯤ
afangba,ꯑꯐꯪꯕ
epusingna,ꯏꯄꯨꯁꯤꯡꯅ
fajabagidamak,ꯐꯖꯕꯒꯤꯗꯃꯛ
iraq,ꯏꯔꯥꯛ
iwang,ꯏꯋꯥꯡ
heklaklaga,ꯍꯦꯛꯂꯛꯂꯒ
nungda,ꯅꯨꯡꯗ
ponda,ꯄꯣꯟꯗ
sungbada,ꯁꯨꯡꯕꯗ
meerep,ꯃꯤꯔꯦꯞ
thanatoski,ꯊꯥꯅꯥꯇꯣꯁꯀꯤ
neinari,ꯅꯩꯅꯔꯤ
machaaduni,ꯃꯆꯥꯗꯨꯅꯤ
khunthoklakpani,ꯈꯨꯟꯊꯣꯛꯂꯛꯄꯅꯤ
yumshaalol,ꯌꯨꯝꯁꯥꯂꯣꯜ
haaba,ꯍꯥꯕ
puling,ꯄꯨꯂꯤꯡ
mapanda,ꯃꯄꯥꯟꯗ
safonghankhibi,ꯁꯥꯐꯣꯡꯍꯟꯈꯤꯕꯤ
surachanda,ꯁꯨꯔꯆꯟꯗ
touragani,ꯇꯧꯔꯒꯅꯤ
houkhiba,ꯍꯧꯈꯤꯕ
thoujanbirammi,ꯊꯧꯖꯥꯟꯕꯤꯔꯝꯃꯤ
goutamkumarna,ꯒꯧꯇꯝꯀꯨꯃꯥꯔꯅ
mithikel,ꯃꯤꯊꯤꯀꯦꯜ
yudaa,ꯌꯨꯗꯥ
khumnakha,ꯈꯨꯝꯅꯈ
pariksit,ꯄꯔꯤꯛꯁꯤꯠ
damaksu,ꯗꯃꯛꯁꯨ
nonggi,ꯅꯣꯡꯒꯤ
saakeising,ꯁꯥꯀꯩꯁꯤꯡ
atuka,ꯑꯇꯨꯀ
yumthak,ꯌꯨꯝꯊꯛ
taahoude,ꯇꯥꯍꯧꯗꯦ
kaakhatpa,ꯀꯥꯈꯠꯄ
lumbaphao,ꯂꯨꯝꯕꯐꯥꯎ
meeoisingdi,ꯃꯤꯑꯣꯢꯁꯤꯡꯗꯤ
anoubadadi,ꯑꯅꯧꯕꯗꯗꯤ
phattradi,ꯐꯠꯇ꯭ꯔꯗꯤ
makti,ꯃꯛꯇꯤ
ronos,ꯔꯣꯅꯣꯁ
chaobada,ꯆꯥꯎꯕꯗ
maalemki,ꯃꯥꯂꯦꯝꯀꯤ
parinsipal,ꯄꯔꯤꯟꯁꯤꯄꯜ
kuntaret,ꯀꯨꯟꯇꯔꯦꯠ
gameskidamak,ꯒꯦꯝꯁꯀꯤꯗꯃꯛ
hakchangsi,ꯍꯛꯆꯥꯡꯁꯤ
napu,ꯅꯥꯄꯨ
ripur,ꯔꯤꯄꯨꯔ
iraang,ꯏꯔꯥꯡ
saakonnatuna,ꯁꯥꯀꯣꯟꯅꯇꯨꯅ
wakhallol,ꯋꯥꯈꯜꯂꯣꯜ
khongchatsing,ꯈꯣꯡꯆꯠꯁꯤꯡ
taipangpalpu,ꯇꯥꯢꯄꯪꯄꯥꯜꯄꯨ
ningnei,ꯅꯤꯡꯅꯩ
ako,ꯑꯀꯣ
masaamaksi,ꯃꯁꯥꯃꯛꯁꯤ
yaata,ꯌꯥꯇ
paangthoktuna,ꯄꯥꯡꯊꯣꯛꯇꯨꯅ
ahobani,ꯑꯍꯣꯕꯅꯤ
hipchindana,ꯍꯤꯞꯆꯤꯟꯗꯅ
yulenda,ꯌꯨꯂꯦꯟꯗ
khangnabagidamak,ꯈꯪꯅꯕꯒꯤꯗꯃꯛ
leiramgani,ꯂꯩꯔꯝꯒꯅꯤ
jijasna,ꯖꯤꯖꯁꯅ
kuraangbaangi,ꯀꯨꯔꯥꯡꯕꯥꯟꯒꯤ
uwagi,ꯎꯋꯥꯒꯤ
thinyeinaba,ꯊꯤꯟꯌꯩꯅꯕ
ipungo,ꯏꯄꯨꯉꯣ
nungsibilaktagi,ꯅꯨꯡꯁꯤꯕꯤꯂꯛꯇꯒꯤ
sarit,ꯁꯔꯤꯠ
mahousaaga,ꯃꯍꯧꯁꯥꯒ
rataruk,ꯔꯥꯇꯔꯨꯛ
khongjomnubi,ꯈꯣꯡꯖꯣꯝꯅꯨꯕꯤ
senjao,ꯁꯦꯟꯖꯥꯎ
thoulam,ꯊꯧꯂꯝ
puthoktunaa,ꯄꯨꯊꯣꯛꯇꯨꯅꯥ
epaphus,ꯑꯦꯄꯥꯐꯁ
mathum,ꯃꯊꯨꯝ
phampret,ꯐꯝꯄ꯭ꯔꯦꯠ
hattoki,ꯍꯥꯠꯇꯣꯛꯏ
pianogi,ꯄꯤꯌꯥꯅꯣꯒꯤ
konnadi,ꯀꯣꯟꯅꯗꯤ
ashishu,ꯑꯁꯤꯁꯨ
worm,ꯋꯔ꯭ꯝ
belen,ꯕꯦꯂꯦꯟ
kidana,ꯀꯤꯗꯅ
lakpani,ꯂꯥꯛꯄꯅꯤ
paipa,ꯄꯥꯢꯄ
helli,ꯍꯦꯜꯂꯤ
meeoisingna,ꯃꯤꯑꯣꯢꯁꯤꯡꯅ
aleinu,ꯑꯂꯩꯅꯨ
gandarbol,ꯒꯥꯟꯗꯔꯕꯣꯜ
lamdamga,ꯂꯝꯗꯝꯒ
buterin,ꯕꯨꯇꯦꯔꯤꯟ
yaadabasi,ꯌꯥꯗꯕꯁꯤ
lakkhibani,ꯂꯥꯛꯈꯤꯕꯅꯤ
pokminnaba,ꯄꯣꯛꯃꯤꯟꯅꯕ
sijinnabasingna,ꯁꯤꯖꯤꯟꯅꯕꯁꯤꯡꯅ
langli,ꯂꯥꯡꯂꯤ
mayaamgi,ꯃꯌꯥꯝꯒꯤ
nungol,ꯅꯨꯉꯣꯜ
chanubu,ꯆꯅꯨꯕꯨ
khuntaaba,ꯈꯨꯟꯇꯥꯕ
websiteni,ꯋꯦꯕꯁꯥꯢꯠꯅꯤ
phabongaa,ꯐꯕꯣꯉꯥ
namnei,ꯅꯝꯅꯩ
sannaba,ꯁꯥꯟꯅꯕ
sengba,ꯁꯦꯡꯕ
yatapana,ꯌꯥꯇꯄꯅ
humfutaranipan,ꯍꯨꯝꯐꯨꯇꯔꯥꯅꯤꯄꯥꯟ
koku,ꯀꯣꯀꯨ
meghalaya,ꯃꯦꯘꯥꯂꯌꯥ
lairenlaakpam,ꯂꯥꯢꯔꯦꯟꯂꯥꯛꯄꯝ
sedulda,ꯁꯦꯗꯨꯜꯗ
kep,ꯀꯦꯞ
laininggi,ꯂꯥꯢꯅꯤꯡꯒꯤ
khaktada,ꯈꯛꯇꯗ
senfamna,ꯁꯦꯟꯐꯝꯅ
khallunu,ꯈꯜꯂꯨꯅꯨ
laanmee,ꯂꯥꯟꯃꯤ
heibaa,ꯍꯩꯕꯥ
akanbani,ꯑꯀꯟꯕꯅꯤ
churchandpur,ꯆꯨꯔꯆꯥꯟꯗꯄꯨꯔ
khuntaariba,ꯈꯨꯟꯇꯥꯔꯤꯕ
longaang,ꯂꯣꯉꯥꯡ
skwar,ꯁꯀ꯭ꯋꯥꯔ
fagada,ꯐꯒꯗ
zeliarong,ꯓꯦꯂꯤꯌꯥꯔꯣꯡ
italygi,ꯏꯇꯥꯂꯤꯒꯤ
hithaangphamni,ꯍꯤꯊꯥꯡꯐꯝꯅꯤ
punsinnaraga,ꯄꯨꯟꯁꯤꯟꯅꯔꯒ
khangnei,ꯈꯪꯅꯩ
shareholdersu,ꯁꯦꯌꯔꯍꯣꯜꯗꯔꯁꯨ
bromine,ꯕ꯭ꯔꯣꯃꯤꯟ
madhabpur,ꯃꯥꯙꯕꯄꯨꯔ
potyaan,ꯄꯣꯠꯌꯥꯟ
thongga,ꯊꯣꯡꯒ
haobam,ꯍꯥꯎꯕꯝ
khangpiyo,ꯈꯪꯄꯤꯌꯣ
tamduna,ꯇꯝꯗꯨꯅ
thoudang,ꯊꯧꯗꯥꯡ
phadaba,ꯐꯥꯗꯕ
kayaasinasu,ꯀꯌꯥꯁꯤꯅꯁꯨ
heragi,ꯍꯦꯔꯥꯒꯤ
numit,ꯅꯨꯃꯤꯠ
fadriba,ꯐꯥꯗ꯭ꯔꯤꯕ
pungtingheipa,ꯄꯨꯡꯇꯤꯡꯍꯩꯄ
labasingna,ꯂꯥꯕꯁꯤꯡꯅ
sijinnagani,ꯁꯤꯖꯤꯟꯅꯒꯅꯤ
puwaalida,ꯄꯨꯋꯥꯂꯤꯗ
singbul,ꯁꯤꯡꯕꯨꯜ
fibam,ꯐꯤꯕꯝ
andro,ꯑꯟꯗ꯭ꯔꯣ
nupisinggi,ꯅꯨꯄꯤꯁꯤꯡꯒꯤ
maabati,ꯃꯥꯕꯇꯤ
kuraangbaansi,ꯀꯨꯔꯥꯡꯕꯥꯟꯁꯤ
namba,ꯅꯝꯕ
kwaak,ꯀ꯭ꯋꯥꯛ
baraba,ꯕꯥꯔꯕ
thourangsing,ꯊꯧꯔꯥꯡꯁꯤꯡ
mafamsingda,ꯃꯐꯝꯁꯤꯡꯗ
panthungpham,ꯄꯟꯊꯨꯡꯐꯝ
kayaadasu,ꯀꯌꯥꯗꯁꯨ
tatin,ꯇꯥꯇꯤꯟ
tampaksi,ꯇꯝꯄꯥꯛꯁꯤ
kumnasu,ꯀꯨꯝꯅꯁꯨ
padradi,ꯄꯥꯗ꯭ꯔꯗꯤ
khambadagi,ꯈꯝꯕꯗꯒꯤ
keng,ꯀꯦꯡ
houkhrabani,ꯍꯧꯈ꯭ꯔꯕꯅꯤ
naita,ꯅꯥꯢꯇ
shum,ꯁꯨꯝ
tourisibo,ꯇꯧꯔꯤꯁꯤꯕꯣ
sobek,ꯁꯣꯕꯦꯛ
saabita,ꯁꯥꯕꯤꯇ
hirenpu,ꯍꯤꯔꯦꯟꯄꯨ
faonaba,ꯐꯥꯎꯅꯕ
thumleima,ꯊꯨꯝꯂꯩꯃ
saanahankhi,ꯁꯥꯅꯍꯟꯈꯤ
kaangbusingni,ꯀꯥꯡꯕꯨꯁꯤꯡꯅꯤ
paampaki,ꯄꯥꯝꯄꯀꯤ
tathaba,ꯇꯥꯊꯕ
hourakapadagi,ꯍꯧꯔꯀꯄꯗꯒꯤ
parliamen,ꯄꯥꯔꯂꯤꯌꯥꯃꯦꯟ
mahaak,ꯃꯍꯥꯛ
potsaapham,ꯄꯣꯠꯁꯥꯐꯝ
greecetagi,ꯒ꯭ꯔꯤꯁꯇꯒꯤ
leikhaalolgi,ꯂꯩꯈꯥꯂꯣꯜꯒꯤ
tamningliba,ꯇꯝꯅꯤꯡꯂꯤꯕ
oibanlondi,ꯑꯣꯢꯕꯟꯂꯣꯟꯗꯤ
huyeng,ꯍꯨꯌꯦꯡ
kuchuda,ꯀꯨꯆꯨꯗ
naknei,ꯅꯛꯅꯩ
aparnaa,ꯑꯄꯔꯅꯥ
matibu,ꯃꯇꯤꯕꯨ
marelbu,ꯃꯔꯦꯜꯕꯨ
ngashidagi,ꯉꯁꯤꯗꯒꯤ
gland,ꯒ꯭ꯂꯥꯟꯗ
akhannana,ꯑꯈꯟꯅꯅ
anggada,ꯑꯪꯒꯗ
thokchaariba,ꯊꯣꯛꯆꯥꯔꯤꯕ
lou,ꯂꯧ
nongpokki,ꯅꯣꯡꯄꯣꯛꯀꯤ
huwangna,ꯍꯨꯋꯥꯡꯅ
wayenbam,ꯋꯥꯌꯦꯟꯕꯝ
italyda,ꯏꯇꯥꯂꯤꯗ
kharaadi,ꯈꯔꯥꯗꯤ
waakhallonsida,ꯋꯥꯈꯜꯂꯣꯟꯁꯤꯗ
hyginuski,ꯍꯥꯢꯖꯤꯅꯁꯀꯤ
niphunipaan,ꯅꯤꯐꯨꯅꯤꯄꯥꯟ
mamang,ꯃꯃꯥꯡ
nonglon,ꯅꯣꯡꯂꯣꯟ
taangcha,ꯇꯥꯡꯆ
tungshinba,ꯇꯨꯡꯁꯤꯟꯕ
ngaiduna,ꯉꯥꯢꯗꯨꯅ
exhibition,ꯑꯦꯛꯁꯤꯕꯤꯁꯟ
apakmaasing,ꯑꯄꯛꯃꯥꯁꯤꯡ
achumba,ꯑꯆꯨꯝꯕ
amphumbia,ꯑꯦꯝꯐꯝꯕꯤꯌꯥ
lingkhattuna,ꯂꯤꯡꯈꯠꯇꯨꯅ
awaadasu,ꯑꯋꯥꯗꯁꯨ
asumna,ꯑꯁꯨꯝꯅ
wahanthokta,ꯋꯥꯍꯟꯊꯣꯛꯇ
pritha,ꯄ꯭ꯔꯤꯊꯥ
guamgi,ꯒ꯭ꯋꯥꯝꯒꯤ
pokchabi,ꯄꯣꯛꯆꯕꯤ
thingamda,ꯊꯤꯉꯝꯗ
laimunachingba,ꯂꯥꯢꯃꯨꯅꯆꯤꯡꯕ
themis,ꯊꯦꯃꯤꯁ
taanbana,ꯇꯥꯟꯕꯅ
reliada,ꯔꯦꯂꯤꯌꯥꯗ
veishno,ꯚꯩꯁ꯭ꯅꯣ
chaolaka,ꯆꯥꯎꯂꯀ
tarakkhidare,ꯇꯥꯔꯛꯈꯤꯗꯔꯦ
niraaj,ꯅꯤꯔꯥꯖ
khontokti,ꯈꯣꯟꯇꯣꯛꯇꯤ
laki,ꯂꯥꯀꯤ
porompat,ꯄꯣꯔꯣꯝꯄꯥꯠ
apamba,ꯑꯄꯥꯝꯕ
leingaksingna,ꯂꯩꯉꯥꯛꯁꯤꯡꯅ
shamei,ꯁꯥꯃꯩ
engliski,ꯏꯪꯂꯤꯁꯀꯤ
kougani,ꯀꯧꯒꯅꯤ
mamingsingsu,ꯃꯃꯤꯡꯁꯤꯡꯁꯨ
bedaabati,ꯕꯦꯗꯥꯕꯇꯤ
mariphutaruk,ꯃꯔꯤꯐꯨꯇꯔꯨꯛ
singthanaba,ꯁꯤꯡꯊꯥꯅꯕ
marifutarataruk,ꯃꯔꯤꯐꯨꯇꯔꯥꯇꯔꯨꯛ
pathapta,ꯄꯊꯥꯞꯇ
sidagi,ꯁꯤꯗꯒꯤ
puruba,ꯄꯨꯔꯨꯕ
leiribasigi,ꯂꯩꯔꯤꯕꯁꯤꯒꯤ
pithokcharakpa,ꯄꯤꯊꯣꯛꯆꯔꯛꯄ
nathouna,ꯅꯊꯧꯅꯥ
varattiya,ꯚꯥꯔꯠꯇꯤꯌ
ilatchapa,ꯏꯂꯥꯠꯆꯄ
chaangyeng,ꯆꯥꯡꯌꯦꯡ
pambida,ꯄꯥꯝꯕꯤꯗ
engreji,ꯏꯪꯔꯦꯖꯤ
yollagaa,ꯌꯣꯜꯂꯒꯥ
lambelgi,ꯂꯝꯕꯦꯜꯒꯤ
radamanthus,ꯔꯥꯗꯃꯥꯟꯊꯁ
ctenophora,ꯇꯤꯅꯣꯐꯣꯔꯥ
ocida,ꯑꯣꯁꯤꯗꯥ
phaoda,ꯐꯥꯎꯗ
emada,ꯏꯃꯥꯗ
kayaadagi,ꯀꯌꯥꯗꯒꯤ
mapaanda,ꯃꯄꯥꯟꯗ
peninsulagi,ꯄꯦꯅꯤꯟꯁꯨꯂꯥꯒꯤ
moreh,ꯃꯣꯔꯦ
elenpunggi,ꯏꯂꯦꯟꯄꯨꯡꯒꯤ
achaopiki,ꯑꯆꯥꯎꯄꯤꯀꯤ
punsidunaa,ꯄꯨꯟꯁꯤꯗꯨꯅꯥ
sendra,ꯁꯦꯟꯗ꯭ꯔꯥ
iridium,ꯏꯔꯤꯗꯤꯌꯝ
rembam,ꯔꯦꯝꯕꯝ
semgat,ꯁꯦꯝꯒꯠ
angangkhaoga,ꯑꯉꯥꯡꯈꯥꯎꯒ
taraataret,ꯇꯔꯥꯇꯔꯦꯠ
yumnak,ꯌꯨꯝꯅꯥꯛ
hapchinlakkhibani,ꯍꯥꯞꯆꯤꯟꯂꯛꯈꯤꯕꯅꯤ
leibi,ꯂꯩꯕꯤ
karigumbaa,ꯀꯔꯤꯒꯨꯝꯕꯥ
pangnanaba,ꯄꯥꯡꯅꯅꯕ
thamlaga,ꯊꯝꯂꯒ
lengmannabi,ꯂꯦꯡꯃꯥꯟꯅꯕꯤ
phamthonsinggi,ꯐꯝꯊꯣꯟꯁꯤꯡꯒꯤ
iseigi,ꯏꯁꯩꯒꯤ
woraa,ꯋꯣꯔꯥ
heibagi,ꯍꯩꯕꯒꯤ
khenchongloisinggi,ꯈꯦꯟꯆꯣꯡꯂꯣꯢꯁꯤꯡꯒꯤ
shurung,ꯁꯨꯔꯨꯡ
laiyamgi,ꯂꯥꯢꯌꯥꯝꯒꯤ
ahumna,ꯑꯍꯨꯝꯅ
yaanluo,ꯌꯥꯟꯂꯨꯑꯣ
nongmangkha,ꯅꯣꯡꯃꯥꯡꯈꯥ
deshki,ꯗꯦꯁꯀꯤ
pondanaba,ꯄꯣꯟꯗꯅꯕ
laaknakhi,ꯂꯥꯛꯅꯈꯤ
rotogonus,ꯔꯣꯇꯣꯒꯣꯅꯁ
kiratini,ꯀꯤꯔꯥꯇꯤꯅꯤ
kanduna,ꯀꯟꯗꯨꯅ
leikanglaasingdagi,ꯂꯩꯀꯪꯂꯥꯁꯤꯡꯗꯒꯤ
kalaratri,ꯀꯂꯥꯔꯥꯇ꯭ꯔꯤ
oirammi,ꯑꯣꯢꯔꯝꯃꯤ
chaataani,ꯆꯥꯇꯥꯅꯤ
ningdagi,ꯅꯤꯡꯗꯒꯤ
enat,ꯏꯅꯥꯠ
ichaogi,ꯏꯆꯥꯎꯒꯤ
bengalor,ꯕꯦꯡꯒꯂꯣꯔ
mic,ꯃꯥꯢꯛ
paamludre,ꯄꯥꯝꯂꯨꯗ꯭ꯔꯦ
lambigi,ꯂꯝꯕꯤꯒꯤ
ipungloi,ꯏꯄꯨꯡꯂꯣꯢ
chumithang,ꯆꯨꯃꯤꯊꯥꯡ
sandorakpada,ꯁꯟꯗꯣꯔꯛꯄꯗ
nahaana,ꯅꯍꯥꯅ
mathabakta,ꯃꯊꯕꯥꯛꯇ
meeteisingnaa,ꯃꯤꯇꯩꯁꯤꯡꯅꯥ
taansing,ꯇꯥꯟꯁꯤꯡ
thaangchahanpagi,ꯊꯥꯡꯆꯍꯟꯄꯒꯤ
hangi,ꯍꯥꯟꯒꯤ
kayaatta,ꯀꯌꯥꯠꯇ
oma,ꯑꯣꯃꯥ
lanmising,ꯂꯥꯟꯃꯤꯁꯤꯡ
tanakhiba,ꯇꯥꯅꯈꯤꯕ
sanpot,ꯁꯟꯄꯣꯠ
lamsing,ꯂꯝꯁꯤꯡ
loubani,ꯂꯧꯕꯅꯤ
ngaangnei,ꯉꯥꯡꯅꯩ
ashaaduda,ꯑꯁꯥꯗꯨꯗ
daksinamurti,ꯗꯛꯁꯤꯅꯥꯃꯨꯔꯇꯤ
mafam,ꯃꯐꯝ
statesing,ꯁ꯭꯭꯭ꯇꯦꯠꯁꯤꯡ
khundouremba,ꯈꯨꯟꯗꯧꯔꯦꯝꯕ
wahanthok,ꯋꯥꯍꯟꯊꯣꯛ
lampaakpu,ꯂꯝꯄꯥꯛꯄꯨ
amitava,ꯑꯃꯤꯇꯥꯚ
taragi,ꯇꯔꯥꯒꯤ
phanglakpani,ꯐꯪꯂꯛꯄꯅꯤ
jewsni,ꯖ꯭ꯌꯨꯁꯅꯤ
ahinggi,ꯑꯍꯤꯡꯒꯤ
waachet,ꯋꯥꯆꯦꯠ
wagi,ꯋꯥꯒꯤ
chatpada,ꯆꯠꯄꯗ
yanmargi,ꯌꯥꯟꯃꯥꯔꯒꯤ
lappi,ꯂꯥꯞꯄꯤ
khutthangda,ꯈꯨꯠꯊꯥꯡꯗ
naakong,ꯅꯥꯀꯣꯡ
taloi,ꯇꯥꯂꯣꯢ
warisi,ꯋꯥꯔꯤꯁꯤ
georgioni,ꯖꯤꯑꯣꯔꯖꯤꯑꯣꯅꯤ
kayaamana,ꯀꯌꯥꯃꯅ
colubrid,ꯀꯣꯂꯨꯕ꯭ꯔꯤꯗ
ilenpunggi,ꯏꯂꯦꯟꯄꯨꯡꯒꯤ
tanja,ꯇꯅꯖꯥ
saambaa,ꯁꯥꯝꯕꯥ
fambaal,ꯐꯝꯕꯥꯜ
mamangdadi,ꯃꯃꯥꯡꯗꯗꯤ
lapthoknaba,ꯂꯥꯞꯊꯣꯛꯅꯕ
chingnaganu,ꯆꯤꯡꯅꯒꯅꯨ
wangpal,ꯋꯥꯡꯄꯜ
ngaasi,ꯉꯥꯁꯤ
manoungda,ꯃꯅꯧꯡꯗ
phangdaraba,ꯐꯪꯗꯔꯕ
leipaaksingnaa,ꯂꯩꯄꯥꯛꯁꯤꯡꯅꯥ
nupida,ꯅꯨꯄꯤꯗ
kumsaba,ꯀꯨꯝꯁꯥꯕ
veiraba,ꯚꯩꯔꯕ
yaona,ꯌꯥꯎꯅ
waikhom,ꯋꯥꯢꯈꯣꯝ
jwanwu,ꯖ꯭ꯋꯥꯟꯋꯨ
tetta,ꯇꯦꯠꯇ
panbi,ꯄꯥꯟꯕꯤ
hurankhiba,ꯍꯨꯔꯥꯟꯈꯤꯕ
changngi,ꯆꯪꯉꯤ
shagolshem,ꯁꯒꯣꯜꯁꯦꯝ
numitmaata,ꯅꯨꯃꯤꯠꯃꯥꯇ
amakhakni,ꯑꯃꯈꯛꯅꯤ
leichal,ꯂꯩꯆꯜ
leningred,ꯂꯦꯅꯤꯟꯒ꯭ꯔꯦꯗ
europeta,ꯌꯨꯔꯣꯞꯇ
puthoklakkhi,ꯄꯨꯊꯣꯛꯂꯛꯈꯤ
lanmei,ꯂꯥꯟꯃꯩ
technician,ꯇꯦꯛꯅꯤꯁꯤꯌꯥꯟ
khuthangdani,ꯈꯨꯊꯥꯡꯗꯅꯤ
lingjel,ꯂꯤꯡꯖꯦꯜ
ritchi,ꯔꯤꯠꯆꯤ
kaangpuna,ꯀꯥꯡꯄꯨꯅ
machasinggi,ꯃꯆꯥꯁꯤꯡꯒꯤ
medyusa,ꯃꯦꯗ꯭ꯌꯨꯁꯥ
nungshibiba,ꯅꯨꯡꯁꯤꯕꯤꯕ
ilom,ꯏꯂꯣꯝ
kuranganayani,ꯀꯨꯔꯪꯒꯅꯌꯅꯤ
englishki,ꯏꯪꯂꯤꯁꯀꯤ
hounei,ꯍꯧꯅꯩ
oknei,ꯑꯣꯛꯅꯩ
pirakkhiba,ꯄꯤꯔꯛꯈꯤꯕ
khoyumbu,ꯈꯣꯌꯨꯝꯕꯨ
toubagi,ꯇꯧꯕꯒꯤ
irambani,ꯏꯔꯝꯕꯅꯤ
luwanggi,ꯂꯨꯋꯥꯡꯒꯤ
saachung,ꯁꯥꯆꯨꯡ
lamsang,ꯂꯝꯁꯥꯡ
domingo,ꯗꯣꯃꯤꯡꯒꯣ
barylliumgi,ꯕꯦꯔꯤꯂꯤꯌꯝꯒꯤ
mariphutaraamari,ꯃꯔꯤꯐꯨꯇꯔꯥꯃꯔꯤ
maalli,ꯃꯥꯜꯂꯤ
paanbisigi,ꯄꯥꯟꯕꯤꯁꯤꯒꯤ
omanaa,ꯑꯣꯃꯅꯥ
chaipi,ꯆꯥꯢꯄꯤ
heethangphamni,ꯍꯤꯊꯥꯡꯐꯝꯅꯤ
taalang,ꯇꯥꯂꯪ
kaabak,ꯀꯥꯕꯛ
summaang,ꯁꯨꯝꯃꯥꯡ
kangngasing,ꯀꯥꯡꯉꯥꯁꯤꯡ
lonsa,ꯂꯣꯟꯁꯥ
yalle,ꯌꯥꯜꯂꯦ
shaataanpa,ꯁꯥꯇꯥꯟꯄ
pamlakkhi,ꯄꯥꯝꯂꯛꯈꯤ
acerola,ꯑꯦꯁꯦꯔꯣꯂꯥ
greenland,ꯒ꯭ꯔꯤꯟꯂꯦꯟ
thoklamdaida,ꯊꯣꯛꯂꯝꯗꯥꯢꯗ
leipa,ꯂꯩꯄ
yenglakpa,ꯌꯦꯡꯂꯛꯄ
satyabati,ꯁꯇ꯭ꯌꯕꯇꯤ
eina,ꯑꯩꯅ
mahine,ꯃꯍꯤꯅꯦ
yamana,ꯌꯥꯃꯅ
selungba,ꯁꯦꯂꯨꯡꯕ
panthera,ꯄꯥꯟꯊꯦꯔꯥ
leingaakpagi,ꯂꯩꯉꯥꯛꯄꯒꯤ
sanaarei,ꯁꯅꯥꯔꯩ
sumnanaba,ꯁꯨꯝꯅꯅꯕ
meeyam,ꯃꯤꯌꯥꯝ
horaa,ꯍꯣꯔꯥ
khangdaragasu,ꯈꯪꯗꯔꯒꯁꯨ
puthokpi,ꯄꯨꯊꯣꯛꯄꯤ
chuhanbagi,ꯆꯨꯍꯟꯕꯒꯤ
handokkhi,ꯍꯟꯗꯣꯛꯈꯤ
wapu,ꯋꯥꯄꯨ
santoktunaa,ꯁꯟꯇꯣꯛꯇꯨꯅꯥ
mashu,ꯃꯁꯨ
waagi,ꯋꯥꯒꯤ
unics,ꯌꯨꯅꯤꯛꯁ
phei,ꯐꯩ
atiyagi,ꯑꯇꯤꯌꯥꯒꯤ
thaangba,ꯊꯥꯡꯕ
phijetta,ꯐꯤꯖꯦꯠꯇ
tamnari,ꯇꯝꯅꯔꯤ
pandia,ꯄꯥꯟꯗꯤꯌꯥ
hingduna,ꯍꯤꯡꯗꯨꯅ
pallabada,ꯄꯜꯂꯕꯗ
awaba,ꯑꯋꯥꯕ
londongi,ꯂꯟꯗꯟꯒꯤ
maming,ꯃꯃꯤꯡ
septemba,ꯁꯦꯞꯇꯦꯝꯕ
asina,ꯑꯁꯤꯅ
indiagi,ꯏꯟꯗꯤꯌꯥꯒꯤ
wangba,ꯋꯥꯡꯕ
haitapala,ꯍꯥꯢꯇꯄꯂꯥ
kurangi,ꯀꯨꯔꯥꯟꯒꯤ
eshingda,ꯏꯁꯤꯡꯗ
leinarammi,ꯂꯩꯅꯔꯝꯃꯤ
khaosingdu,ꯈꯥꯎꯁꯤꯡꯗꯨ
leisana,ꯂꯩꯁꯅꯥ
pumnamakti,ꯄꯨꯝꯅꯃꯛꯇꯤ
paambidagi,ꯄꯥꯝꯕꯤꯗꯒꯤ
leithokte,ꯂꯩꯊꯣꯛꯇꯦ
mandodari,ꯃꯟꯗꯣꯗꯔꯤ
karisu,ꯀꯔꯤꯁꯨ
paangthokfamsu,ꯄꯥꯡꯊꯣꯛꯐꯝꯁꯨ
ronsingsi,ꯔꯣꯟꯁꯤꯡꯁꯤ
meitrabak,ꯃꯩꯇ꯭ꯔꯕꯥꯛ
paaphal,ꯄꯥꯐꯜ
keisam,ꯀꯩꯁꯥꯝ
yujiyamdagi,ꯌꯨꯖꯤꯌꯝꯗꯒꯤ
seirengsi,ꯁꯩꯔꯦꯡꯁꯤ
mepsing,ꯃꯦꯞꯁꯤꯡ
afafattagi,ꯑꯐꯐꯠꯇꯒꯤ
touduna,ꯇꯧꯗꯨꯅ
sharep,ꯁꯥꯔꯦꯞ
thoubagi,ꯊꯧꯕꯒꯤ
konungsuni,ꯀꯣꯅꯨꯡꯁꯨꯅꯤ
layengbagi,ꯂꯥꯌꯦꯡꯕꯒꯤ
chaasida,ꯆꯥꯁꯤꯗ
thouchanpi,ꯊꯧꯆꯥꯟꯄꯤ
achetpa,ꯑꯆꯦꯠꯄ
wangbren,ꯋꯥꯡꯕ꯭ꯔꯦꯟ
khundaphamgi,ꯈꯨꯟꯗꯥꯐꯝꯒꯤ
ayanba,ꯑꯌꯥꯟꯕ
masuni,ꯃꯁꯨꯅꯤ
pairibasing,ꯄꯥꯢꯔꯤꯕꯁꯤꯡ
thengnei,ꯊꯦꯡꯅꯩ
kombirei,ꯀꯣꯝꯕꯤꯔꯩ
khumomba,ꯈꯨꯃꯣꯝꯕ
ipigi,ꯏꯄꯤꯒꯤ
akaaba,ꯑꯀꯥꯕ
thaadoklaga,ꯊꯥꯗꯣꯛꯂꯒ
datani,ꯗꯥꯇꯥꯅꯤ
