uthithanti,ଉଠିଥାଆନ୍ତି
subhasamachara,ଶୁଭସମାଚାର
mithyashrayi,ମିଥ୍ୟାଶ୍ରୟୀ
bismaykar,ବିସ୍ମୟକର
janinebe,ଜାଣିନେବେ
matinandia,ମାଟିନନ୍ଦିଆ
aasuthibi,ଆସୁଥିବି
magra,ମଗରା
rachili,ରଚିଲି
cameroon,କାମେରୁନ
khadapa,ଖଡପା
alzheimer,ଆଲଜାଇମର୍
nabhetibaru,ନଭେଟିବାରୁ
superblood,ସୁପରବ୍ଲଡ
microbiota,ମାଇକ୍ରୋବାୟୋଟା
lutabare,ଲୁଟବାରେ
ebh,ଏଭ୍
bipadashunya,ବିପଦଶୂନ୍ୟ
bajachoukathare,ବାଜଚୌକଠାରେ
phailinaku,ଫାଇଲିନକୁ
phalabharare,ଫଳଭାରରେ
ayasha,ଆୟଶା
dishibare,ଦିଶିବାରେ
bhagnabasheshare,ଭଗ୍ନାବଶେଷରେ
satyaboli,ସତ୍ୟବୋଲି
andonalara,ଆନ୍ଦୋନଳର
ranchisthita,ରାଞ୍ଚିସ୍ଥିତ
apahiharjya,ଅପହିହାର୍ଯ୍ୟ
saraswateenkara,ସରସ୍ୱତୀଙ୍କର
patranusare,ପାତ୍ରାନୁସାରେ
phiteibini,ଫିଟେଇବିନି
aakule,ଆକୁଳେ
sasikumar,ଶଶିକୁମାର
maharapali,ମାହାରପାଲି
thulabharam,ଥୁଲାଭରମ୍
dekheileni,ଦେଖେଇଲେଣି
sabasikhya,ସବଶିକ୍ଷା
correctional,କରେକ୍ସନାଲ
purunabhubaneshwara,ପୁରୁଣାଭୁବନେଶ୍ବର
jaluthiba,ଜଳୁଥିବା
birjapur,ବିରଜାପୁର
srikor,ଶ୍ରୀକୋର
shafner,ଶାଫନର
singareenka,ସିଙ୍ଗାରୀଙ୍କ
soumanka,ସୌମାଙ୍କ
kasumendi,କସୁମେଣ୍ଡି
abhu,ଅଭୁ
cheats,ଚିଟସ୍
pritirekha,ପ୍ରିତିରେଖା
puruliaaru,ପୁରୁଲିଆରୁ
sanachhata,ସାନଛତା
ehisangkramana,ଏହିସଂକ୍ରମଣ
scoliosis,ସ୍କୋଲିଓସିସ
wetresanka,ୱେଟ୍ରେସଙ୍କ
lording,ଲୋର୍ଡିଂ
sworeja,ସ୍ୱୋରେଜ
pideetanka,ପିଡ଼ୀତାଙ୍କ
bhalithila,ଭଳିଥିଲା
kashira,କାଶିରା
hrudarogaru,ହୃଦରୋଗରୁ
limitedara,ଲିମିଟେଡ଼ର
thiruvillare,ଥିରୁଭିଲ୍ଲାରେ
haitiya,ହାଇତୀୟ
matianka,ମାଟିଆଙ୍କ
prapatara,ପ୍ରପାତର
flexifare,ଫ୍ଲେକ୍ସିଫେୟାର
romanchakapurna,ରୋମାଞ୍ଚକପୂର୍ଣ୍ଣ
unduthile,ଉଣ୍ଡୁଥିଲେ
andrei,ଆଣ୍ଡ୍ରେଇ
nuhurinka,ନୁହୁରିଙ୍କ
paunsaku,ପାଉଁସକୁ
jakartathare,ଜାକାର୍ତାଠାରେ
bhangiparibini,ଭାଙ୍ଗିପାରିବିନି
manabasurara,ମାନବାସୁରର
pakhyapatimoolaka,ପକ୍ଷପାତିମୂଳକ
bachanapatrare,ବଚନପତ୍ରରେ
sugarajukta,ସୁଗାରଯୁକ୍ତ
jibanamaya,ଜୀବନମୟ
drurbrutanku,ଦୃର୍ବୃତଙ୍କୁ
basubabu,ବାସୁବାବୁ
endoscope,ଏଣ୍ଡୋସ୍କୋପ
ilai,ଇଲାଇ
makaru,ମକରୁ
relamantralaya,ରେଳମନ୍ତ୍ରାଳୟ
panhachisarithibabele,ପଂହଚିସାରିଥିବାବେଳେ
maladweeparu,ମାଲଦ୍ୱୀପରୁ
kamajaithiba,କମାଯାଇଥିବା
balastic,ବାଲେଷ୍ଟିକ
electe,ଇଲେକ୍ଟେ
karanamananku,କାରଣମାନଙ୍କୁ
isabelanka,ଇସାବେଲଙ୍କ
lesner,ଲେସନର
yardaku,ୟାର୍ଡକୁ
toyoto,ଟୟୋଟୋ
januyarira,ଜାନୁୟାରୀର
postgrajuet,ପୋଷ୍ଟଗ୍ରାଜୁଏଟ୍
pashubali,ପଶୁବଳି
atmarojagara,ଆତ୍ମରୋଜଗାର
bafadara,ବଫାଦାର
prashnapatraku,ପ୍ରଶ୍ନପତ୍ରକୁ
kakhadi,କଖାଡି
etikibelaku,ଏତିକିବେଳକୁ
kushiapal,କୁଶିଆପାଳ
edutech,ଇଡ଼ୁଟେକ୍
nirjharanee,ନିର୍ଝରଣୀ
jimananku,ଜିମାନଙ୍କୁ
uparo,ଉପରୋ
milantani,ମିଳନ୍ତାନି
pujibaku,ପୂଜିବାକୁ
nijese,ନିଜେସେ
bindure,ବିନ୍ଦୁରେ
kalyanabarta,କଲ୍ୟାଣବାର୍ତ୍ତା
atakithibabele,ଅଟକିଥିବାବେଳେ
pheriparu,ଫେରିପାରୁ
ampire,ଆମ୍ପାୟାର
alokapata,ଅଲୋକପାତ
adhibhara,ଅଧିଭାର
madhyaro,ମଧ୍ୟରୋ
newsprint,ନ୍ୟୁଜପ୍ରିଣ୍ଟ
matigadia,ମାଟିଗାଡିଆ
dekhakariba,ଦେଖାକରିବା
pindulaku,ପିଣ୍ଡୁଳାକୁ
rivijanala,ରିଭିଜନାଲ
atithibhabare,ଅତିଥିଭାବରେ
ajikalika,ଆଜିକାଲିକା
gunuguneila,ଗୁଣୁଗୁଣେଇଲା
abstract,ଆବଷ୍ଟ୍ରାକ୍ଟ
patikia,ପଟିକିଆ
pracharakareenka,ପ୍ରଚାରକାରୀଙ୍କ
tintal,ତିନ୍ତାଲ୍
warliru,ୱର୍ଲିରୁ
jubagosthiku,ଯୁବଗୋଷ୍ଠିକୁ
kesharawaninka,କେଶରୱାନିଙ୍କ
chatraparu,ଛତ୍ରପରୁ
ganderbal,ଗଣ୍ଡରବଲ
gandharbi,ଗାନ୍ଧର୍ବୀ
paibakhyani,ପାଇବାକ୍ଷଣୀ
baselet,ବେସଲେଟ୍
puruskar,ପୁରସ୍କାର
hrudaspandanaku,ହୃଦସ୍ପନ୍ଦନକୁ
keshi,କେଶି
phaurenku,ଫାଉରେଙ୍କୁ
hrudayakrushna,ହୃଦୟକୃଷ୍ଣ
gatiku,ଗତିକୁ
swachabharatara,ସ୍ୱଚ୍ଛଭାରତର
manahshinka,ମନଃଶିଙ୍କ
panchalakhya,ପାଞ୍ଚଳକ୍ଷ
binnui,ବିନୁଯି
pharmaceuticalsara,ଫାର୍ମାସ୍ୟୁଟିକାଲ୍ସର
ranip,ରାଣିପ
nabeebanku,ନବୀବଙ୍କୁ
nakkalal,ନକ୍କାଲାଲ
prabananku,ପ୍ରବଣଙ୍କୁ
bhagiratheenku,ଭାଗିରଥୀଙ୍କୁ
yarkare,ୟର୍କରେ
angapain,ଅଙ୍ଗପାଇଁ
bajaranganka,ବଜରଙ୍ଗଙ୍କ
dhumusa,ଧୁମୁସା
ruhuchanti,ରୁହୁଛନ୍ତି
arajakata,ଆରାଜକତା
sarbhirsa,ସର୍ଭିର୍ସ
sugandhe,ସୁଗନ୍ଧେ
dharmasharanabindha,ଧର୍ମଶରଣବିନ୍ଧା
kridabita,କ୍ରୀଡାବିତ
pandulipire,ପାଣ୍ଡୁଲିପିରେ
nicholls,ନିକୋଲସ୍
skipt,ସ୍କିପ୍ଟ
abedanapatra,ଆବେଦନପତ୍ର
jaichinti,ଯାଇଛିନ୍ତି
corporate,କର୍ପୋରେଟ୍
dhuleshwara,ଧୁଳେଶ୍ୱର
emitita,ଏମିତିତ
bagulu,ବଗୁଲୁ
punmaget,ପୁନମାଗେଟ୍
stalpai,ଷ୍ଟଲପାଇ
kamakarjyare,କାମକାର୍ଯ୍ୟରେ
balichadare,ବାଲିଚଡାରେ
keshamoolare,କେଶମୂଳରେ
gurupurnimare,ଗୁରୁପୂର୍ଣ୍ଣିମାରେ
seckers,ସେକର୍ସ
kundarathur,କୁନ୍ଦରାଥୁର
lurahichhi,ଲୁରହିଛି
ghenuguda,ଘେନୁଗୁଡା
narur,ନରୁର
utkrustataara,ଉତ୍କୃଷ୍ଟତାର
aswabhika,ଅସ୍ୱାଭିକ
chakuli,ଚକୁଳି
thimputhare,ଥିମ୍ପୁଠାରେ
mastermindmananku,ମାଷ୍ଟରମାଇଣ୍ଡମାନଙ୍କୁ
smartsitira,ସ୍ମାର୍ଟସିଟିର
bhutaibare,ଭୁତାଇବାରେ
pashinapari,ପଶିନପାରି
chestare,ଚେଷ୍ଟାରେ
maleswaram,ମାଲେଶ୍ୱରମ
alochakamane,ଆଲୋଚକମାନେ
mohiuddin,ମୋହିଉଦ୍ଦିନ
bidhina,ବିଧିନ
sangarila,ସାଙ୍ଗରିଲା
gudda,ଗୁଡ୍ଡା
sahityikamanankara,ସାହିତ୍ୟିକାମାନଙ୍କର
udibuliba,ଉଡିବୁଲିବା
tcs,ଟିସିଏସ୍
muzaffarabad,ମୁଜାଫରବାଦ
jugananda,ଜୁଗାନନ୍ଦ
ganapatikhetra,ଗଣପତିକ୍ଷେତ୍ର
thappanka,ଥପ୍ପାଙ୍କ
balidebapain,ବଳିଦେବାପାଇଁ
reifer,ରିଫର
nayananda,ନୟାନନ୍ଦ
suhauthiba,ସୁହାଉଥିବା
riksabalaku,ରିକ୍ସାବାଲାକୁ
bikalpaku,ବିକଳ୍ପକୁ
khelijauthiba,ଖେଳିଯାଉଥିବା
gayichalithile,ଗାୟିଚାଲିଥିଲେ
talagoluru,ତଳଗୋଲୁରୁ
ramras,ରାମରସ
westara,ୱେଷ୍ଟର
ananditahue,ଆନନ୍ଦିତହୁଏ
lekhanara,ଲେଖନର
arjjunpur,ଅର୍ଜ୍ଜୁନପୁର
kaliathakura,କାଳିଆଠାକୁର
motis,ମୋଟିସ୍
hilfiger,ହିଲଫିଗର
patapadganj,ପଟପଡଗଞ୍ଜ
langas,ଲଙ୍ଗସ୍
goaku,ଗୋଆକୁ
karibeta,କରିବେତ
petadebaku,ପେଟାଦେବାକୁ
praye,ପ୍ରାୟେ
mudinka,ମୁଡିଙ୍କ
srujanaseelana,ସୃଜନଶୀଳନ
shibpal,ଶିବପାଲ୍
baloda,ବଲୋଦା
sevrolet,ସେଭ୍ରୋଲେଟ୍
seyaring,ସେୟାରିଙ୍ଗ୍
besisi,ବେସିସି
fludo,ଫ୍ଲୁଡୋ
ratrirahani,ରାତ୍ରିରହଣି
kahurakhuchhu,କହୁରଖୁଛୁ
bisfaraka,ବିସ୍ଫରକ
bahabediku,ବାହାବେଦିକୁ
hetubadinku,ହେତୁବାଦୀଙ୍କୁ
mithunka,ମିଠୁଙ୍କ
badaluthibaru,ବଦଳୁଥିବାରୁ
forrester,ଫରେଷ୍ଟର
surnakoteru,ସୁର୍ଣ୍ଣାକୋଟେରୁ
jhumuriku,ଝୁମୁରିକୁ
gurubararu,ଗୁରୁବାରରୁ
hoiparibara,ହୋଇପାରିବାର
bibhinnasarakaree,ବିଭିନ୍ନସରକାରୀ
ganamrutyura,ଗଣମୃତ୍ୟୁର
sadheiku,ସଢେଇକୁ
mularu,ମୁଲରୁ
premikamananka,ପ୍ରେମିକାମାନଙ୍କ
bibiyaku,ବିବିୟାକୁ
keerttirajigudikara,କୀର୍ତ୍ତିରାଜିଗୁଡିକର
rohilla,ରୋହିଲା
purnahutire,ପୂର୍ଣ୍ଣାହୂତିରେ
spiky,ସ୍ପାଇକି
bhagalapurare,ଭାଗଲପୁରରେ
barnahina,ବର୍ଣ୍ଣହୀନ
recort,ରେକର୍ଟ
kukuratie,କୁକୁରଟିଏ
complexes,କମ୍ପ୍ଲେକ୍ସ୍
raebareliku,ରାଏବରେଲିକୁ
kaade,କାଡେ
mirdesh,ମିର୍ଦ୍ଦେଶ
bidhisammata,ବିଧିସମ୍ମତ
sununathae,ଶୁଣୁନଥାଏ
anukoolarahichi,ଅନୁକୂଳରହିଛି
deenadukhee,ଦୀନଦୁଃଖୀ
khelagramare,ଖେଳଗ୍ରାମରେ
prematharu,ପ୍ରେମଠାରୁ
kendulika,କେନ୍ଦୁଲିକା
faginga,ଫଗିଙ୍ଗ
kahideli,କହିଦେଲି
phatijibara,ଫାଟିଯିବାର
bhakyum,ଭକ୍ୟୁମ
panamaram,ପାନାମାରାମ
bauku,ବଉକୁ
sarithibara,ସାରିଥିବାର
shramakamishanara,ଶ୍ରମକମିଶନର
pahanchaithiba,ପହଁଚାଇଥିବା
kokje,କୋକଜେ
sumalinira,ସୁମାଳିନୀର
dhubagudi,ଧୁବାଗୁଡି
matinku,ମାଟିଙ୍କୁ
bhalagunaku,ଭଲଗୁଣକୁ
amaranku,ଅମରଙ୍କୁ
kumbhapati,କୁମ୍ଭପଟି
nisanara,ନିସାନର
baithakamana,ବୈଠକମାନ
malebalare,ମାଲେବାଲରେ
biswaprema,ବିଶ୍ୱପ୍ରେମ
ishananku,ଇଶାନଙ୍କୁ
giorgina,ଜିଓର୍ଜିନା
mamminku,ମମ୍ମିଙ୍କୁ
nabonmeshara,ନବୋନ୍ମେଷର
krasaovara,କ୍ରସଓଭର
ashariramane,ଅଶରୀରମାନେ
ariane,ଏରିୟନ
nirdeshanara,ନିର୍ଦ୍ଦେଶନାର
salamba,ସଲମ୍ବ
dobandhia,ଦୋବନ୍ଧିଆ
officialy,ଅଫିସିଆଲି
chalaletara,ଚଳଲେଟର
rajnibabu,ରଜନୀବାବୁ
hedagewara,ହେଡଗେୱାର
asulkiari,ଅସୁଲକିଆରି
patrakortare,ପତ୍ରକୋର୍ଟରେ
phorakasting,ଫୋରକାଷ୍ଟିଂ
soina,ସୋନିଆ
sasec,ସାସେକ୍
radiology,ରେଡିଓଲୋଜୀ
hataidela,ହଟାଇଦେଲା
sudhurubare,ସୁଧୁରୁବାରେ
karuthibe,କରୁଥିବେ
aswinanku,ଅଶ୍ୱୀନଙ୍କୁ
manjirare,ମଞ୍ଜିରାରେ
bhababodhare,ଭାବବୋଧରେ
gitinatyara,ଗୀତିନାଟ୍ୟର
martamana,ମର୍ତ୍ତମାନ
natyara,ନାଟ୍ୟର
prabadha,ପ୍ରବଦ୍ଧ
dhurandhar,ଧୁରନ୍ଧର୍
patharatale,ପଥରତଳେ
chhuinpakaichhanti,ଛୁଇଁପକାଇଛନ୍ତି
tolantunahin,ତୋଳନ୍ତୁନାହିଁ
chhechuchhi,ଛେଚୁଛି
kalkoti,କାଲକୋଟି
supramakortanka,ସୁପ୍ରମକୋର୍ଟଙ୍କ
gajarna,ଗଜର୍ଣ୍ଣ
charig,ଚାରିଗ୍
buckingham,ବକିଂହାମ୍
murtitira,ମୂର୍ତ୍ତିଟିର
parao,ପାରାଓ
marningwarkare,ମର୍ଣ୍ଣିଂୱାର୍କରେ
swedenara,ସ୍ୱୀଡେନର
belagacharu,ବେଲଗଛରୁ
prabarttauchhi,ପ୍ରବର୍ତ୍ତାଉଛି
soprano,ସୋପ୍ରାନୋ
pradapanka,ପ୍ରଦାପଙ୍କ
kahneibandha,କହ୍ନେଇବନ୍ଧ
ketekatha,କେତେକଥା
abhibhuta,ଅଭିଭୂତ
jagyakarta,ଯଜ୍ଞକର୍ତା
tinakaranku,ତିନାକାରଙ୍କୁ
utthanaku,ଉତ୍ଥାନକୁ
laimalaitaru,ଲାଇମଲାଇଟରୁ
nolajiku,ନୋଲଜିକୁ
obisiburger,ଓବିସିବର୍ଗର
manabadharma,ମାନବଧର୍ମ
badanka,ବଦଙ୍କ
hastaprasari,ହସ୍ତପ୍ରସାରି
sarbaprasiddha,ସର୍ବପ୍ରସିଦ୍ଧ
ludu,ଲୁଦୁ
plugin,ପ୍ଲଗଇନ
jaluthiba,ଜଲୁଥିବା
arimul,ଅରିମୂଳ
startupre,ଷ୍ଟାର୍ଟଅପରେ
debarashiphala,ଦେବରାଶିଫଳ
sehimas,ସେହିମାସ
frdi,ଏଫଆରଡିଆଇ
kachaku,କଚକୁ
kumdini,କୁମଦିନି
sahibastigudikare,ସାହିବସ୍ତିଗୁଡିକରେ
philadelphiathare,ଫିଲାଡେଲଫିଆଠାରେ
gauthibare,ଗାଉଥିବାରେ
pachiki,ପାଚିକି
bhratrubibada,ଭ୍ରାତୃବିବାଦ
souragananka,ସୌରଗଣଙ୍କ
kandenku,କାନ୍ଦେଙ୍କୁ
perfer,ପରଫର୍
sanchita,ସଞ୍ଚିତ
bheba,ଭେବ
jambudwipara,ଜମ୍ବୁଦ୍ୱୀପର
mukundprasad,ମୁକୁନ୍ଦପ୍ରସାଦ
parichitira,ପରିଚିତିର
khireekhaithile,ଖିରୀଖାଇଥିଲେ
itishanka,ଇତିଶଙ୍କ
kerandimal,କେରାଣ୍ଡିମାଳ
certipicate,ସାର୍ଟିପିକେଟ
aamadeshaku,ଆମଦେଶକୁ
jalajudhara,ଜଳଯୁଦ୍ଧର
uchchakanthare,ଉଚ୍ଚକଣ୍ଠରେ
palaiasithae,ପଳାଇଆସିଥାଏ
hoijainti,ହୋଇଯାଇନ୍ତି
bahiasi,ବହିଆସି
galuram,ଗାଲୁରାମ
wardsabhyanka,ୱାର୍ଡସଭ୍ୟଙ୍କ
majhika,ମଝିକା
pailani,ପାଇଲାନି
garbhabedana,ଗର୍ଭବେଦନା
kalitharu,କାଲିଠାରୁ
machhiku,ମାଛିକୁ
nabamipuja,ନବମୀପୂଜା
gobindupara,ଗୋବିନ୍ଦୁପର
ferrity,ଫେରିଟି
buthagudikare,ବୁଥଗୁଡିକରେ
kalimukhi,କାଳୀମୁଖୀ
panjiru,ପାଞ୍ଜିରୁ
rampre,ରାମ୍ପ୍ରେ
khabarapaithila,ଖବରପାଇଥିଲା
charijugar,ଚାରିଯୁଗର
aahatamaanankara,ଆହତମାନଙ୍କର
janapadithilaki,ଜଣାପଡିଥିଲାକି
sathiram,ସାଥୀରାମ
champadora,ଚମ୍ପାଦୋରା
thikathae,ଠିକଥାଏ
margadarshakaku,ମାର୍ଗଦର୍ଶକକୁ
ndr,ଏନଡିଆର୍
shikhiki,ଶିଖିକି
fitikirira,ଫିଟିକିରିର
microplaysma,ମାଇକ୍ରୋପ୍ଲେଜମା
trazer,ଟ୍ରେଜର
punasi,ପୁନାସି
swalpabetanare,ସ୍ୱଳ୍ପବେତନରେ
patartha,ପତାର୍ଥ
hedakwartaranku,ହେଡକ୍ୱାର୍ଟରଙ୍କୁ
teeke,ଟୀକେ
badamanankara,ବଡ଼ମାନଙ୍କର
sikandarabadara,ସିକନ୍ଦରାବାଦର
venkataramana,ଭେଙ୍କଟରମଣ
baharil,ବାହାରିଲ
dalamanankaru,ଦଳମାନଙ୍କରୁ
bigadibaru,ବିଗାଡିବାରୁ
barawel,ବରୱେଲ୍
koshamuguda,କୋଷାମୁଗୁଡା
karjyanwayana,କାର୍ଯ୍ୟାନ୍ବୟନ
jhadakhandaku,ଝାଡଖଣ୍ଡକୁ
tauru,ତାଉରୁ
patrikahata,ପତ୍ରିକାହାଟ
apanadera,ଅପନାଦେର
aloch,ଆଲୋଚ
kuhikara,କୁହିକାର
arabre,ଆରବ୍ରେ
kurli,କୁର୍ଲି
badalanti,ବଦଳାନ୍ତି
jamundi,ଜାମୁଣ୍ଡି
sanasujanpur,ସାନସୁଜନପୁର
madura,ମଦୁରା
jillaparishadanku,ଜିଲ୍ଲାପରିଷଦଙ୍କୁ
airlinesray,ଏୟାରଲାଇନ୍ସରେ
naritharu,ନାରୀଠାରୁ
bhol,ଭୋଲ
chestakaruchhi,ଚେଷ୍ଟାକରୁଛି
mukhu,ମୁଖୁ
sampathanka,ସମ୍ପଥଙ୍କ
karisaruthae,କରିସାରୁଥାଏ
pratyekaru,ପ୍ରତ୍ୟେକରୁ
ghain,ଘାଇଁ
naboku,ନବୋକୁ
commuter,କମ୍ୟୁଟର
basabharajanka,ବସଭରାଜଙ୍କ
laguhele,ଲାଗୁହେଲେ
uddharana,ଉଦ୍ଧରଣ
niyamanubarttita,ନିୟମାନୁବର୍ତ୍ତିତା
swikarokti,ସ୍ୱୀକାରୋକ୍ତି
janatadalaru,ଜନତାଦଳରୁ
putrakanya,ପୁତ୍ରକନ୍ୟା
batarakta,ବାତରକ୍ତ
gunagya,ଗୁଣଜ୍ଞ
pisisire,ପିସିସିରେ
ardhekanku,ଅର୍ଦ୍ଧେକଙ୍କୁ
rajeshwara,ରାଜେଶ୍ୱର
aarogyata,ଆରୋଗ୍ୟତା
padabigudiku,ପଦବିଗୁଡ଼ିକୁ
paradeepara,ପାରାଦୀପର
bhyaliditira,ଭ୍ୟାଲିଡିଟିର
birbabu,ବୀରବାବୁ
divaisare,ଡିଭାଇସରେ
chinhaibe,ଚିହ୍ନାଇବେ
gitesh,ଗିତେଶ
obharre,ଓଭର୍ରେ
moteeku,ମୋତୀକୁ
jyotishree,ଜ୍ୟୋତିଶ୍ରୀ
pandalam,ପାଣ୍ଡାଲମ୍
griha,ଗୃହ
mithunanka,ମିଥୁନଙ୍କ
emativi,ଏମଟିଭି
bikaaru,ବିକାରୁ
saike,ସାଇକେ
osdema,ଓସ୍ଡେମା
bhandup,ଭାଣ୍ଡୁପ
nataliyanka,ନତାଲିୟାଙ୍କ
ehidui,ଏହିଦୁଇ
badalaila,ବଦଳାଇଲା
shasner,ଶାସନର
sritam,ଶ୍ରୀତମ
chabitiku,ଚାବିଟିକୁ
aspruhabati,ଆସ୍ପୃହାବତୀ
kusumbahal,କୁସୁମବାହାଲ
bhujabalanka,ଭୁଜବଲଙ୍କ
crypson,କ୍ରିପସନ
snapsot,ସ୍ନାପସଟ୍
bahinipati,ବାହୀନିପତି
agoi,ଆଗୋଇ
nasapati,ନାସପତି
rajyapa,ରାଜ୍ୟପ
silsilara,ସିଲସିଲାର
selasaku,ସେଲସକୁ
subhakanti,ଶୁଭକାନ୍ତି
snigdhara,ସ୍ନିଗ୍ଧାର
karteekanku,କାର୍ତ୍ତୀକଙ୍କୁ
yamadagni,ଯମଦଗ୍ନି
palayanapanthi,ପଳାୟନପନ୍ଥୀ
kherpur,ଖେରପୁର
hinabodhara,ହୀନବୋଧର
rachanatharu,ରଚନାଠାରୁ
sukhaithanti,ଶୁଖାଇଥାନ୍ତି
bedaduma,ବେଡାଦୁମା
chashaku,ଚାଷକୁ
nilendri,ନିଳେନ୍ଦ୍ରୀ
randhibe,ରାନ୍ଧିବେ
chhadibenahin,ଛାଡିବେନାହିଁ
gramaojanara,ଗ୍ରାମଓଜନର
madhushalaku,ମଧୁଶାଳାକୁ
dahejathare,ଦହେଜଠାରେ
prasabottara,ପ୍ରସବୋତ୍ତର
dhawan,ଧୱନ
pathasandhana,ପଥସନ୍ଧାନ
pareli,ପରେଲି
tihidire,ତିହିଡିରେ
complete,କଂପ୍ଲିଟ୍
krishnappa,କ୍ରିଷ୍ଣପ୍ପା
hybipi,ହାଇବିପି
raganga,ରାଗାଙ୍ଗ
lakhyara,ଲକ୍ଷ୍ୟର
blackmel,ବ୍ଲାକମେଲ୍
asiparanti,ଆସିପାରନ୍ତି
bhramaradiapatana,ଭ୍ରମରଦିଆପାଟଣା
sneheejanamanankatharu,ସ୍ନେହୀଜନମାନଙ୍କଠାରୁ
prachestaku,ପ୍ରଚେଷ୍ଟାକୁ
bhundi,ଭୁଣ୍ଡି
ratnanku,ରତ୍ନଙ୍କୁ
ghatichalithila,ଘଟିଚାଲିଥିଲା
ghantaka,ଘଣ୍ଟାକ
manepakauthiba,ମନେପକାଉଥିବା
darushgadi,ଦାରୁଶଗଡି
bidyutakendraku,ବିଦ୍ୟୁତକେନ୍ଦ୍ରକୁ
raighat,ରାୟଘାଟ
talepakaibaru,ତଲେପକାଇବାରୁ
bakankara,ବାକାଙ୍କର
marathawadathare,ମରାଠାୱାଡାଠାରେ
mansukhani,ମନସୁଖାନି
chahinrahithile,ଚାହିଁରହିଥିଲେ
analabhadayaka,ଅଣଲାଭଦାୟକ
pranabananda,ପ୍ରାଣବନନ୍ଦ
shumadeenku,ଶୁମଦୀଙ୍କୁ
aasanarare,ଆସନରରେ
icac,ଆଇସିଏସି
gadhipari,ଗଢ଼ିପାରି
pachuaabargaku,ପଛୁଆବର୍ଗକୁ
facenable,ଫେସନେବୁଲ
instabiz,ଇନଷ୍ଟାବିଜ୍
punarabara,ପୁନରବାର
schoyaraphuta,ସ୍କୋୟାରଫୁଟ
kuhaiah,କୁହାଯ
paramediksanka,ପାରାମେଡିକ୍ସଙ୍କ
bujideichhi,ବୁଜିଦେଇଛି
bhabantuta,ଭବନ୍ତୁତ
pratinidhira,ପ୍ରତିନିଧିର
balaileni,ବଳାଇଲେଣି
loksamarthan,ଲୋକସମର୍ଥନ
kaleipada,କଲେଇପଦା
kantitara,କଣ୍ଟିତର
debalayagudikare,ଦେବାଳୟଗୁଡିକରେ
kartika,କାର୍ତ୍ତିକ
durghatanabahula,ଦୁର୍ଘଟଣାବହୁଳ
kamarsaku,କମର୍ସକୁ
kasargod,କସରଗଡ
narthablakathare,ନର୍ଥବ୍ଲକଠାରେ
harender,ହରେନ୍ଦ୍ର
eljedi,ଏଲଜେଡି
aadrataare,ଆଦ୍ରତାରେ
shoigalani,ଶୋଇଗଲାଣି
sujhichhanti,ସୁଝିଛନ୍ତି
bhedabhabaku,ଭେଦଭାବକୁ
biswarekardara,ବିଶ୍ୱରେକର୍ଡର
asammana,ଅସମ୍ମାନ
shikhyayitreenku,ଶିକ୍ଷୟିତ୍ରୀଙ୍କୁ
kukurate,କୁକୁରଟେ
rininka,ରିନିଙ୍କ
risos,ରିସୋସ୍
mikhalobhanku,ମିଖାଲୋଭଙ୍କୁ
asunathila,ଆସୁନଥିଲା
andhakaradigatiku,ଅନ୍ଧକାରଦିଗଟିକୁ
epijire,ଏପିଜିରେ
bidyapatinka,ବିଦ୍ୟାପତିଙ୍କ
quanton,କ୍ୱାଣ୍ଟନ
purusho,ପୁରୁଷୋ
plates,ପ୍ଲେଟ୍ସ
prabeshadwarare,ପ୍ରବେଶଦ୍ୱାରରେ
gozaimas,ଗୋଜାଇମସ୍
lonabalare,ଲୋନାବାଲାରେ
maller,ମାଲର
sambadikara,ସମ୍ବାଦିକର
bhalumaska,ଭାଲୁମସ୍କା
fentanyl,ଫେଣ୍ଟାନାଇଲ
kiriba,କିରିବା
ghatakanku,ଘଟକଙ୍କୁ
bhukiparanti,ଭୁକିପାରନ୍ତି
biden,ବାଇଡେନ୍
jilabalanka,ଜିଲାବାଳଙ୍କ
csc,ସିଏସ୍ସି
dalagudikare,ଦଳଗୁଡିକରେ
syahi,ସ୍ୟାହି
rfp,ଆରଏଫପି
tuttikorinare,ଟୁଟ୍ଟିକୋରିନରେ
jogyataku,ଯୋଗ୍ୟତାକୁ
kathababartta,କଥାବାବର୍ତ୍ତା
annaneeti,ଅନ୍ନନୀତି
putrasantanara,ପୁତ୍ରସନ୍ତାନର
kidneeku,କିଡ୍ନୀକୁ
asware,ଅଶ୍ୱରେ
sikdar,ସିକ୍ଦାର
nihsahayanku,ନିଃସହାୟଙ୍କୁ
bibardhini,ବିବର୍ଦ୍ଧିନୀ
satyasahi,ସତ୍ୟସାହି
pariseba,ପରିସେବା
sthirahoi,ସ୍ଥିରହୋଇ
balatkarimananku,ବଳାତ୍କାରୀମାନଙ୍କୁ
orthoritis,ଅର୍ଥରାଇଟିସ୍
omc,ଓଏମ୍ସି
tribedeenku,ତ୍ରିବେଦୀଙ୍କୁ
chalithibi,ଚାଲିଥିବି
nisanka,ନିସାଙ୍କ
bigatabarshamanankare,ବିଗତବର୍ଷମାନଙ୍କରେ
giraphadareeru,ଗିରଫଦାରୀରୁ
jaenge,ଯାଏଙ୍ଗେ
makarajholaru,ମକରଝୋଳରୁ
pilapain,ପିଲାପାଇଁ
